block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
0,60,r32_a1_uniform_rep1,32,1,uniform,1,1.0,0.0,22,32,106.9440022110939
0,61,r32_a16_hot50_rep1,32,16,hot50,1,0.28125,0.9354143466934853,1;3;5;6;9;11;14;15;16;21;22;24;25;27;28;30,9;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,898.7839818000793
0,62,r128_a8_hot50_rep0,128,8,hot50,0,0.4765625,1.0634187204483472,6;9;20;21;22;23;28;30,61;10;10;10;10;9;9;9,475.71200132369995
0,63,r32_a4_zipf_rep2,32,4,zipf,2,0.4375,0.46770717334674267,5;8;15;22,14;8;6;4,258.6880028247833
0,64,r64_a8_uniform_rep2,64,8,uniform,2,0.125,0.0,4;5;8;11;16;26;30;31,8;8;8;8;8;8;8;8,472.28801250457764
0,65,r256_a16_linear_skew_rep1,256,16,linear_skew,1,0.11328125,0.5019493251315316,0;2;5;6;12;13;14;17;18;19;21;22;25;27;28;29,29;27;26;24;22;20;19;17;15;13;12;10;8;6;5;3,905.888020992279
0,66,r128_a2_uniform_rep0,128,2,uniform,0,0.5,0.0,0;7,64;64,156.92800283432007
0,67,r256_a8_hot50_rep0,256,8,hot50,0,0.48828125,1.0985386244347533,0;1;5;6;7;11;21;31,125;19;19;19;19;19;18;18,481.6640019416809
0,68,r128_a8_linear_skew_rep0,128,8,linear_skew,0,0.21875,0.4810876349481454,6;9;20;21;22;23;28;30,28;24;21;18;14;11;8;4,473.7280011177063
0,69,r32_a8_linear_skew_rep0,32,8,linear_skew,0,0.1875,0.375,1;5;9;10;11;20;21;26,6;6;5;4;4;3;2;2,474.2079973220825
0,70,r32_a2_hot50_rep2,32,2,hot50,2,0.5,0.0,0;24,16;16,154.01600301265717
0,71,r256_a16_uniform_rep2,256,16,uniform,2,0.0625,0.0,0;1;2;7;9;12;14;17;18;19;20;24;25;27;28;31,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,895.2000141143799
0,72,r128_a8_linear_skew_rep1,128,8,linear_skew,1,0.21875,0.4810876349481454,1;5;12;16;17;19;20;29,28;24;21;18;14;11;8;4,474.68799352645874
0,73,r128_a2_linear_skew_rep2,128,2,linear_skew,2,0.6640625,0.328125,14;27,85;43,154.04799580574036
0,74,r256_a2_zipf_rep0,256,2,zipf,0,0.6640625,0.328125,17;23,170;86,153.1520038843155
0,75,r32_a8_hot50_rep2,32,8,hot50,2,0.40625,0.8569568250501305,2;9;10;14;17;23;26;30,13;3;3;3;3;3;2;2,484.47999358177185
0,76,r32_a4_uniform_rep2,32,4,uniform,2,0.25,0.0,5;8;15;22,8;8;8;8,260.0319981575012
0,77,r256_a2_hot50_rep2,256,2,hot50,2,0.5,0.0,0;10,128;128,156.15999698638916
0,78,r64_a2_linear_skew_rep0,64,2,linear_skew,0,0.65625,0.3125,4;21,42;22,154.81600165367126
0,79,r128_a2_hot50_rep1,128,2,hot50,1,0.5,0.0,1;27,64;64,154.59200739860535
0,80,r128_a1_zipf_rep0,128,1,zipf,0,1.0,0.0,4,128,105.18400371074677
0,81,r64_a4_hot50_rep2,64,4,hot50,2,0.484375,0.5412658773652742,5;7;11;31,31;11;11;11,261.9520127773285
0,82,r64_a1_hot50_rep1,64,1,hot50,1,1.0,0.0,22,64,103.80800068378448
0,83,r128_a16_uniform_rep0,128,16,uniform,0,0.0625,0.0,1;2;5;6;12;15;18;19;20;21;23;25;26;27;29;30,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,904.6720266342163
0,84,r32_a1_hot50_rep1,32,1,hot50,1,1.0,0.0,22,32,105.02400249242783
0,85,r128_a1_linear_skew_rep2,128,1,linear_skew,2,1.0,0.0,5,128,102.59199887514114
0,86,r128_a1_linear_skew_rep1,128,1,linear_skew,1,1.0,0.0,29,128,101.40799731016159
0,87,r256_a8_linear_skew_rep2,256,8,linear_skew,2,0.21875,0.4876402041977261,8;10;13;17;20;21;28;29,56;49;42;35;29;22;15;8,484.51200127601624
0,88,r32_a16_hot50_rep0,32,16,hot50,0,0.28125,0.9354143466934853,1;2;3;4;7;9;10;11;12;15;19;21;22;24;25;30,9;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,911.4239811897278
0,89,r32_a1_zipf_rep1,32,1,zipf,1,1.0,0.0,22,32,107.42399841547012
0,90,r32_a8_uniform_rep0,32,8,uniform,0,0.125,0.0,1;5;9;10;11;20;21;26,4;4;4;4;4;4;4;4,473.05598855018616
0,91,r32_a4_zipf_rep1,32,4,zipf,1,0.4375,0.46770717334674267,11;16;18;22,14;8;6;4,261.3759934902191
0,92,r64_a1_linear_skew_rep1,64,1,linear_skew,1,1.0,0.0,22,64,104.12800312042236
0,93,r64_a8_zipf_rep2,64,8,zipf,2,0.34375,0.7207851621669248,4;5;8;11;16;26;30;31,22;11;8;6;5;4;4;4,473.82399439811707
0,94,r64_a8_zipf_rep0,64,8,zipf,0,0.34375,0.7207851621669248,0;6;9;14;15;17;21;29,22;11;8;6;5;4;4;4,475.74400901794434
0,95,r256_a1_hot50_rep2,256,1,hot50,2,1.0,0.0,0,256,106.4319983124733
0,96,r32_a16_uniform_rep1,32,16,uniform,1,0.0625,0.0,1;3;5;6;9;11;14;15;16;21;22;24;25;27;28;30,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,909.600019454956
0,97,r128_a2_zipf_rep0,128,2,zipf,0,0.6640625,0.328125,0;7,85;43,157.4079990386963
0,98,r32_a2_linear_skew_rep1,32,2,linear_skew,1,0.65625,0.3125,4;10,21;11,153.56799960136414
0,99,r256_a2_linear_skew_rep2,256,2,linear_skew,2,0.6640625,0.328125,0;10,170;86,154.84799444675446
0,100,r256_a1_uniform_rep2,256,1,uniform,2,1.0,0.0,0,256,101.69599950313568
0,101,r32_a8_hot50_rep0,32,8,hot50,0,0.40625,0.8569568250501305,1;5;9;10;11;20;21;26,13;3;3;3;3;3;2;2,478.7519872188568
0,102,r128_a2_uniform_rep2,128,2,uniform,2,0.5,0.0,14;27,64;64,155.64799308776855
0,103,r64_a8_hot50_rep2,64,8,hot50,2,0.453125,0.9921567416492215,4;5;8;11;16;26;30;31,29;5;5;5;5;5;5;5,476.8640100955963
0,104,r128_a16_hot50_rep2,128,16,hot50,2,0.4453125,1.5823736126465204,1;6;7;9;12;13;15;16;18;19;21;24;25;28;30;31,57;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4,910.5600118637085
0,105,r64_a4_linear_skew_rep2,64,4,linear_skew,2,0.390625,0.4192627457812106,5;7;11;31,25;19;13;7,261.24799251556396
0,106,r64_a1_uniform_rep0,64,1,uniform,0,1.0,0.0,2,64,103.67999970912933
0,107,r128_a2_zipf_rep2,128,2,zipf,2,0.6640625,0.328125,14;27,85;43,155.2319973707199
0,108,r256_a2_linear_skew_rep1,256,2,linear_skew,1,0.6640625,0.328125,21;27,170;86,152.70400047302246
0,109,r64_a16_hot50_rep0,64,16,hot50,0,0.390625,1.3607213160673275,1;4;7;9;10;12;13;14;15;17;18;19;22;25;27;31,25;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2,905.7279825210571
0,110,r64_a16_uniform_rep1,64,16,uniform,1,0.0625,0.0,0;4;5;7;9;12;13;16;17;18;20;21;23;24;27;29,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,908.8320136070251
0,111,r128_a1_zipf_rep2,128,1,zipf,2,1.0,0.0,5,128,105.27999699115753
0,112,r32_a2_uniform_rep0,32,2,uniform,0,0.5,0.0,3;27,16;16,153.50399911403656
0,113,r128_a4_hot50_rep1,128,4,hot50,1,0.4921875,0.5594535559365049,0;6;19;25,63;22;22;21,261.6319954395294
0,114,r32_a4_zipf_rep0,32,4,zipf,0,0.4375,0.46770717334674267,2;17;27;28,14;8;6;4,260.76799631118774
0,115,r128_a8_uniform_rep2,128,8,uniform,2,0.125,0.0,1;6;10;13;15;16;23;26,16;16;16;16;16;16;16;16,476.1919975280762
0,116,r256_a8_zipf_rep2,256,8,zipf,2,0.359375,0.7842131307081003,8;10;13;17;20;21;28;29,92;47;32;24;19;16;14;12,481.27999901771545
0,117,r256_a1_linear_skew_rep0,256,1,linear_skew,0,1.0,0.0,11,256,105.98400235176086
0,118,r32_a8_linear_skew_rep2,32,8,linear_skew,2,0.1875,0.375,2;9;10;14;17;23;26;30,6;6;5;4;4;3;2;2,476.28799080848694
0,119,r256_a16_zipf_rep0,256,16,zipf,0,0.28125,1.0404419884116558,0;1;2;7;9;11;12;16;17;18;22;26;27;28;30;31,72;37;25;19;15;13;11;10;9;8;7;7;6;6;6;5,913.8879776000977
0,120,r64_a2_hot50_rep1,64,2,hot50,1,0.5,0.0,28;29,32;32,153.1520038843155
0,121,r64_a16_linear_skew_rep1,64,16,linear_skew,1,0.109375,0.4330127018922193,0;4;5;7;9;12;13;16;17;18;20;21;23;24;27;29,7;6;6;6;5;5;5;4;4;3;3;3;2;2;2;1,907.7759981155396
0,122,r64_a2_uniform_rep1,64,2,uniform,1,0.5,0.0,28;29,32;32,155.7759940624237
0,123,r256_a4_hot50_rep0,256,4,hot50,0,0.49609375,0.5683291712335379,5;16;17;29,127;43;43;43,264.92801308631897
0,124,r64_a2_uniform_rep2,64,2,uniform,2,0.5,0.0,4;14,32;32,154.11199629306793
0,125,r256_a16_linear_skew_rep0,256,16,linear_skew,0,0.11328125,0.5019493251315316,0;1;2;7;9;11;12;16;17;18;22;26;27;28;30;31,29;27;26;24;22;20;19;17;15;13;12;10;8;6;5;3,904.6720266342163
0,126,r128_a2_linear_skew_rep1,128,2,linear_skew,1,0.6640625,0.328125,1;27,85;43,160.5439931154251
0,127,r128_a16_linear_skew_rep2,128,16,linear_skew,2,0.109375,0.4759858191164943,1;6;7;9;12;13;15;16;18;19;21;24;25;28;30;31,14;13;13;12;11;10;9;8;8;7;6;5;4;3;3;2,908.2239866256714
0,128,r64_a16_zipf_rep2,64,16,zipf,2,0.234375,0.8244316223920575,1;4;5;8;9;10;12;13;19;22;24;25;26;28;29;30,15;8;6;5;4;3;3;3;3;2;2;2;2;2;2;2,910.7840061187744
0,129,r256_a16_linear_skew_rep2,256,16,linear_skew,2,0.11328125,0.5019493251315316,0;1;2;7;9;12;14;17;18;19;20;24;25;27;28;31,29;27;26;24;22;20;19;17;15;13;12;10;8;6;5;3,915.3919816017151
0,130,r256_a8_linear_skew_rep1,256,8,linear_skew,1,0.21875,0.4876402041977261,7;9;14;17;18;23;29;31,56;49;42;35;29;22;15;8,482.9440116882324
0,131,r256_a1_hot50_rep1,256,1,hot50,1,1.0,0.0,12,256,107.61599987745285
0,132,r128_a1_hot50_rep0,128,1,hot50,0,1.0,0.0,4,128,102.39999741315842
0,133,r256_a1_zipf_rep1,256,1,zipf,1,1.0,0.0,12,256,102.55999863147736
0,134,r32_a4_uniform_rep1,32,4,uniform,1,0.25,0.0,11;16;18;22,8;8;8;8,260.8639895915985
0,135,r256_a8_linear_skew_rep0,256,8,linear_skew,0,0.21875,0.4876402041977261,0;1;5;6;7;11;21;31,56;49;42;35;29;22;15;8,477.9520034790039
0,136,r256_a8_hot50_rep1,256,8,hot50,1,0.48828125,1.0985386244347533,7;9;14;17;18;23;29;31,125;19;19;19;19;19;18;18,482.91200399398804
0,137,r64_a8_uniform_rep0,64,8,uniform,0,0.125,0.0,0;6;9;14;15;17;21;29,8;8;8;8;8;8;8;8,472.4160134792328
0,138,r256_a4_uniform_rep2,256,4,uniform,2,0.25,0.0,0;17;19;28,64;64;64;64,264.8319900035858
0,139,r128_a4_hot50_rep2,128,4,hot50,2,0.4921875,0.5594535559365049,6;9;12;25,63;22;22;21,260.3519856929779
0,140,r64_a4_linear_skew_rep1,64,4,linear_skew,1,0.390625,0.4192627457812106,5;18;23;28,25;19;13;7,261.4080011844635
0,141,r32_a4_hot50_rep0,32,4,hot50,0,0.46875,0.5077524002897476,2;17;27;28,15;6;6;5,260.22401452064514
0,142,r128_a4_uniform_rep1,128,4,uniform,1,0.25,0.0,0;6;19;25,32;32;32;32,257.56800174713135
0,143,r32_a16_linear_skew_rep0,32,16,linear_skew,0,0.09375,0.3535533905932738,1;2;3;4;7;9;10;11;12;15;19;21;22;24;25;30,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,905.4719805717468
0,144,r64_a16_uniform_rep0,64,16,uniform,0,0.0625,0.0,1;4;7;9;10;12;13;14;15;17;18;19;22;25;27;31,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,901.7279744148254
0,145,r32_a4_hot50_rep2,32,4,hot50,2,0.46875,0.5077524002897476,5;8;15;22,15;6;6;5,268.3520019054413
0,146,r128_a16_hot50_rep0,128,16,hot50,0,0.4453125,1.5823736126465204,1;2;5;6;12;15;18;19;20;21;23;25;26;27;29;30,57;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4,905.023992061615
