policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
transition_prefetch,global,24,6,3673.8770764246583,294.57612800598145,2210.074742473662,1169.226205945015,0.6592788692950597,45706,30133,20160,15573,4587,0.7724702380952381,llmjp,top1,1,0,3646.836977556348,-0.7414671682535623
random_prefetch,global,24,6,4219.8498100712895,294.57612800598145,2756.047476120293,1169.226205945015,0.8221458889423708,45706,37577,20160,8129,12031,0.40322420634920636,llmjp,top1,1,0,3646.836977556348,-15.712597959311658
oracle_prefetch,global,24,6,3338.1273820102215,294.57612800598145,1876.7996079102159,1166.7516460940242,0.5598608497790224,45706,25589,20117,20117,0,1.0,llmjp,top1,1,0,3646.836977556348,8.465132865713809
reactive_lru,per_layer,6,0,2559.3654942438006,294.57612800598145,2264.789366237819,0.0,0.6756005776046908,45706,30879,0,0,0,0.0,llmjp,top1,1,0,2559.3654942438006,0.0
static_frequency_pin,per_layer,6,0,2519.8330784142017,294.57612800598145,2225.2569504082203,0.0,0.6638078151664989,45706,30340,0,0,0,0.0,llmjp,top1,1,0,2559.3654942438006,1.54461783276012
frequency_prefetch,per_layer,6,6,3877.4800195470452,294.57612800598145,2413.677685596049,1169.226205945015,0.7200148776965825,45706,32909,20160,11835,8325,0.5870535714285714,llmjp,top1,1,0,2559.3654942438006,-51.50161351584133
transition_prefetch,per_layer,6,6,3789.1738439276814,294.57612800598145,2325.371509976685,1169.226205945015,0.6936726031593227,45706,31705,20160,13039,7121,0.6467757936507936,llmjp,top1,1,0,2559.3654942438006,-48.05129835694859
random_prefetch,per_layer,6,6,4247.500497952104,294.57612800598145,2783.698164001107,1169.226205945015,0.8303942589594364,45706,37954,20160,6790,13370,0.3368055555555556,llmjp,top1,1,0,2559.3654942438006,-65.95912180206544
oracle_prefetch,per_layer,6,6,3235.056392032653,294.57612800598145,1814.2371761798859,1126.2430878467858,0.541198092154203,45706,24736,19411,19411,0,1.0,llmjp,top1,1,0,2559.3654942438006,-26.400719213747713
reactive_lru,per_layer,12,0,1675.643642053008,294.57612800598145,1381.0675140470266,0.0,0.4119809215420295,45706,18830,0,0,0,0.0,llmjp,top1,1,0,1675.643642053008,0.0
static_frequency_pin,per_layer,12,0,1684.6649540141225,294.57612800598145,1390.088826008141,0.0,0.414672034306218,45706,18953,0,0,0,0.0,llmjp,top1,1,0,1675.643642053008,-0.5383789091373492
frequency_prefetch,per_layer,12,6,3001.9726953208447,294.57612800598145,1538.1703613698483,1169.226205945015,0.45884566577692204,45706,20972,20160,9395,10765,0.4660218253968254,llmjp,top1,1,0,1675.643642053008,-79.15340827735966
transition_prefetch,per_layer,12,6,2943.0041195750237,294.57612800598145,1479.2017856240273,1169.226205945015,0.44125497746466547,45706,20168,20160,10199,9961,0.5059027777777778,llmjp,top1,1,0,1675.643642053008,-75.6342485786082
random_prefetch,per_layer,12,6,3273.638870149851,294.57612800598145,1809.8365361988544,1169.226205945015,0.5398853542204525,45706,24676,20160,5691,14469,0.28229166666666666,llmjp,top1,1,0,1675.643642053008,-95.3660544517073
oracle_prefetch,per_layer,12,6,2094.253796122968,294.57612800598145,876.3874522224069,923.2902158945799,0.2614317595064105,45706,11949,15873,15873,0,1.0,llmjp,top1,1,0,1675.643642053008,-24.982051288487362
reactive_lru,per_layer,24,0,592.0593907237053,294.57612800598145,297.48326271772385,0.0,0.08874108432153328,45706,4056,0,0,0,0.0,llmjp,top1,1,0,592.0593907237053,0.0
static_frequency_pin,per_layer,24,0,567.5624948292971,294.57612800598145,272.9863668233156,0.0,0.08143350982365553,45706,3722,0,0,0,0.0,llmjp,top1,1,0,592.0593907237053,4.137574080948935
frequency_prefetch,per_layer,24,6,1992.172507673502,294.57612800598145,528.3701737225056,1169.226205945015,0.15761606791230912,45706,7204,20160,7675,12485,0.38070436507936506,llmjp,top1,1,0,592.0593907237053,-236.48186970539643
transition_prefetch,per_layer,24,6,1987.4051476940513,294.57612800598145,523.6028137430549,1169.226205945015,0.15619393515074606,45706,7139,20160,7729,12431,0.38338293650793653,llmjp,top1,1,0,592.0593907237053,-235.6766531926369
random_prefetch,per_layer,24,6,2055.9084433987737,294.57612800598145,592.1061094477773,1169.226205945015,0.17662888898612875,45706,8073,20160,6923,13237,0.3434027777777778,llmjp,top1,1,0,592.0593907237053,-247.24699508367377
oracle_prefetch,per_layer,24,6,618.6071773804724,294.57612800598145,95.2738555893302,228.75719378516078,0.028420776265698156,45706,1299,3807,3807,0,1.0,llmjp,top1,1,0,592.0593907237053,-4.483973579798528
reactive_lru,global,6,0,8681.16911585629,294.57612800598145,8386.592987850308,0.0,1.0,114346,114346,0,0,0,0.0,llmjp,full_topk,16,0,8681.16911585629,0.0
static_frequency_pin,global,6,0,8582.594780281186,294.57612800598145,8288.018652275205,0.0,0.9882462001294318,114346,113002,0,0,0,0.0,llmjp,full_topk,16,0,8681.16911585629,1.1354960865242902
frequency_prefetch,global,6,6,8373.100480169058,294.57612800598145,6909.298146218061,1169.226205945015,0.8238504189040281,114346,94204,20160,20142,18,0.9991071428571429,llmjp,full_topk,16,0,8681.16911585629,3.5486998533934777
transition_prefetch,global,6,6,8372.293696172535,294.57612800598145,6908.491362221539,1169.226205945015,0.8237542196491351,114346,94193,20160,20153,7,0.9996527777777777,llmjp,full_topk,16,0,8681.16911585629,3.5579933481492576
random_prefetch,global,6,6,8376.034240156412,294.57612800598145,6912.231906205416,1169.226205945015,0.8242002343763665,114346,94244,20160,20102,58,0.9971230158730159,llmjp,full_topk,16,0,8681.16911585629,3.5149053270088215
oracle_prefetch,global,6,6,8371.780288174748,294.57612800598145,6907.977954223752,1169.226205945015,0.8236930019414759,114346,94186,20160,20160,0,1.0,llmjp,full_topk,16,0,8681.16911585629,3.563907390266574
reactive_lru,global,12,0,8681.16911585629,294.57612800598145,8386.592987850308,0.0,1.0,114346,114346,0,0,0,0.0,llmjp,full_topk,16,0,8681.16911585629,0.0
