global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,51645,0,0.0,26648820.0,26648820.0,13585764.0,13585764.0,543.43056,0,0.0,0.0,0.0,543.43056,11955.0,26329.0
34,2,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47975,34354,0.7160812923397603,15960476.0,24755100.0,11888124.0,5990140.0,475.52496,1082,33.42015981674194,36160.61292171478,33.42015981674194,273.0257598167419,12740.0,23039.0
35,2,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,46909,32361,0.6898676160225117,15920628.0,24205044.0,11209068.0,5647980.0,448.36272,1020,33.42015981674194,34088.56301307678,33.42015981674194,259.33935981674193,9455.0,21723.0
36,2,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48252,35078,0.726975047666418,15918064.0,24898032.0,12159540.0,6126900.0,486.3816,1104,33.42015981674194,36895.856437683105,33.42015981674194,278.49615981674197,10681.0,23565.0
37,2,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47099,33206,0.7050255844073122,15802348.0,24303084.0,11442816.0,5765760.0,457.71264,1048,33.42015981674194,35024.32748794556,33.42015981674194,264.05055981674195,8770.0,22176.0
38,2,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49029,35628,0.726671969650615,16178196.0,25298964.0,12305052.0,6200220.0,492.20208,1121,33.42015981674194,37463.99915456772,33.42015981674194,281.42895981674195,9483.0,23847.0
39,2,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48286,34614,0.716853746427536,16054392.0,24915576.0,11968620.0,6030700.0,478.7448,1088,33.42015981674194,36361.133880615234,33.42015981674194,274.64815981674195,9676.0,23195.0
40,2,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47867,33887,0.7079407525017235,16024300.0,24699372.0,11733324.0,5912140.0,469.33296,1065,33.42015981674194,35592.47020483017,33.42015981674194,269.9057598167419,9056.0,22739.0
41,2,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48625,34847,0.7166478149100257,16169668.0,25090500.0,12040860.0,6067100.0,481.6344,1097,33.42015981674194,36661.91531896591,33.42015981674194,276.1041598167419,9152.0,23335.0
42,2,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48288,35442,0.7339711729622267,15843456.0,24916608.0,12270996.0,6183060.0,490.83984,1115,33.42015981674194,37263.47819566727,33.42015981674194,280.74255981674196,10245.0,23781.0
43,2,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47452,33318,0.7021411110174492,15955824.0,24485232.0,11595552.0,5842720.0,463.82208,1049,33.42015981674194,35057.7476477623,33.42015981674194,267.12895981674194,9195.0,22472.0
