model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,5.162412961191947,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,5.162412961191947,inf,controller,True,False
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.0,2.0649651844767787,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,2.0649651844767787,8.962211811930112,controller,True,False
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,8.962211811930112,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,0.34953837758070483,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.34953837758070483,0.5792338600040058,controller,True,False
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.5792338600040058,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,0.26215378318552857,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.26215378318552857,0.37479838000259197,controller,True,False
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.37479838000259197,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,1.8731231799838508,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,1.8731231799838508,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,0.5310720298018764,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.5310720298018764,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,0.471009871155446,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.471009871155446,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,1.2361222658796578e-05,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.2361222658796578e-05,inf,uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,1.5844798075885913e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm_ucb95,1.5844798075885913e-06,13.72796018735868,uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm_ucb95,13.72796018735868,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,5.652446032344822e-07,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.652446032344822e-07,0.7967119751592091,uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.7967119751592091,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,3.768297354896546e-07,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,3.768297354896546e-07,0.5311413167728061,uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.5311413167728061,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,3.063016897712262,calib_static,False,True
llmjp,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,3.063016897712262,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,5.6408517885158326e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.6408517885158326e-06,0.749686180296231,uniform_low,False,True
