model,origin_mode,saving_basis,harm_basis,lambda,arm,winner_probability,winner_margin_ci_low,winner_margin_ci_high
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,causal_no_hysteresis,0.0,0.08909482887462442,0.42923920607641997
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,controller,0.0,0.08909482887462442,0.42923920607641997
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,uniform_full,1.0,0.0010391468674505909,0.008253687110599395
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,calib_static,0.0,0.0010391468674505909,0.008253687110599395
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,causal_no_hysteresis,0.0,0.0010391468674505909,0.008253687110599395
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,controller,0.0,0.0010391468674505909,0.008253687110599395
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,uniform_full,1.0,0.005658846584018584,0.020087927070316192
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,calib_static,0.0,0.005658846584018584,0.020087927070316192
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,causal_no_hysteresis,0.0,0.005658846584018584,0.020087927070316192
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,controller,0.0,0.005658846584018584,0.020087927070316192
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,uniform_full,1.0,0.019517945733722564,0.05559064694946658
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,calib_static,0.0,0.019517945733722564,0.05559064694946658
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,causal_no_hysteresis,0.0,0.019517945733722564,0.05559064694946658
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,controller,0.0,0.019517945733722564,0.05559064694946658
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,uniform_full,1.0,0.04261644431656253,0.11476184674805057
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,calib_static,0.0,0.04261644431656253,0.11476184674805057
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,causal_no_hysteresis,0.0,0.04261644431656253,0.11476184674805057
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,controller,0.0,0.04261644431656253,0.11476184674805057
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,uniform_full,1.0,0.08881344148224246,0.23310424634521854
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,calib_static,0.0,0.08881344148224246,0.23310424634521854
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,causal_no_hysteresis,0.0,0.08881344148224246,0.23310424634521854
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,controller,0.0,0.08881344148224246,0.23310424634521854
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,uniform_full,1.0,0.22740443297928226,0.5881314451367224
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,calib_static,0.0,0.22740443297928226,0.5881314451367224
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,causal_no_hysteresis,0.0,0.22740443297928226,0.5881314451367224
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,controller,0.0,0.22740443297928226,0.5881314451367224
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,uniform_full,1.0,0.4583894188076819,1.1798434431225622
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,calib_static,0.0,0.4583894188076819,1.1798434431225622
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,causal_no_hysteresis,0.0,0.4583894188076819,1.1798434431225622
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,controller,0.0,0.4583894188076819,1.1798434431225622
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.1,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.1,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.1,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.1,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.2,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.2,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.2,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.2,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.5,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.5,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.5,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.5,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,2.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,2.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,2.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,2.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,5.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,5.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,5.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,5.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
