sample_id,layer,bucket,predictor,accuracy,n_tokens
4,5,early,freq_baseline_same_layer,0.19215686274509805,255
4,6,early,neighbor_same_layer,0.30196078431372547,255
4,6,early,freq_baseline_same_layer,0.16470588235294117,255
4,7,early,neighbor_same_layer,0.2196078431372549,255
4,7,early,freq_baseline_same_layer,0.043137254901960784,255
4,8,late,neighbor_same_layer,0.36470588235294116,255
4,8,late,freq_baseline_same_layer,0.3686274509803922,255
4,9,late,neighbor_same_layer,0.3333333333333333,255
4,9,late,freq_baseline_same_layer,0.2196078431372549,255
4,10,late,neighbor_same_layer,0.28627450980392155,255
4,10,late,freq_baseline_same_layer,0.07450980392156863,255
4,11,late,neighbor_same_layer,0.23137254901960785,255
4,11,late,freq_baseline_same_layer,0.20784313725490197,255
4,12,late,neighbor_same_layer,0.3764705882352941,255
4,12,late,freq_baseline_same_layer,0.12941176470588237,255
4,13,late,neighbor_same_layer,0.3058823529411765,255
4,13,late,freq_baseline_same_layer,0.2823529411764706,255
4,14,late,neighbor_same_layer,0.23529411764705882,255
4,14,late,freq_baseline_same_layer,0.1607843137254902,255
4,15,late,neighbor_same_layer,0.2549019607843137,255
4,15,late,freq_baseline_same_layer,0.16862745098039217,255
5,0,early,freq_baseline,0.3046875,256
5,0,early,top1_transition,0.33984375,256
5,0,early,topk_transition,0.37109375,256
5,1,early,freq_baseline,0.0546875,256
5,1,early,top1_transition,0.16015625,256
5,1,early,topk_transition,0.0546875,256
5,2,early,freq_baseline,0.08203125,256
5,2,early,top1_transition,0.234375,256
5,2,early,topk_transition,0.109375,256
5,3,early,freq_baseline,0.109375,256
5,3,early,top1_transition,0.2578125,256
5,3,early,topk_transition,0.125,256
5,4,early,freq_baseline,0.14453125,256
5,4,early,top1_transition,0.25390625,256
5,4,early,topk_transition,0.16015625,256
5,5,early,freq_baseline,0.08203125,256
5,5,early,top1_transition,0.33984375,256
5,5,early,topk_transition,0.109375,256
5,6,early,freq_baseline,0.16015625,256
5,6,early,top1_transition,0.3046875,256
5,6,early,topk_transition,0.19140625,256
5,7,early,freq_baseline,0.09765625,256
5,7,early,top1_transition,0.33984375,256
5,7,early,topk_transition,0.12890625,256
5,8,late,freq_baseline,0.19140625,256
5,8,late,top1_transition,0.28125,256
5,8,late,topk_transition,0.1953125,256
5,9,late,freq_baseline,0.12890625,256
5,9,late,top1_transition,0.328125,256
5,9,late,topk_transition,0.15234375,256
5,10,late,freq_baseline,0.07421875,256
5,10,late,top1_transition,0.30859375,256
5,10,late,topk_transition,0.09375,256
5,11,late,freq_baseline,0.10546875,256
5,11,late,top1_transition,0.33203125,256
5,11,late,topk_transition,0.109375,256
5,12,late,freq_baseline,0.140625,256
5,12,late,top1_transition,0.26953125,256
5,12,late,topk_transition,0.17578125,256
5,13,late,freq_baseline,0.30078125,256
5,13,late,top1_transition,0.31640625,256
5,13,late,topk_transition,0.31640625,256
5,14,late,freq_baseline,0.390625,256
5,14,late,top1_transition,0.41796875,256
5,14,late,topk_transition,0.39453125,256
5,0,early,neighbor_same_layer,0.30196078431372547,255
5,0,early,freq_baseline_same_layer,0.3137254901960784,255
