sample_id,rank1_int4__kl,rankk_int4__kl,model,paired_head_minus_tail_kl
632,0.258619864155927,0.0043573398289718,olmoe,0.25426252432695523
633,0.1952962800273745,0.0037398920284481,olmoe,0.1915563879989264
634,0.169447936410979,0.0038131315877118,olmoe,0.1656348048232672
635,0.186634844682348,0.00386869602316,olmoe,0.182766148659188
636,0.1522303453580601,0.0040455014686884,olmoe,0.1481848438893717
637,0.1523366162157434,0.0016635097856596,olmoe,0.1506731064300838
638,0.1473990462896392,0.0028771180806197,olmoe,0.14452192820901952
639,0.1204168740219957,0.002348350258324,olmoe,0.1180685237636717
640,0.2180089575099194,0.0036638740479476,olmoe,0.21434508346197179
641,0.2309257627472164,0.0037156880840541,olmoe,0.22721007466316231
642,0.233567725955032,0.0037762424138587,olmoe,0.2297914835411733
643,0.2003254777803195,0.0047251103431221,olmoe,0.19560036743719741
644,0.3096905805933194,0.0055588178747282,olmoe,0.3041317627185912
645,0.1630644009807917,0.0025886611675652,olmoe,0.1604757398132265
646,0.1808327051598256,0.0029145310244222,olmoe,0.1779181741354034
647,0.1634601532943605,0.0031495296110318,olmoe,0.1603106236833287
648,0.1621803223617433,0.004561870586215,olmoe,0.1576184517755283
649,0.2119310183787909,0.0050468989244596,olmoe,0.20688411945433127
650,0.1959093949926181,0.0040226865002489,olmoe,0.19188670849236922
651,0.2626827570397084,0.0018033540155005,olmoe,0.26087940302420787
652,0.2345716972050704,0.0023334636462955,olmoe,0.2322382335587749
653,0.2516861262283926,0.0049100203776922,olmoe,0.2467761058507004
654,0.4070920568751537,0.0055617206678615,olmoe,0.4015303362072922
655,0.1831321716308593,0.0040060051782863,olmoe,0.17912616645257298
656,0.1550539872777743,0.0026472978235229,olmoe,0.1524066894542514
657,0.1754215270515502,0.0038639255396024,olmoe,0.1715576015119478
658,0.2578622712863712,0.0026955238477451,olmoe,0.2551667474386261
659,0.1774140305406465,0.0034281498803867,olmoe,0.1739858806602598
660,0.1341052768737312,0.0030889375003304,olmoe,0.1310163393734008
661,0.1357572510486512,0.0029496029606015,olmoe,0.13280764808804968
662,0.218095403956616,0.0030998061961076,olmoe,0.2149955977605084
663,0.1582360755740188,0.0030441791053832,olmoe,0.1551918964686356
664,0.2277869427297997,0.0040668230357132,olmoe,0.2237201196940865
665,0.2411753436711829,0.0037426547271998,olmoe,0.2374326889439831
666,0.1351616626649391,0.0023724938940814,olmoe,0.1327891687708577
667,0.1375536881093903,0.003012302822954,olmoe,0.1345413852864363
668,0.2123656085157018,0.0055765584697873,olmoe,0.2067890500459145
669,0.2344731007973979,0.005061472964099,olmoe,0.22941162783329888
670,0.157836478526198,0.0049310687958724,olmoe,0.1529054097303256
671,0.2203318077748216,0.0058932595365629,olmoe,0.2144385482382587
672,0.1332827440397007,0.0022728417332716,olmoe,0.1310099023064291
673,0.1955998938853346,0.005256653770687,olmoe,0.1903432401146476
674,0.2182831651582492,0.0046968056461003,olmoe,0.21358635951214888
675,0.1194491273774875,0.003491912535795,olmoe,0.1159572148416925
676,0.2182664946308286,0.005283836774,olmoe,0.2129826578568286
677,0.2194225881982037,0.0030806965715303,olmoe,0.21634189162667342
678,0.2056381796288678,0.0030050221390611,olmoe,0.2026331574898067
679,0.2472198366180179,0.0065722474901694,olmoe,0.2406475891278485
680,0.2194919736366572,0.0060350796369117,olmoe,0.21345689399974552
681,0.2011360709122785,0.003956802717344,olmoe,0.1971792681949345
682,0.168079541424128,0.0031987996551934,olmoe,0.1648807417689346
683,0.1760533550592858,0.0037404007799043,olmoe,0.17231295427938148
684,0.1401568134938638,0.0024980646888102,olmoe,0.1376587488050536
685,0.2026294798362912,0.0050503395673796,olmoe,0.1975791402689116
686,0.1637811735859067,0.0041104461264422,olmoe,0.15967072745946448
687,0.1393281531146192,0.0060056476142462,olmoe,0.133322505500373
688,0.1589586002620186,0.0041627292557964,olmoe,0.15479587100622222
689,0.5019946661521131,0.0058801305575633,olmoe,0.49611453559454977
690,0.1960415427140363,0.0044664801575067,olmoe,0.1915750625565296
691,0.27508544921875,0.0032863471451706,olmoe,0.2717991020735794
692,0.2280937555268055,0.0041323599852914,olmoe,0.2239613955415141
693,0.3978594081608329,0.004195686400406,olmoe,0.39366372176042685
694,0.2700516107514149,0.0032986102141733,olmoe,0.26675300053724155
695,0.2026698345274437,0.0039763732219305,olmoe,0.19869346130551319
696,0.194583141897607,0.0045138146933608,olmoe,0.1900693272042462
697,0.1348251733254259,0.0030820918834115,olmoe,0.1317430814420144
698,0.1406326444130244,0.0041174475602277,olmoe,0.1365151968527967
699,0.267282921498216,0.0041133184132613,olmoe,0.2631696030849547
700,0.202303127979669,0.0045143807028222,olmoe,0.1977887472768468
