arm,phase,batch_size,prompt_len,repeat,seed,decode_step,module_name,tokens,top_k,num_experts,max_expert_load,mean_expert_load,max_to_mean,load_cv,active_expert_fraction,normalized_entropy,workload
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.3.block_sparse_moe,128,16,32,122,64.0,1.90625,0.34851107001304626,1.0,0.9825934322748294,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.4.block_sparse_moe,128,16,32,122,64.0,1.90625,0.37129929661750793,1.0,0.9802920292340437,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.5.block_sparse_moe,128,16,32,122,64.0,1.90625,0.47121745347976685,1.0,0.9657367935262224,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.6.block_sparse_moe,128,16,32,115,64.0,1.796875,0.46747875213623047,1.0,0.9675222486144198,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.7.block_sparse_moe,128,16,32,121,64.0,1.890625,0.4393967092037201,1.0,0.9717010142720239,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.8.block_sparse_moe,128,16,32,127,64.0,1.984375,0.5015996098518372,1.0,0.9617023557092224,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.9.block_sparse_moe,128,16,32,128,64.0,2.0,0.4915049970149994,1.0,0.963789055608671,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.10.block_sparse_moe,128,16,32,128,64.0,2.0,0.4968006908893585,1.0,0.9651951169690649,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.11.block_sparse_moe,128,16,32,127,64.0,1.984375,0.561046838760376,1.0,0.9487573591648994,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.12.block_sparse_moe,128,16,32,124,64.0,1.9375,0.4911944270133972,1.0,0.9636476170766014,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.13.block_sparse_moe,128,16,32,114,64.0,1.78125,0.4801669418811798,1.0,0.9653179813748414,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.14.block_sparse_moe,128,16,32,124,64.0,1.9375,0.49727651476860046,1.0,0.9649435407473829,natural
route_census_untimed,prefill,1,128,0,20270728,-1,model.layers.15.block_sparse_moe,128,16,32,126,64.0,1.96875,0.5636788010597229,1.0,0.9504235958795186,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.0.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.1.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.2.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.3.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.4.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.5.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.6.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.7.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.8.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.9.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.10.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.11.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
route_census_untimed,decode,1,128,0,20270728,0,model.layers.12.block_sparse_moe,1,16,32,1,0.5,2.0,1.0,0.5,0.8000000021982683,natural
