arm_natural,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms_natural,tokens_processed_natural,goodput_tokens_per_s_natural,arm_synthetic,latency_ms_synthetic,tokens_processed_synthetic,goodput_tokens_per_s_synthetic,natural_over_synthetic
natural,decode,1,128,3,20271031,11,43.4972496033,1,22.989959345,synthetic,43.3125114441,1,23.0880169877,1.00426523776
natural,decode,1,128,3,20271031,12,43.6162872314,1,22.9272151179,synthetic,48.4547195435,1,20.6378245385,0.900145282903
natural,decode,1,128,3,20271031,13,47.6229133606,1,20.9982953464,synthetic,43.7672653198,1,22.8481261667,1.08809433289
natural,decode,1,128,3,20271031,14,43.8304977417,1,22.8151641328,synthetic,43.5604476929,1,22.9566051995,1.00619943236
natural,decode,1,128,3,20271031,15,43.4608306885,1,23.0092242637,synthetic,43.5183372498,1,22.9788191185,0.99867856713
natural,prefill,1,128,4,20271132,-1,83.8397750854,128,1526.72165293,synthetic,83.7673950195,128,1528.04083224,1.00086406013
natural,decode,1,128,4,20271132,0,43.7740478516,1,22.8445859837,synthetic,48.7492485046,1,20.5131367288,0.89794302875
natural,decode,1,128,4,20271132,1,47.8374061584,1,20.9041434372,synthetic,43.657951355,1,22.9053349725,1.09573181228
natural,decode,1,128,4,20271132,2,43.6341438293,1,22.91783251,synthetic,45.1142082214,1,22.1659658769,0.967192943189
natural,decode,1,128,4,20271132,3,43.6846389771,1,22.8913417489,synthetic,43.6564788818,1,22.9061075381,1.00064503817
natural,decode,1,128,4,20271132,4,44.7307510376,1,22.3559850171,synthetic,43.3721618652,1,23.0562636722,1.03132399018
natural,decode,1,128,4,20271132,5,43.6489906311,1,22.9100372206,synthetic,49.0125770569,1,20.4029263517,0.890567141174
natural,decode,1,128,4,20271132,6,43.4953269958,1,22.9909755615,synthetic,43.6823043823,1,22.8925651735,0.995719607994
natural,decode,1,128,4,20271132,7,48.8020477295,1,20.4909434445,synthetic,45.6534729004,1,21.9041386442,1.06896681959
natural,decode,1,128,4,20271132,8,43.5452461243,1,22.9646193099,synthetic,44.0297927856,1,22.7118943046,0.988995027441
natural,decode,1,128,4,20271132,9,43.6030387878,1,22.9341813736,synthetic,43.7076797485,1,22.8792744377,0.997605890743
natural,decode,1,128,4,20271132,10,43.3735046387,1,23.0555498877,synthetic,43.3260154724,1,23.0808208208,1.00109608894
natural,decode,1,128,4,20271132,11,43.4601287842,1,23.009595875,synthetic,43.0808334351,1,23.2121786016,1.00880427139
natural,decode,1,128,4,20271132,12,44.7969589233,1,22.3229438791,synthetic,43.276222229,1,23.1073774117,1.03514023674
natural,decode,1,128,4,20271132,13,43.6291847229,1,22.9204374629,synthetic,43.1540145874,1,23.1728150802,1.01101102968
