batch,bw_gbps,gpu_tflops,gpu_hbm_tbps,mfu,attn_us,expert_us,router_us,head_us,dispatch_us,combine_us,compute_us,comm_us,total_tbt_us,combine_frac_tbt,comm_frac_tbt,unique_experts_est,expert_bound_by
1,400,150,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,1.9623350857142856,10.48576,10.48576,1390.141658956682,20.97152,1411.113178956682,0.7430842654132628,1.4861685308265256,8.0,memory
1,400,150,2.0,0.35,268.435456,805.306368,2.097152,1.9623350857142856,10.48576,10.48576,1077.8013110857144,20.97152,1098.7728310857144,0.9543155512535616,1.9086311025071232,8.0,memory
1,400,312,1.0,0.35,536.870912,1610.612736,4.194304,0.9434303296703297,10.48576,10.48576,2152.6213823296703,20.97152,2173.5929023296703,0.4824160029581114,0.9648320059162228,8.0,memory
1,400,312,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.9434303296703297,10.48576,10.48576,1389.122754200638,20.97152,1410.094274200638,0.743621202628046,1.487242405256092,8.0,memory
1,400,312,2.0,0.35,268.435456,805.306368,2.097152,0.9434303296703297,10.48576,10.48576,1076.7824063296703,20.97152,1097.7539263296703,0.9552013204871002,1.9104026409742003,8.0,memory
1,400,750,1.0,0.35,536.870912,1610.612736,4.194304,0.3924670171428572,10.48576,10.48576,2152.0704190171427,20.97152,2173.041939017143,0.48253831698907124,0.9650766339781425,8.0,memory
1,400,750,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.3924670171428572,10.48576,10.48576,1388.5717908881106,20.97152,1409.5433108881107,0.7439118698235133,1.4878237396470266,8.0,memory
1,400,750,2.0,0.35,268.435456,805.306368,2.097152,0.3924670171428572,10.48576,10.48576,1076.231443017143,20.97152,1097.202963017143,0.9556809773066725,1.911361954613345,8.0,memory
1,800,150,1.0,0.35,536.870912,1610.612736,4.194304,1.9623350857142856,5.24288,5.24288,2153.640287085714,10.48576,2164.126047085714,0.24226315315876548,0.48452630631753096,8.0,memory
1,800,150,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,1.9623350857142856,5.24288,5.24288,1390.141658956682,10.48576,1400.627418956682,0.3743236730225792,0.7486473460451584,8.0,memory
1,800,150,2.0,0.35,268.435456,805.306368,2.097152,1.9623350857142856,5.24288,5.24288,1077.8013110857144,10.48576,1088.2870710857144,0.48175524080879817,0.9635104816175963,8.0,memory
1,800,312,1.0,0.35,536.870912,1610.612736,4.194304,0.9434303296703297,5.24288,5.24288,2152.6213823296703,10.48576,2163.1071423296703,0.2423772682084258,0.4847545364168516,8.0,memory
1,800,312,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.9434303296703297,5.24288,5.24288,1389.122754200638,10.48576,1399.608514200638,0.3745961779172499,0.7491923558344998,8.0,memory
1,800,312,2.0,0.35,268.435456,805.306368,2.097152,0.9434303296703297,5.24288,5.24288,1076.7824063296703,10.48576,1087.2681663296703,0.482206705057739,0.964413410115478,8.0,memory
1,800,750,1.0,0.35,536.870912,1610.612736,4.194304,0.3924670171428572,5.24288,5.24288,2152.0704190171427,10.48576,2162.5561790171428,0.24243901965972647,0.48487803931945295,8.0,memory
1,800,750,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.3924670171428572,5.24288,5.24288,1388.5717908881106,10.48576,1399.0575508881107,0.3747436977608149,0.7494873955216298,8.0,memory
1,800,750,2.0,0.35,268.435456,805.306368,2.097152,0.3924670171428572,5.24288,5.24288,1076.231443017143,10.48576,1086.717203017143,0.482451182832457,0.964902365664914,8.0,memory
1,1600,150,1.0,0.35,536.870912,1610.612736,4.194304,1.9623350857142856,2.62144,2.62144,2153.640287085714,5.24288,2158.883167085714,0.12142574642140982,0.24285149284281965,8.0,memory
1,1600,150,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,1.9623350857142856,2.62144,2.62144,1390.141658956682,5.24288,1395.384538956682,0.18786505990384775,0.3757301198076955,8.0,memory
1,1600,150,2.0,0.35,268.435456,805.306368,2.097152,1.9623350857142856,2.62144,2.62144,1077.8013110857144,5.24288,1083.0441910857144,0.24204367851067068,0.48408735702134137,8.0,memory
1,1600,312,1.0,0.35,536.870912,1610.612736,4.194304,0.9434303296703297,2.62144,2.62144,2152.6213823296703,5.24288,2157.86426232967,0.12148308147843577,0.24296616295687154,8.0,memory
1,1600,312,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.9434303296703297,2.62144,2.62144,1389.122754200638,5.24288,1394.365634200638,0.18800233853316525,0.3760046770663305,8.0,memory
1,1600,312,2.0,0.35,268.435456,805.306368,2.097152,0.9434303296703297,2.62144,2.62144,1076.7824063296703,5.24288,1082.0252863296703,0.2422716024402874,0.4845432048805748,8.0,memory
1,1600,750,1.0,0.35,536.870912,1610.612736,4.194304,0.3924670171428572,2.62144,2.62144,2152.0704190171427,5.24288,2157.3132990171425,0.12151410744069074,0.2430282148813815,8.0,memory
1,1600,750,1.55,0.35,346.3683303225806,1039.104990967742,2.706002580645161,0.3924670171428572,2.62144,2.62144,1388.5717908881106,5.24288,1393.8146708881106,0.18807665428931605,0.3761533085786321,8.0,memory
