block,rows,bf16_linear_us,dynamic_fp8_linear_us,prequant_fp8_mm_us,quant_only_us
11,2048,32.06399828195572,91.39200299978256,23.711999878287315,68.00000369548798
12,512,26.688000187277794,92.06400066614151,22.624000906944275,70.01599669456482
12,128,24.89599958062172,83.80799740552902,23.135999217629433,62.463998794555664
12,2,25.21600015461445,87.90399879217148,22.592000663280487,66.01600348949432
12,32,25.536000728607178,86.46400272846222,25.696000084280968,63.61600011587143
12,1,25.02400055527687,84.35200154781342,24.25600029528141,68.00000369548798
12,2048,31.71199932694435,93.08800101280212,25.855999439954758,72.54400104284286
12,8,24.512000381946564,88.639996945858,26.43200010061264,63.93600255250931
12,64,24.54400062561035,89.50400352478027,27.135999873280525,64.51199948787689
12,16,23.615999147295952,96.79999947547913,25.631999596953392,63.840001821517944
12,1024,32.51200169324875,91.36000275611877,23.744000121951103,71.03999704122543
12,4096,61.02399900555611,94.7519987821579,33.15199911594391,70.78400254249573
12,4,25.631999596953392,91.39200299978256,25.599999353289604,64.60800021886826
12,256,25.407999753952026,89.85599875450134,22.752000018954277,68.25599819421768
13,1024,33.695999532938,88.3840024471283,26.27200074493885,69.21599805355072
13,16,24.4159996509552,88.99199962615967,25.696000084280968,66.6240006685257
13,2048,33.85600075125694,90.43200314044952,22.943999618291855,68.92800331115723
13,64,24.86399933695793,89.85599875450134,25.151999667286873,68.31999868154526
13,128,25.05600079894066,84.79999750852585,22.36800082027912,63.35999816656113
13,512,26.079999282956123,85.95199882984161,22.624000906944275,70.27199864387512
13,4,23.711999878287315,88.67199718952179,26.30399912595749,66.3359984755516
13,1,24.89599958062172,85.40800213813782,22.84800074994564,65.79200178384781
13,32,25.087999179959297,86.2400010228157,25.472000241279602,65.31199812889099
13,8,24.480000138282776,92.12800115346909,26.91200003027916,66.46399945020676
13,2,25.05600079894066,87.90399879217148,24.383999407291412,64.44799900054932
13,4096,59.328000992536545,93.98400038480759,32.76799991726875,70.592001080513
13,256,24.57600086927414,91.71199798583984,24.351999163627625,68.15999746322632
14,2048,33.504001796245575,93.05600076913834,24.320000782608986,68.00000369548798
14,256,23.231999948620796,89.24800157546997,23.00800010561943,70.20799815654755
14,2,26.079999282956123,84.927998483181,22.752000018954277,64.06400352716446
14,32,24.768000468611717,88.70399743318558,27.456000447273254,64.89600241184235
14,4096,60.32000109553337,94.40000355243683,32.287999987602234,71.9040036201477
14,1,24.768000468611717,86.496002972126,23.711999878287315,66.14399701356888
14,1024,35.00799834728241,90.04800021648407,25.439999997615814,67.52000004053116
14,512,25.855999439954758,91.51999652385712,24.224000051617622,68.00000369548798
14,4,23.552000522613525,92.12800115346909,26.335999369621277,64.51199948787689
14,128,24.25600029528141,84.70399677753448,25.05600079894066,64.06400352716446
14,16,23.93599972128868,88.99199962615967,25.407999753952026,68.76800209283829
14,64,25.439999997615814,86.14400029182434,25.248000398278236,64.19199705123901
14,8,24.224000051617622,90.36800265312195,26.75200067460537,64.96000289916992
15,128,25.02400055527687,86.40000224113464,24.032000452280045,63.29599767923355
15,2048,32.03200176358223,88.92799913883209,25.66399984061718,71.52000069618225
15,4096,59.87200140953064,100.92800110578537,32.80000016093254,69.08799707889557
15,1,24.4159996509552,87.3280018568039,23.264000192284584,65.40799885988235
15,16,24.960000067949295,87.67999708652496,28.224000707268715,64.96000289916992
15,512,25.79200081527233,87.64799684286118,23.04000034928322,69.24799829721451
15,2,23.00800010561943,84.70399677753448,22.84800074994564,67.90400296449661
15,4,25.536000728607178,87.26400136947632,27.264000847935677,65.72800129652023
15,8,21.91999927163124,90.7519981265068,27.2000003606081,63.968002796173096
15,1024,30.7839997112751,88.86399865150452,24.70399998128414,69.21599805355072
15,32,25.02400055527687,88.76799792051315,27.904000133275986,65.72800129652023
15,256,24.4159996509552,88.95999938249588,23.711999878287315,68.80000233650208
15,64,25.919999927282333,93.28000247478485,26.464000344276428,64.67200070619583
16,16,23.231999948620796,88.86399865150452,27.23200060427189,67.58400052785873
16,256,24.639999493956566,90.7839983701706,25.05600079894066,68.83200258016586
16,128,25.087999179959297,87.67999708652496,22.911999374628067,64.00000303983688
16,512,25.82399919629097,87.52000331878662,24.383999407291412,69.82400268316269
16,2,25.087999179959297,85.08799970149994,23.00800010561943,65.21599739789963
16,4,24.191999807953835,91.839998960495,26.43200010061264,62.84800171852112
16,32,24.768000468611717,87.55200356245041,25.887999683618546,64.86400216817856
16,64,24.12799932062626,88.41600269079208,27.96800062060356,64.09599632024765
16,1024,32.35200047492981,87.45600283145905,26.079999282956123,65.98400324583054
16,4096,58.400001376867294,97.50399738550186,30.751999467611313,69.023996591568
16,8,24.70399998128414,89.02399986982346,26.399999856948853,63.77600133419037
16,1,22.752000018954277,88.83199840784073,23.04000034928322,64.80000168085098
16,2048,32.70399942994118,90.4960036277771,24.639999493956566,69.82400268316269
17,256,24.57600086927414,91.74399822950363,25.37599951028824,74.07999783754349
17,8,25.567999109625816,85.28000116348267,26.976000517606735,65.79200178384781
17,4,24.831999093294144,90.33600240945816,26.72000043094158,64.41599875688553
17,32,22.36800082027912,85.82399785518646,26.399999856948853,66.30399823188782
17,512,25.98400041460991,92.76799857616425,24.12799932062626,67.52000004053116
17,64,25.18399991095066,87.42400258779526,27.168000116944313,65.2799978852272
17,1024,33.92000123858452,86.5280032157898,23.32800067961216,69.21599805355072
17,2,23.711999878287315,83.93599838018417,23.520000278949738,67.90400296449661
17,128,24.671999737620354,89.91999924182892,23.16799946129322,63.29599767923355
17,4096,60.83200126886368,92.83199906349182,32.80000016093254,70.17599791288376
17,1,24.288000538945198,83.13599973917007,24.960000067949295,65.21599739789963
17,16,24.512000381946564,87.07199990749359,26.176000013947487,65.85600227117538
17,2048,33.15199911594391,90.36800265312195,23.840000852942467,72.1919983625412
18,256,25.18399991095066,89.72799777984619,24.191999807953835,69.76000219583511
18,2,24.73600022494793,84.6719965338707,25.50400048494339,63.00800293684006
18,512,25.05600079894066,88.8959988951683,23.711999878287315,69.15199756622314
18,1,23.711999878287315,93.24800223112106,22.175999358296394,66.17599725723267
18,128,25.151999667286873,84.76799726486206,24.831999093294144,65.31199812889099
18,1024,31.520001590251923,90.52799642086029,24.480000138282776,71.29599899053574
18,32,25.087999179959297,86.75199747085571,28.255999088287354,67.10399687290192
18,64,24.512000381946564,88.8959988951683,25.18399991095066,64.31999802589417
18,16,23.840000852942467,90.08000046014786,28.28799933195114,65.72800129652023
18,4096,59.93599817156792,94.65599805116653,34.07999873161316,69.85600292682648
18,2048,32.00000151991844,88.95999938249588,23.679999634623528,72.31999933719635
18,4,25.82399919629097,98.1760025024414,26.91200003027916,64.35199826955795
18,8,24.927999824285507,86.65599673986435,24.86399933695793,66.11199676990509
19,2048,31.775999814271927,89.47200328111649,24.800000712275505,72.31999933719635
19,1,25.82399919629097,86.2400010228157,25.919999927282333,67.96800345182419
19,8,25.151999667286873,88.06400001049042,24.73600022494793,64.7680014371872
19,2,25.728000327944756,89.9519994854927,22.207999601960182,67.03999638557434
19,64,25.087999179959297,89.9519994854927,25.50400048494339,63.90400230884552
19,4096,60.47999858856201,97.31200337409973,32.00000151991844,68.89600306749344
19,16,23.00800010561943,91.64799749851227,28.384000062942505,64.51199948787689
19,256,25.599999353289604,90.36800265312195,25.407999753952026,67.74400174617767
19,4,24.383999407291412,87.64799684286118,26.079999282956123,65.8240020275116
