global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
21,1,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8600,8600,1.0,8840800.0,17647200.0,9080100.0,4548900.0,363.204,283,51.5012788772583,14574.8619222641,51.5012788772583,233.4572788772583,2136.0,4425.0
22,1,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9552,9552,1.0,9819456.0,19600704.0,11050020.0,5535780.0,442.0008,310,51.5012788772583,15965.396451950073,51.5012788772583,272.9324788772583,2777.0,5385.0
23,1,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8927,8927,1.0,9176956.0,18318204.0,9843444.0,4931316.0,393.73776,296,51.5012788772583,15244.378547668457,51.5012788772583,248.75391887725831,3024.0,4797.0
24,1,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9392,9392,1.0,9654976.0,19272384.0,10500084.0,5260276.0,420.00336,311,51.5012788772583,16016.897730827332,51.5012788772583,261.9123188772583,2262.0,5117.0
25,1,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9467,9467,1.0,9732076.0,19426284.0,10356444.0,5188316.0,414.25776,312,51.5012788772583,16068.39900970459,51.5012788772583,259.0339188772583,2566.0,5047.0
26,1,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9485,9485,1.0,9750580.0,19463220.0,10680660.0,5350740.0,427.2264,312,51.5012788772583,16068.39900970459,51.5012788772583,265.53087887725826,2368.0,5205.0
27,1,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9400,9400,1.0,9663200.0,19288800.0,10719648.0,5370272.0,428.78592,308,51.5012788772583,15862.393894195557,51.5012788772583,266.3121588772583,2493.0,5224.0
28,1,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9926,9926,1.0,10203928.0,20368152.0,11649204.0,5835956.0,465.96816,326,51.5012788772583,16789.416913986206,51.5012788772583,284.9395188772583,2476.0,5677.0
29,1,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8602,8602,1.0,8842856.0,17651304.0,9153972.0,4585908.0,366.15888,286,51.5012788772583,14729.365758895874,51.5012788772583,234.9375988772583,2066.0,4461.0
30,1,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9505,9505,1.0,9771140.0,19504260.0,10811988.0,5416532.0,432.47952,314,51.5012788772583,16171.401567459106,51.5012788772583,268.16255887725833,2262.0,5269.0
31,1,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8494,8494,1.0,8731832.0,17429688.0,9139608.0,4578712.0,365.58432,281,51.5012788772583,14471.859364509583,51.5012788772583,234.6497588772583,2070.0,4454.0
