global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
10,0,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10320,10320,1.0,10608960.0,21176640.0,3552012.0,1779468.0,142.08048,338,51.5012788772583,17407.432260513306,51.5012788772583,122.6799988772583,1731.0,1644.0
11,0,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10386,10386,1.0,10676808.0,21312072.0,3991140.0,1999460.0,159.6456,342,51.5012788772583,17613.43737602234,51.5012788772583,131.4796788772583,1945.0,1730.0
12,0,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10371,10371,1.0,10661388.0,21281292.0,3876228.0,1941892.0,155.04912,340,51.5012788772583,17510.434818267822,51.5012788772583,129.1769588772583,1889.0,1660.0
13,0,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10390,10390,1.0,10680920.0,21320280.0,4889916.0,2449724.0,195.59664,343,51.5012788772583,17664.938654899597,51.5012788772583,149.49023887725832,2383.0,1910.0
14,0,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10331,10331,1.0,10620268.0,21199212.0,3453516.0,1730124.0,138.14064,336,51.5012788772583,17304.42970275879,51.5012788772583,120.7062388772583,1683.0,1646.0
15,0,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10593,10593,1.0,10889604.0,21736836.0,4177872.0,2093008.0,167.11488,346,51.5012788772583,17819.442491531372,51.5012788772583,135.22159887725832,1726.0,2036.0
16,1,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9324,9324,1.0,9585072.0,19132848.0,4052700.0,2030300.0,162.108,304,51.5012788772583,15656.388778686523,51.5012788772583,132.7132788772583,1975.0,1720.0
17,1,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9523,9523,1.0,9789644.0,19541196.0,3658716.0,1832924.0,146.34864,313,51.5012788772583,16119.900288581848,51.5012788772583,124.8182388772583,1783.0,1756.0
18,1,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9215,9215,1.0,9473020.0,18909180.0,3119040.0,1562560.0,124.7616,304,51.5012788772583,15656.388778686523,51.5012788772583,114.0036788772583,1520.0,1332.0
19,1,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9166,9166,1.0,9422648.0,18808632.0,3880332.0,1943948.0,155.21328,304,51.5012788772583,15656.388778686523,51.5012788772583,129.2591988772583,1891.0,1501.0
20,1,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9271,9271,1.0,9530588.0,19024092.0,4573908.0,2291412.0,182.95632,305,51.5012788772583,15707.890057563782,51.5012788772583,143.1577588772583,2229.0,1666.0
21,1,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9244,9244,1.0,9502832.0,18968688.0,3515076.0,1760964.0,140.60304,305,51.5012788772583,15707.890057563782,51.5012788772583,121.9398388772583,1582.0,1713.0
22,1,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9003,9003,1.0,9255084.0,18474156.0,3496608.0,1751712.0,139.86432,297,51.5012788772583,15295.879826545715,51.5012788772583,121.5697588772583,1704.0,1383.0
23,1,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9414,9414,1.0,9677592.0,19317528.0,3802356.0,1904884.0,152.09424,310,51.5012788772583,15965.396451950073,51.5012788772583,127.6966388772583,1853.0,1681.0
24,1,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9308,9308,1.0,9568624.0,19100016.0,3096468.0,1551252.0,123.85872,307,51.5012788772583,15810.892615318298,51.5012788772583,113.55135887725831,1336.0,1509.0
25,1,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9394,9394,1.0,9657032.0,19276488.0,4142988.0,2075532.0,165.71952,306,51.5012788772583,15759.39133644104,51.5012788772583,134.5225588772583,2019.0,1513.0
26,1,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9191,9191,1.0,9448348.0,18859932.0,3418632.0,1712648.0,136.74528,302,51.5012788772583,15553.386220932007,51.5012788772583,120.0071988772583,1666.0,1452.0
27,1,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9342,9342,1.0,9603576.0,19169784.0,3188808.0,1597512.0,127.55232,306,51.5012788772583,15759.39133644104,51.5012788772583,115.4017588772583,1481.0,1554.0
28,1,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9057,9057,1.0,9310596.0,18584964.0,3082104.0,1544056.0,123.28416,297,51.5012788772583,15295.879826545715,51.5012788772583,113.26351887725829,1502.0,1388.0
