strategy,sample_id,token_count,nll_sum,mean_nll,sample_ppl,kl_sum,mean_token_kl
uniform_int4,174,127,343.9562072753906,2.708316592719611,15.003996406541983,32.53947830200195,0.25621636458269254
uniform_int4,175,127,361.5799560546875,2.847086268147146,17.237483193923612,36.56428146362305,0.287907728060024
uniform_int4,176,127,187.9178924560547,1.4796684445358637,4.39148941720403,27.45503807067871,0.21618140213132844
uniform_int4,177,127,324.8404541015625,2.5577988511934056,12.90737497109664,26.39963150024414,0.20787111417515072
uniform_int4,178,127,161.98260498046875,1.275453582523376,3.5803250147090835,41.26573181152344,0.3249270221379798
uniform_int4,179,127,258.3038024902344,2.0338882085845227,7.643749144902734,24.425968170166016,0.19233045803280327
uniform_int4,180,127,308.9811706542969,2.4329226035771407,11.392128148275239,31.823362350463867,0.2505776563028651
uniform_int4,181,127,321.6386413574219,2.5325877272237944,12.586033253754326,26.481002807617188,0.208511833130844
uniform_int4,182,127,224.55638122558594,1.7681604820912278,5.860063748370259,37.84718322753906,0.2980093167522761
uniform_int4,183,127,337.1273193359375,2.654545821542815,14.21852684403786,41.293495178222656,0.32514563132458785
block_gate16_f504_int4,160,127,210.2884979248047,1.6558149442898007,5.237346328984528,1.5827089548110962,0.01246227523473304
block_gate16_f504_int4,161,127,277.3923645019531,2.1841918464720718,8.883466446890631,3.2123045921325684,0.025293736945925734
block_gate16_f504_int4,162,127,301.3890380859375,2.373142032172736,10.731056694466703,2.4497761726379395,0.01928957616250346
block_gate16_f504_int4,163,127,114.67882537841797,0.9029828769954171,2.4669507578101553,2.66890287399292,0.02101498325978677
block_gate16_f504_int4,164,127,240.59494018554688,1.894448347917692,6.648879524518521,2.571331262588501,0.020246702855027568
block_gate16_f504_int4,165,127,337.1083984375,2.6543968380905514,14.216408676612401,3.814401626586914,0.030034658477062316
block_gate16_f504_int4,166,127,306.4298095703125,2.412833146222933,11.165550011839448,3.696805000305176,0.029108700789804532
block_gate16_f504_int4,167,127,281.18695068359375,2.2140704778235727,9.15289733522755,2.1741232872009277,0.017119081001582107
block_gate16_f504_int4,168,127,248.3252410888672,1.955316858967458,7.066157644434065,3.5896787643432617,0.028265187120813086
block_gate16_f504_int4,169,127,267.4933776855469,2.106247068390133,8.217344212746761,2.386376142501831,0.01879036332678607
block_gate16_f504_int4,170,127,322.1806945800781,2.5368558628352607,12.6398669535334,3.5020015239715576,0.027574815149382342
block_gate16_f504_int4,171,127,359.89007568359375,2.8337801234928643,17.009637981469865,2.8080930709838867,0.02211096906286525
block_gate16_f504_int4,172,127,326.7225646972656,2.572618619663509,13.100083702146284,2.9299614429473877,0.023070562542892817
block_gate16_f504_int4,173,127,237.78248596191406,1.8723030390701896,6.503256419536487,3.9801650047302246,0.03133988192700964
