layer,receiver_group,rank,count,mean_share,median_share,p75_share,p90_share,full_bytes,policy_bytes,policy_byte_saving
2,2,9,3613,0.04422411695122719,0.04417910426855087,0.05059779807925224,0.056562211364507675,3699712.0,3699712.0,0.0
2,2,10,3560,0.040496740490198135,0.04016803205013275,0.04650067165493965,0.05238861218094826,3645440.0,3645440.0,0.0
2,2,11,3578,0.037113677710294724,0.03667769208550453,0.042824383825063705,0.048303160816431046,3663872.0,3663872.0,0.0
2,2,12,3511,0.03395878151059151,0.03347189724445343,0.039478741586208344,0.04531583562493324,3595264.0,3595264.0,0.0
2,2,13,3646,0.03085930086672306,0.0305702555924654,0.03621356561779976,0.04180597513914108,3733504.0,3733504.0,0.0
2,2,14,3498,0.028819136321544647,0.028527691960334778,0.03360423445701599,0.03842298686504364,3581952.0,3581952.0,0.0
2,2,15,3496,0.027027474716305733,0.026462029665708542,0.03164657950401306,0.03644372522830963,3579904.0,3579904.0,0.0
2,2,16,3488,0.02510492131114006,0.02473490685224533,0.029361341148614883,0.03388494998216629,3571712.0,3571712.0,0.0
2,3,1,4337,0.20355743169784546,0.1785445213317871,0.23686151206493378,0.3041802644729614,4441088.0,4441088.0,0.0
2,3,2,3420,0.12037914246320724,0.11554404348134995,0.1372232437133789,0.1620905101299286,3502080.0,3502080.0,0.0
2,3,3,3581,0.09311135858297348,0.09084555506706238,0.10502593964338303,0.12062891572713852,3666944.0,3666944.0,0.0
2,3,4,3501,0.0793699100613594,0.07806866616010666,0.08922314643859863,0.09978339821100235,3585024.0,3585024.0,0.0
2,3,5,3536,0.0686277523636818,0.0679287537932396,0.07703320682048798,0.08631281554698944,3620864.0,3620864.0,0.0
2,3,6,3497,0.059879038482904434,0.059433408081531525,0.06759832799434662,0.07561638206243515,3580928.0,3580928.0,0.0
2,3,7,3538,0.05204205960035324,0.0520569272339344,0.05942402780056,0.06761635839939117,3622912.0,3622912.0,0.0
2,3,8,3351,0.047625020146369934,0.0473274402320385,0.05441645532846451,0.061167534440755844,3431424.0,3431424.0,0.0
2,3,9,3241,0.04350261390209198,0.04323136433959007,0.04980725422501564,0.056268393993377686,3318784.0,3318784.0,0.0
2,3,10,3305,0.0395064502954483,0.03932754322886467,0.04543028399348259,0.051383040845394135,3384320.0,3384320.0,0.0
2,3,11,3365,0.03634944185614586,0.03602743521332741,0.04226359724998474,0.04739640653133392,3445760.0,3445760.0,0.0
2,3,12,3502,0.032971519976854324,0.03263501822948456,0.03850631043314934,0.04374950751662254,3586048.0,3586048.0,0.0
2,3,13,3391,0.031042613089084625,0.03061719983816147,0.0360725000500679,0.04126409441232681,3472384.0,3472384.0,0.0
2,3,14,3224,0.028772303834557533,0.02823767624795437,0.03354816883802414,0.03849387168884277,3301376.0,3301376.0,0.0
2,3,15,3473,0.02631419524550438,0.025990687310695648,0.031210357323288918,0.03599437326192856,3556352.0,3556352.0,0.0
2,3,16,3262,0.02489885501563549,0.024236690253019333,0.029453059658408165,0.03414306789636612,3340288.0,3340288.0,0.0
3,0,1,3321,0.21080002188682556,0.1972401738166809,0.2466275990009308,0.3048536777496338,3400704.0,3400704.0,0.0
3,0,2,2989,0.13603118062019348,0.13017216324806213,0.15471935272216797,0.18265071511268616,3060736.0,3060736.0,0.0
3,0,3,3250,0.10819826275110245,0.10245262831449509,0.12095348536968231,0.14405596256256104,3328000.0,3328000.0,0.0
3,0,4,3263,0.08097588270902634,0.08146201074123383,0.0939735621213913,0.10660406202077866,3341312.0,3341312.0,0.0
3,0,5,3308,0.06933141499757767,0.06879838556051254,0.07917715609073639,0.08913960307836533,3387392.0,3387392.0,0.0
3,0,6,3412,0.06023768335580826,0.059975799173116684,0.06908140331506729,0.07731799781322479,3493888.0,3493888.0,0.0
3,0,7,3526,0.05264770984649658,0.05227116122841835,0.060183532536029816,0.06790222227573395,3610624.0,3610624.0,0.0
3,0,8,3519,0.04599853977560997,0.04568593576550484,0.05325359106063843,0.06030287221074104,3603456.0,3603456.0,0.0
3,0,9,3490,0.041390255093574524,0.04104221984744072,0.04782777652144432,0.05391209200024605,3573760.0,3573760.0,0.0
3,0,10,3297,0.037676990032196045,0.03729347884654999,0.0435761995613575,0.04943203926086426,3376128.0,3376128.0,0.0
3,0,11,3439,0.03291766718029976,0.03308890759944916,0.03871294856071472,0.04446113482117653,3521536.0,3521536.0,0.0
3,0,12,3259,0.03108907863497734,0.030725955963134766,0.03614647313952446,0.04131493344902992,3337216.0,3337216.0,0.0
3,0,13,3327,0.028662852942943573,0.028149962425231934,0.0336158312857151,0.038831111043691635,3406848.0,3406848.0,0.0
3,0,14,3346,0.026290174573659897,0.02624654956161976,0.030138077214360237,0.03513764590024948,3426304.0,3426304.0,0.0
3,0,15,3330,0.024051882326602936,0.02356894500553608,0.028161808848381042,0.03250602260231972,3409920.0,3409920.0,0.0
3,0,16,3426,0.0224239993840456,0.021889835596084595,0.02635740488767624,0.031022056937217712,3508224.0,3508224.0,0.0
3,1,1,2697,0.2279638797044754,0.20361992716789246,0.2655527889728546,0.35031768679618835,2761728.0,2761728.0,0.0
3,1,2,3298,0.13399624824523926,0.1288614124059677,0.15462568402290344,0.17721600830554962,3377152.0,3377152.0,0.0
3,1,3,3521,0.10369504988193512,0.10106378048658371,0.11709849536418915,0.13283348083496094,3605504.0,3605504.0,0.0
3,1,4,3442,0.08420790731906891,0.08309079706668854,0.09581278264522552,0.1078292727470398,3524608.0,3524608.0,0.0
