layer,rank,group_median_share_mean,group_median_share_min,group_median_share_max,group_median_share_cv,group_median_share_max_over_min,traffic_max_over_mean,traffic_max_over_min
2,9,0.04394254740327597,0.042926426976919174,0.04543329402804375,0.02222906541978773,1.0583991547321763,1.1456584713659659,1.400653832183073
2,10,0.03968208096921444,0.037837959825992584,0.04139478877186775,0.032604922102285286,1.0940016047966683,1.0770259228997994,1.2193070972082072
2,11,0.03634549584239721,0.035026803612709045,0.03765005245804787,0.026290851575838305,1.0748926129356264,1.1004976602540295,1.3153409090909092
2,12,0.03336773905903101,0.032591309398412704,0.034772731363773346,0.026487362180041274,1.0669326273054522,1.0431553145658472,1.1672207446808511
2,13,0.030696092639118433,0.029477547854185104,0.03211936727166176,0.030615082727502976,1.0896214105238602,1.0832652454876328,1.195801902263037
2,14,0.02837933460250497,0.027023278176784515,0.029728692024946213,0.033897701563791294,1.1001141989681287,1.039292876773379,1.0849875930521091
2,15,0.026268265210092068,0.02528827078640461,0.02733207307755947,0.02827530817810186,1.0808201679117435,1.0386986555745377,1.1007556675062973
2,16,0.024398452136665583,0.023191291838884354,0.025430919602513313,0.033439531341847774,1.0965719279110542,1.060387729332244,1.1351781170483461
3,1,0.20320653915405273,0.1972401738166809,0.20704691112041473,0.017988944749352906,1.049719776219871,1.3295699324073387,1.6592510196514645
3,2,0.1281733624637127,0.12581074237823486,0.13017216324806213,0.012431613821429913,1.034666522010618,1.2858946742925055,1.5196629213483146
3,3,0.09893542341887951,0.09599367529153824,0.10245262831449509,0.02897249084743806,1.0672851935644785,1.2044863700512516,1.536770280515542
3,4,0.08040154725313187,0.07793861627578735,0.08309079706668854,0.02493607881414476,1.0661056230799646,1.1183242962192677,1.257181028724115
3,5,0.06733568757772446,0.06513211131095886,0.06956253200769424,0.02794406186219198,1.0680220648089132,1.139122038178712,1.3261847111726046
3,6,0.05823109671473503,0.05641128495335579,0.059975799173116684,0.028521517254682053,1.0631879635911192,1.0844536878853153,1.2277161116717121
3,7,0.050813840702176094,0.04881403595209122,0.05291992798447609,0.03548276467314036,1.0841129390820015,1.0476119735571567,1.1403622250970247
3,8,0.044871035031974316,0.04285425692796707,0.04747068136930466,0.0408562116269946,1.1077238242421807,1.0713808215108074,1.1700194678780014
