model_key,split,text_sha256,policy,period,document_mean_kl,document_cvar90_kl,document_p95_kl,total_candidate_forward_calls,audit_events,dangerous_steps,dangerous_step_recall,threshold_violation_fraction,diagnostic_high_forward_calls,diagnostic_low_forward_calls,physical_high_forward_calls,physical_low_forward_calls
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,always_low,,0.04458688013906453,0.1908653974533081,0.1519317828118801,32,0,5,0.0,0.15625,32,0,32,32
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,triage_2_4_8,2,0.03344120087029978,0.15969893895089626,0.09868405759334564,46,14,4,0.75,0.03125,12,6,32,32
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,hash_budget_matched_2_4_8,2,0.03344120087029978,0.15969893895089626,0.09868405759334564,46,14,4,0.75,0.03125,12,6,32,32
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,fixed_2,2,0.03344120087029978,0.15969893895089626,0.09868405759334564,46,14,4,0.75,0.03125,12,6,32,32
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,fixed_4,4,0.033680756818313284,0.1292843259871006,0.11141688600182532,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,fixed_8,8,0.03344120087029978,0.15969893895089626,0.09868405759334564,36,4,4,0.75,0.03125,22,6,32,32
olmoe,sealed,f261e23280a87e9b027ebd807be5a4bc17ee40a89c5227b11e7c2e50d24dfab8,full_shadow,1,0.02205244107747717,0.08265564497560263,0.0892315626144409,64,32,5,1.0,0.0,0,0,32,32
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,always_low,,0.03647879090203787,0.11196007020771503,0.10792826823890207,32,0,1,0.0,0.03125,32,0,32,32
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,triage_2_4_8,4,0.03647879090203787,0.11196007020771503,0.10792826823890207,40,8,1,0.0,0.03125,24,0,32,32
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,hash_budget_matched_2_4_8,8,0.03647879090203787,0.11196007020771503,0.10792826823890207,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,a3ec52aaeff96dfd6be199576cd14f9747423a5fcd68c5f0eb2d3ee92f30c7c6,fixed_2,2,0.03647879090203787,0.11196007020771503,0.10792826823890207,48,16,1,0.0,0.03125,16,0,32,32
