layer,rank,precision,delta_kl,local_relative_mse,bytes_per_element,byte_saving_per_rank
8,1,int8,0.13545988989062607,0.0056863402872729335,1.0,0.0625
8,1,int4,0.9192339330911636,0.02341697524424328,0.5,0.09375
8,1,drop,5.135509103536606,0.8345408325603041,0.0,0.125
8,2,int8,0.03408098762156442,8.102322996182856e-06,1.0,0.0625
8,2,int4,0.09756724839098752,0.002218209667113201,0.5,0.09375
8,2,drop,1.1780851241201162,0.04534861481927727,0.0,0.125
8,3,int8,0.0359849592205137,5.900363960208607e-06,1.0,0.0625
8,3,int4,0.08421177556738257,0.0015219837633205348,0.5,0.09375
8,3,drop,0.8001884082332253,0.02926868531414325,0.0,0.125
8,4,int8,0.03755525517044589,4.37692358691631e-06,1.0,0.0625
8,4,int4,0.0720055365236476,0.0010486612907807608,0.5,0.09375
8,4,drop,0.5158699778839946,0.019728999291711458,0.0,0.125
8,5,int8,0.03278572333510965,3.098988922204287e-06,1.0,0.0625
8,5,int4,0.05743046256247908,0.0006626901316839381,0.5,0.09375
8,5,drop,0.41994397388771176,0.014415024328554944,0.0,0.125
8,6,int8,0.0290889409952797,2.3016335307877775e-06,1.0,0.0625
8,6,int4,0.053366401232779026,0.0004336441576118666,0.5,0.09375
8,6,drop,0.2837199147325009,0.009790321255402525,0.0,0.125
8,7,int8,0.037181172985583544,1.7674794806202254e-06,1.0,0.0625
8,7,int4,0.04853402025764808,0.0002869733795865343,0.5,0.09375
8,7,drop,0.23661613347940147,0.006784198939389081,0.0,0.125
8,8,int8,0.03375304746441543,1.4695501601430278e-06,1.0,0.0625
8,8,int4,0.048686956986784935,0.0002160229813894968,0.5,0.09375
8,8,drop,0.17564761685207486,0.0048855415144793204,0.0,0.125
9,1,int8,0.15010705264285207,0.002173725665841745,1.0,0.0625
9,1,int4,0.8117777528241277,0.008327804168996191,0.5,0.09375
9,1,drop,8.458852484822273,0.8599882188284464,0.0,0.125
9,2,int8,0.029506636084988713,1.1042187111205941e-05,1.0,0.0625
