block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
3,2,r32_a8_linear_skew_rep1,32,8,linear_skew,1,0.1875,0.375,12;15;17;18;39;41;47;58,6;6;5;4;4;3;2;2,474.016010761261
3,3,r64_a2_hot50_rep2,64,2,hot50,2,0.5,0.0,45;50,32;32,165.43999314308167
3,4,r128_a1_zipf_rep0,128,1,zipf,0,1.0,0.0,48,128,106.6880002617836
3,5,r64_a1_zipf_rep0,64,1,zipf,0,1.0,0.0,39,64,107.68000036478043
3,6,r256_a2_zipf_rep2,256,2,zipf,2,0.6640625,0.328125,27;45,170;86,163.29599916934967
3,7,r32_a2_hot50_rep0,32,2,hot50,0,0.5,0.0,7;54,16;16,152.0639955997467
3,8,r128_a16_uniform_rep0,128,16,uniform,0,0.0625,0.0,11;12;13;17;18;22;24;33;41;43;47;50;57;60;62;63,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,903.1680226325989
3,9,r128_a16_uniform_rep1,128,16,uniform,1,0.0625,0.0,3;6;12;15;21;27;30;33;40;42;45;46;48;52;60;62,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,907.3280096054077
3,10,r32_a8_hot50_rep0,32,8,hot50,0,0.40625,0.8569568250501305,2;11;19;21;22;41;43;52,13;3;3;3;3;3;2;2,473.05598855018616
3,11,r64_a2_uniform_rep2,64,2,uniform,2,0.5,0.0,45;50,32;32,166.04800522327423
3,12,r256_a1_hot50_rep0,256,1,hot50,0,1.0,0.0,62,256,113.47199976444244
3,13,r32_a16_hot50_rep0,32,16,hot50,0,0.28125,0.9354143466934853,3;4;5;7;8;9;15;19;21;23;25;30;36;38;45;62,9;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,905.1200151443481
3,14,r256_a8_zipf_rep0,256,8,zipf,0,0.359375,0.7842131307081003,0;5;10;21;27;34;36;50,92;47;32;24;19;16;14;12,509.4720125198364
3,15,r256_a8_hot50_rep0,256,8,hot50,0,0.48828125,1.0985386244347533,0;5;10;21;27;34;36;50,125;19;19;19;19;19;18;18,520.4480290412903
3,16,r256_a2_hot50_rep0,256,2,hot50,0,0.5,0.0,4;62,128;128,152.63999998569489
3,17,r32_a1_linear_skew_rep0,32,1,linear_skew,0,1.0,0.0,37,32,112.19199746847153
3,18,r64_a1_zipf_rep1,64,1,zipf,1,1.0,0.0,24,64,114.3679991364479
3,19,r64_a8_linear_skew_rep1,64,8,linear_skew,1,0.203125,0.42389562394532926,1;10;12;17;30;31;42;43,13;12;10;9;7;6;4;3,474.91198778152466
3,20,r64_a1_uniform_rep1,64,1,uniform,1,1.0,0.0,24,64,111.32799834012985
3,21,r256_a16_linear_skew_rep0,256,16,linear_skew,0,0.11328125,0.5019493251315316,0;1;3;11;12;15;17;18;22;35;42;47;50;57;58;59,29;27;26;24;22;20;19;17;15;13;12;10;8;6;5;3,955.7440280914307
3,22,r32_a8_zipf_rep1,32,8,zipf,1,0.3125,0.6123724356957945,12;15;17;18;39;41;47;58,10;5;4;3;3;3;2;2,473.28001260757446
3,23,r256_a16_zipf_rep2,256,16,zipf,2,0.28125,1.0404419884116558,1;4;5;14;19;23;25;33;35;37;42;45;52;53;57;59,72;37;25;19;15;13;11;10;9;8;7;7;6;6;6;5,927.7120232582092
3,24,r64_a4_zipf_rep0,64,4,zipf,0,0.46875,0.5284854539152426,9;42;56;58,30;15;11;8,265.4399871826172
3,25,r256_a16_hot50_rep1,256,16,hot50,1,0.47265625,1.6944302139657448,7;16;19;20;21;25;27;34;35;36;40;47;56;57;60;63,121;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9,907.3600172996521
3,26,r256_a16_uniform_rep0,256,16,uniform,0,0.0625,0.0,0;1;3;11;12;15;17;18;22;35;42;47;50;57;58;59,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,897.6320028305054
