model,placement,origin_mode,budget_fraction,info_mode,hot_minus_random_mean,hot_minus_random_std,frac_seeds_hot_beats_random_ci,hot_job_p99_us_mean,random_job_p99_us_median_mean,n_seeds
olmoe,contiguous,balanced,0.25,oracle_same_step,0.0528984033074433,0.015558571101845248,1.0,2761.0191360000003,2923.2144213333336,24
olmoe,contiguous,balanced,0.5,calib_static,-0.04765926171565895,0.023482581271011452,1.0,2906.9120000000003,2733.867392,24
olmoe,contiguous,balanced,0.5,causal_prev_step,-0.018552670806482454,0.020878950492344752,0.9583333333333334,2830.5692160000003,2733.867392,24
olmoe,contiguous,balanced,0.5,oracle_same_step,0.06098442219375671,0.011778590265116504,1.0,2553.8924373333334,2733.867392,24
olmoe,contiguous,balanced,0.75,calib_static,-0.022332822592343666,0.0188905949894372,1.0,2620.9978026666668,2544.5055573333334,24
olmoe,contiguous,balanced,0.75,causal_prev_step,-0.011038156099606655,0.014679427782013827,1.0,2601.7766400000005,2544.5055573333334,24
olmoe,contiguous,balanced,0.75,oracle_same_step,0.04826030956195293,0.004816709970583816,1.0,2388.7936853333335,2544.5055573333334,24
olmoe,contiguous,hotspot,0.25,calib_static,0.0569809671060529,0.0034812443367923432,1.0,8474.149802666667,9034.96192,24
olmoe,contiguous,hotspot,0.25,causal_prev_step,0.05559694806716287,0.004663975271794051,1.0,8477.308757333334,9034.96192,24
olmoe,contiguous,hotspot,0.25,oracle_same_step,0.057843184211342547,0.0027449098160839858,1.0,8474.149802666667,9034.96192,24
olmoe,contiguous,hotspot,0.5,calib_static,0.1068860871143008,0.006454535837981817,1.0,7359.310506666668,8436.418218666668,24
olmoe,contiguous,hotspot,0.5,causal_prev_step,0.1053779744455627,0.007343145710854458,1.0,7361.922816000001,8436.418218666668,24
olmoe,contiguous,hotspot,0.5,oracle_same_step,0.10792586428873317,0.005700113336770466,1.0,7359.310506666668,8436.418218666668,24
olmoe,contiguous,hotspot,0.75,calib_static,0.05942258891482496,0.0016799331101220274,1.0,7242.530133333334,7837.600426666668,24
olmoe,contiguous,hotspot,0.75,causal_prev_step,0.05877070319616775,0.0020695259018218186,1.0,7243.082581333333,7837.600426666668,24
olmoe,contiguous,hotspot,0.75,oracle_same_step,0.0599383508775713,0.001478667302600837,1.0,7242.530133333334,7837.600426666668,24
olmoe,round_robin,balanced,0.25,calib_static,-0.031309620480674955,0.010147060444624881,1.0,2991.230634666667,2883.797504,24
olmoe,round_robin,balanced,0.25,causal_prev_step,-0.01712756431133253,0.013716981608268697,0.9583333333333334,2958.7090773333334,2883.797504,24
olmoe,round_robin,balanced,0.25,oracle_same_step,0.04453410556770162,0.015103370232161495,1.0,2755.56352,2883.797504,24
olmoe,round_robin,balanced,0.5,calib_static,-0.06746343754140231,0.01878370732066415,1.0,2941.8635093333337,2697.162026666667,24
olmoe,round_robin,balanced,0.5,causal_prev_step,-0.021869900838557308,0.015498011791458197,1.0,2797.761450666667,2697.162026666667,24
olmoe,round_robin,balanced,0.5,oracle_same_step,0.05506590965591809,0.010763936198058233,1.0,2540.567466666667,2697.162026666667,24
olmoe,round_robin,balanced,0.75,calib_static,-0.041966210444811185,0.019589020040990217,1.0,2669.306538666667,2510.865578666667,24
olmoe,round_robin,balanced,0.75,causal_prev_step,-0.01350514907435644,0.011323103179389591,0.9583333333333334,2572.614314666667,2510.865578666667,24
olmoe,round_robin,balanced,0.75,oracle_same_step,0.04614092995063601,0.004868762273757276,1.0,2365.0970453333334,2510.865578666667,24
olmoe,round_robin,hotspot,0.25,calib_static,0.0581895464287559,0.004055126840979656,1.0,8225.930325333335,8782.152661333334,24
olmoe,round_robin,hotspot,0.25,causal_prev_step,0.05681751754712191,0.004874095402769818,1.0,8227.529472,8782.152661333334,24
olmoe,round_robin,hotspot,0.25,oracle_same_step,0.059548454275540806,0.0031158992572517742,1.0,8225.930325333335,8782.152661333334,24
olmoe,round_robin,hotspot,0.5,calib_static,0.10817111576029274,0.006532532619102258,1.0,7143.635712,8200.555818666668,24
olmoe,round_robin,hotspot,0.5,causal_prev_step,0.10660116363461151,0.007155322041517494,1.0,7145.458432,8200.555818666668,24
olmoe,round_robin,hotspot,0.5,oracle_same_step,0.10948849434400448,0.00602310161699987,1.0,7143.635712,8200.555818666668,24
olmoe,round_robin,hotspot,0.75,calib_static,0.05939282776962065,0.0019571844417733734,1.0,7039.580928,7618.518698666668,24
olmoe,round_robin,hotspot,0.75,causal_prev_step,0.058854392719852267,0.0022361269821014,1.0,7040.203008,7618.518698666668,24
olmoe,round_robin,hotspot,0.75,oracle_same_step,0.06029673320510465,0.0017195978538838191,1.0,7039.580928,7618.518698666668,24
