layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
6,8,13157,0.057941045612096786,0.05563695356249809,0.06901391595602036,0.0824332982301712,4.137844085693359
7,1,13157,0.25323486328125,0.24139666557312012,0.2971841096878052,0.35469090938568115,
7,2,13157,0.18024581670761108,0.1734822690486908,0.20892465114593506,0.24641430377960205,
7,3,13157,0.14063163101673126,0.13642235100269318,0.16306452453136444,0.19131842255592346,
7,4,13157,0.11640191823244095,0.1125902384519577,0.13559028506278992,0.1600077748298645,
7,5,13157,0.09777221828699112,0.09377337247133255,0.11506690084934235,0.13853463530540466,
7,6,13157,0.08181440830230713,0.07832103967666626,0.0968511626124382,0.11781327426433563,
7,7,13157,0.06951220333576202,0.06647226214408875,0.08183791488409042,0.09932853281497955,
7,8,13157,0.06038694083690643,0.0573016032576561,0.07091916352510452,0.08651089668273926,4.164285659790039
8,1,13157,0.24798591434955597,0.23020821809768677,0.28555232286453247,0.345298171043396,
8,2,13157,0.18203547596931458,0.17504717409610748,0.21282336115837097,0.2565822899341583,
8,3,13157,0.1435464471578598,0.13835573196411133,0.16832232475280762,0.20050446689128876,
8,4,13157,0.11720557510852814,0.11335243284702301,0.13738510012626648,0.16498570144176483,
8,5,13157,0.09775497019290924,0.09438379853963852,0.11562930792570114,0.13958124816417694,
8,6,13157,0.08209877461194992,0.0790710300207138,0.09718238562345505,0.11686723679304123,
8,7,13157,0.06954377144575119,0.0665590763092041,0.08255063742399216,0.10040841996669769,
8,8,13157,0.059829071164131165,0.057350024580955505,0.07082948833703995,0.08610686659812927,3.9923758506774902
9,1,13157,0.2645355463027954,0.24438375234603882,0.31424301862716675,0.3850032687187195,
9,2,13157,0.18302030861377716,0.16875021159648895,0.2189939320087433,0.27720049023628235,
9,3,13157,0.14480485022068024,0.13511541485786438,0.17003099620342255,0.2143620252609253,
9,4,13157,0.1174926906824112,0.11128537356853485,0.1391688585281372,0.17207194864749908,
9,5,13157,0.09479307383298874,0.09050951153039932,0.11329866200685501,0.138518288731575,
9,6,13157,0.07805860042572021,0.07438633590936661,0.09398667514324188,0.11605315655469894,
9,7,13157,0.06349159777164459,0.06008433178067207,0.07643543183803558,0.09435160458087921,
9,8,13157,0.053803328424692154,0.05088057368993759,0.06470150500535965,0.07986991852521896,4.802765369415283
10,1,13157,0.2708428204059601,0.24849288165569305,0.3175032436847687,0.39659807085990906,
10,2,13157,0.18271932005882263,0.17441993951797485,0.21584096550941467,0.2644338309764862,
10,3,13157,0.14701396226882935,0.1402144432067871,0.17550082504749298,0.21317245066165924,
10,4,13157,0.1204829066991806,0.11475563794374466,0.14334475994110107,0.1772446185350418,
10,5,13157,0.09579766541719437,0.09061412513256073,0.11464696377515793,0.14337898790836334,
10,6,13157,0.07493443787097931,0.07054585963487625,0.09022560715675354,0.11276853829622269,
10,7,13157,0.059736885130405426,0.05617380887269974,0.07196905463933945,0.09122627973556519,
10,8,13157,0.04847200959920883,0.045269135385751724,0.05833396688103676,0.07402922213077545,5.4947028160095215
11,1,13157,0.2652985155582428,0.24545086920261383,0.3176726996898651,0.4011665880680084,
11,2,13157,0.19296160340309143,0.18057064712047577,0.23371855914592743,0.29317447543144226,
11,3,13157,0.1517598032951355,0.1401272416114807,0.18506191670894623,0.23345041275024414,
11,4,13157,0.1204250305891037,0.11148085445165634,0.1464698612689972,0.18735119700431824,
11,5,13157,0.09348959475755692,0.08514955639839172,0.11465553194284439,0.14759224653244019,
11,6,13157,0.07218079268932343,0.06608042120933533,0.08722678571939468,0.11229689419269562,
11,7,13157,0.05724530667066574,0.05253202095627785,0.06986717134714127,0.09035326540470123,
11,8,13157,0.04663930833339691,0.0425114706158638,0.05669263005256653,0.07445558160543442,5.630887031555176
12,1,13157,0.26226606965065,0.24395957589149475,0.3120068609714508,0.39127764105796814,
