phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
prefill,4,model.layers.4.block_sparse_moe,5,4.96873617172,5.02506217957,4,0.0621700295698
prefill,4,model.layers.5.block_sparse_moe,5,4.98364782333,5.03416957855,5,0.0623566077638
prefill,4,model.layers.6.block_sparse_moe,5,4.9959359169,5.57091207504,6,0.0625103593646
prefill,4,model.layers.7.block_sparse_moe,5,4.98207998276,5.06081295013,7,0.0623369905631
prefill,4,model.layers.8.block_sparse_moe,5,4.94751977921,4.98821744919,8,0.0619045649316
prefill,4,model.layers.9.block_sparse_moe,5,4.9989118576,5.03098249435,9,0.062547595055
prefill,4,model.layers.10.block_sparse_moe,5,4.949696064,4.98145294189,10,0.0619317951336
prefill,4,model.layers.11.block_sparse_moe,5,4.98755216599,5.01372795105,11,0.062405459844
prefill,4,model.layers.12.block_sparse_moe,5,4.98563194275,5.04310398102,12,0.0623814335462
prefill,4,model.layers.13.block_sparse_moe,5,4.96361589432,5.00506229401,13,0.0621059634196
prefill,4,model.layers.14.block_sparse_moe,5,4.98281621933,4.99431676865,14,0.0623462025332
prefill,4,model.layers.15.block_sparse_moe,5,4.97414398193,5.00563211441,15,0.0622376934
prefill,8,model.layers.0.block_sparse_moe,5,5.21724796295,5.45208978653,0,0.0647675119482
prefill,8,model.layers.1.block_sparse_moe,5,5.07679986954,5.22463359833,1,0.0630239732793
prefill,8,model.layers.2.block_sparse_moe,5,5.11395215988,6.96505594254,2,0.0634851860539
prefill,8,model.layers.3.block_sparse_moe,5,5.08374404907,5.20647668839,3,0.063110179117
prefill,8,model.layers.4.block_sparse_moe,5,5.04006385803,5.09357452393,4,0.0625679282378
prefill,8,model.layers.5.block_sparse_moe,5,5.0059838295,5.17454099655,5,0.0621448548721
prefill,8,model.layers.6.block_sparse_moe,5,5.00236797333,5.25699205399,6,0.0620999672207
prefill,8,model.layers.7.block_sparse_moe,5,4.96579217911,5.1403263092,7,0.0616459111348
prefill,8,model.layers.8.block_sparse_moe,5,4.98806381226,5.16269445419,8,0.0619223937318
prefill,8,model.layers.9.block_sparse_moe,5,5.00883197784,5.08684797287,9,0.0621802121109
prefill,8,model.layers.10.block_sparse_moe,5,4.98089599609,5.18500461578,10,0.0618334116435
prefill,8,model.layers.11.block_sparse_moe,5,5.03756809235,6.69303674698,11,0.0625369455176
prefill,8,model.layers.12.block_sparse_moe,5,5.03779220581,5.05879049301,12,0.0625397276877
prefill,8,model.layers.13.block_sparse_moe,5,5.00320005417,5.10494709015,13,0.0621102967673
prefill,8,model.layers.14.block_sparse_moe,5,4.99280023575,5.08268785477,14,0.0619811922339
prefill,8,model.layers.15.block_sparse_moe,5,4.99836778641,5.04630403519,15,0.0620503084435
prefill,16,model.layers.0.block_sparse_moe,5,5.34428787231,5.41332483292,0,0.0643749375221
prefill,16,model.layers.1.block_sparse_moe,5,5.19004821777,5.56040315628,1,0.0625170345869
prefill,16,model.layers.2.block_sparse_moe,5,5.16931200027,5.59179525375,2,0.0622672552454
prefill,16,model.layers.3.block_sparse_moe,5,5.3474240303,5.51626882553,3,0.0644127142998
prefill,16,model.layers.4.block_sparse_moe,5,5.33145618439,6.84209280014,4,0.0642203726618
prefill,16,model.layers.5.block_sparse_moe,5,5.23487997055,5.45827207565,5,0.0630570581323
prefill,16,model.layers.6.block_sparse_moe,5,5.18832015991,5.4546880722,6,0.0624962191632
prefill,16,model.layers.7.block_sparse_moe,5,5.1373758316,5.54354572296,7,0.0618825662256
prefill,16,model.layers.8.block_sparse_moe,5,5.14767980576,5.42007055283,8,0.0620066833593
prefill,16,model.layers.9.block_sparse_moe,5,5.1611199379,5.35032320023,9,0.0621685772706
prefill,16,model.layers.10.block_sparse_moe,5,5.15068817139,5.47870082855,10,0.0620429208065
prefill,16,model.layers.11.block_sparse_moe,5,5.11366415024,5.34611186981,11,0.061596945757
prefill,16,model.layers.12.block_sparse_moe,5,5.11449623108,5.37190389633,12,0.0616069686363
prefill,16,model.layers.13.block_sparse_moe,5,5.15542411804,5.46470413208,13,0.0620999679337
prefill,16,model.layers.14.block_sparse_moe,5,5.13315200806,5.43532152176,14,0.0618316879078
prefill,16,model.layers.15.block_sparse_moe,5,5.09881591797,5.37172460556,15,0.0614180904918
prefill,32,model.layers.0.block_sparse_moe,5,5.82438421249,6.42078084946,0,0.0644126347138
prefill,32,model.layers.1.block_sparse_moe,5,5.75907182693,6.11923847198,1,0.0636903364107
prefill,32,model.layers.2.block_sparse_moe,5,5.56412792206,5.9734208107,2,0.0615344260043
prefill,32,model.layers.3.block_sparse_moe,5,5.49868822098,5.89032974243,3,0.060810719702
prefill,32,model.layers.4.block_sparse_moe,5,5.4582400322,5.80379514694,4,0.060363397837
prefill,32,model.layers.5.block_sparse_moe,5,5.5281920433,5.93423995972,5,0.0611370063722
