model,placement,policy,policy_family,budget_fraction,shadow_count,candidate_count,selection_split,evaluation_split,mean_uncovered_mass,p50_uncovered_mass,p95_uncovered_mass,p99_uncovered_mass,cvar95_uncovered_mass,max_uncovered_mass,fraction_mass_le_0p10,fraction_mass_le_0p20,fraction_fully_covered,request_cvar95_mean,cvar95_reduction_vs_no_shadow
olmoe_e64k8,contiguous,oracle_cvar,oracle_cvar,0.0,0,1024,historical oracle,historical test,0.5000000001934488,0.5,0.8055100709199903,0.9138135415315628,0.8680885331948568,1.0000001192092896,0.013269424438476562,0.05377197265625,0.0019283294677734375,0.8674479950968994,0.0
olmoe_e64k8,contiguous,frequency,frequency,0.02,20,1024,calibration,historical test,0.46662240399297295,0.4643950127065182,0.7765825569629667,0.8990122902393342,0.8465789641930338,1.0000001192092896,0.018892288208007812,0.07469749450683594,0.0032329559326171875,0.8454867700053533,0.024778082164800153
olmoe_e64k8,contiguous,gate_mass,gate_mass,0.02,20,1024,calibration,historical test,0.46591621003387873,0.4631766974925995,0.777242837101221,0.8982096701860428,0.8467519770161361,1.0000001192092896,0.018646240234375,0.07486534118652344,0.00316619873046875,0.8456967003675899,0.024578778964162717
olmoe_e64k8,contiguous,cvar_greedy,cvar_greedy,0.02,20,1024,calibration,historical test,0.47470247538880983,0.4756496399641037,0.7637727327644824,0.8631934113800526,0.8241625233626356,1.0000001192092896,0.0152435302734375,0.0610504150390625,0.0025997161865234375,0.8229411658277258,0.0506008409886014
olmoe_e64k8,contiguous,oracle_cvar,oracle_cvar,0.02,20,1024,historical oracle,historical test,0.4755866052635298,0.47717370092868805,0.7635468035936356,0.8628556513786316,0.8236809555807062,1.0000001192092896,0.015230178833007812,0.061214447021484375,0.00257110595703125,0.8226103551665935,0.051155585998487796
olmoe_e64k8,contiguous,frequency,frequency,0.05,51,1024,calibration,historical test,0.43054578219742856,0.4273182973265648,0.7399103432893753,0.8630816721916199,0.8146148764335692,1.0000001192092896,0.03093719482421875,0.108367919921875,0.0066967010498046875,0.8126264502882916,0.06159931241631145
olmoe_e64k8,contiguous,gate_mass,gate_mass,0.05,51,1024,calibration,historical test,0.4291664645135991,0.4243980050086975,0.7397495567798614,0.8625272196531296,0.8141518374352644,1.0000001192092896,0.029878616333007812,0.10815811157226562,0.0059070587158203125,0.8118760632782009,0.06213271307833923
olmoe_e64k8,contiguous,cvar_greedy,cvar_greedy,0.05,51,1024,calibration,historical test,0.44341069945710565,0.4454331323504448,0.7169174276292323,0.8221041876077653,0.7811483439995249,1.0000001192092896,0.019906997680664062,0.07712554931640625,0.00353240966796875,0.7794470055442639,0.10015129318131044
olmoe_e64k8,contiguous,oracle_cvar,oracle_cvar,0.05,51,1024,historical oracle,historical test,0.44324541155952835,0.44510816037654877,0.7160814441740513,0.822294030636549,0.7810723734982884,1.0000001192092896,0.019786834716796875,0.07658004760742188,0.0035610198974609375,0.7794702724355508,0.10023880787403072
olmoe_e64k8,contiguous,frequency,frequency,0.1,102,1024,calibration,historical test,0.3838590057099318,0.3759477213025093,0.7007658839225768,0.8278983324766162,0.7767144105843642,1.0000001192092896,0.05777931213378906,0.1694469451904297,0.015508651733398438,0.7737485451340302,0.10525899043292875
olmoe_e64k8,contiguous,gate_mass,gate_mass,0.1,102,1024,calibration,historical test,0.3818699718764811,0.37308631651103497,0.6945444986224174,0.8191343992948532,0.7697152994737336,1.0000001192092896,0.05332374572753906,0.16659164428710938,0.012451171875,0.7668794351931687,0.11332166012961453
olmoe_e64k8,contiguous,cvar_greedy,cvar_greedy,0.1,102,1024,calibration,historical test,0.40275920281530375,0.4025000184774399,0.6668340850621461,0.7765868129208684,0.7332345096336601,1.0,0.029224395751953125,0.10667228698730469,0.00612640380859375,0.7308070701347233,0.15534593351312764
olmoe_e64k8,contiguous,oracle_cvar,oracle_cvar,0.1,102,1024,historical oracle,historical test,0.40148241341918034,0.40153612196445465,0.6619410682469604,0.7710122776776552,0.7284858166608119,1.0000001192092896,0.028461456298828125,0.1059112548828125,0.0053577423095703125,0.7257945623637903,0.16081622000034956
olmoe_e64k8,round_robin,frequency,frequency,0.0,0,1024,calibration,historical test,0.5000000001852776,0.5,0.7970563054084777,0.9026807463169099,0.8584206515519919,1.0000001192092896,0.01058197021484375,0.04805183410644531,0.0015735626220703125,0.8579086236042401,0.0
olmoe_e64k8,round_robin,gate_mass,gate_mass,0.0,0,1024,calibration,historical test,0.5000000001852776,0.5,0.7970563054084777,0.9026807463169099,0.8584206515519919,1.0000001192092896,0.01058197021484375,0.04805183410644531,0.0015735626220703125,0.8579086236042401,0.0
olmoe_e64k8,round_robin,cvar_greedy,cvar_greedy,0.0,0,1024,calibration,historical test,0.5000000001852776,0.5,0.7970563054084777,0.9026807463169099,0.8584206515519919,1.0000001192092896,0.01058197021484375,0.04805183410644531,0.0015735626220703125,0.8579086236042401,0.0
olmoe_e64k8,round_robin,oracle_cvar,oracle_cvar,0.0,0,1024,historical oracle,historical test,0.5000000001852776,0.5,0.7970563054084777,0.9026807463169099,0.8584206515519919,1.0000001192092896,0.01058197021484375,0.04805183410644531,0.0015735626220703125,0.8579086236042401,0.0
olmoe_e64k8,round_robin,frequency,frequency,0.02,20,1024,calibration,historical test,0.4666224039873703,0.4652087688446045,0.775009972602129,0.8913380855321884,0.8419073697318997,1.0000001192092896,0.0190582275390625,0.07518768310546875,0.00395965576171875,0.8412252874012288,0.019236817975239462
olmoe_e64k8,round_robin,gate_mass,gate_mass,0.02,20,1024,calibration,historical test,0.46591621002676264,0.46497122943401337,0.7729643046855925,0.8899707065150142,0.8400290760677575,1.0000001192092896,0.019329071044921875,0.0760498046875,0.0039730072021484375,0.8393342855616427,0.021424898679899163
olmoe_e64k8,round_robin,cvar_greedy,cvar_greedy,0.02,20,1024,calibration,historical test,0.4794575986555265,0.4816964119672775,0.7629384368658065,0.863329378515482,0.8233926011684887,1.0000001192092896,0.01276397705078125,0.05642509460449219,0.001953125,0.8228264623727184,0.040805227973224834
