layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
6,6,58,0.07826009392738342,0.07995457202196121,0.0937311202287674,0.10448558628559113,
6,7,58,0.06861691921949387,0.06929635256528854,0.0807957723736763,0.08877789229154587,
6,8,58,0.060311898589134216,0.057493310421705246,0.06753841042518616,0.08843930065631866,3.8167340755462646
7,1,58,0.20228497684001923,0.1964828073978424,0.23722538352012634,0.27038443088531494,
7,2,58,0.18237218260765076,0.17044398188591003,0.2072635442018509,0.22682948410511017,
7,3,58,0.14108414947986603,0.14259734749794006,0.16388030350208282,0.1771443486213684,
7,4,58,0.1269821673631668,0.12187983095645905,0.1445043683052063,0.16757482290267944,
7,5,58,0.09982149302959442,0.09155010432004929,0.11474081128835678,0.12743282318115234,
7,6,58,0.09265761822462082,0.09004327654838562,0.11011017858982086,0.12322238832712173,
7,7,58,0.0816899985074997,0.08077540248632431,0.09558131545782089,0.10908672958612442,
7,8,58,0.07310745120048523,0.0714138001203537,0.08399013429880142,0.0958031415939331,2.7473506927490234
8,1,58,0.28589722514152527,0.21534043550491333,0.28750988841056824,0.3831915259361267,
8,2,58,0.15217599272727966,0.15511654317378998,0.18471048772335052,0.20311126112937927,
8,3,58,0.1334349513053894,0.13491401076316833,0.16171568632125854,0.1975535899400711,
8,4,58,0.10885800421237946,0.11596467345952988,0.12911182641983032,0.1571778953075409,
8,5,58,0.09931580722332001,0.09873474389314651,0.11898069083690643,0.1410568505525589,
8,6,58,0.08777764439582825,0.08944506198167801,0.10616716742515564,0.12398374825716019,
8,7,58,0.07235393673181534,0.07518909126520157,0.08612994104623795,0.10358259826898575,
8,8,58,0.060186438262462616,0.05995519459247589,0.07246402651071548,0.08608758449554443,3.412050724029541
9,1,58,0.2992715835571289,0.23808002471923828,0.3263567388057709,0.407031774520874,
9,2,58,0.15760073065757751,0.15711571276187897,0.18309730291366577,0.22060900926589966,
9,3,58,0.13236777484416962,0.13408082723617554,0.1589592844247818,0.18684029579162598,
9,4,58,0.11352325975894928,0.1135730892419815,0.14036542177200317,0.1644958257675171,
9,5,58,0.09356944262981415,0.09665199369192123,0.12023432552814484,0.13566146790981293,
9,6,58,0.07803607732057571,0.07629011571407318,0.08969126641750336,0.11502623558044434,
9,7,58,0.06781146675348282,0.07009884715080261,0.08532789349555969,0.10274564474821091,
9,8,58,0.05781964585185051,0.06101534515619278,0.07288018614053726,0.08353608101606369,4.1962785720825195
10,1,58,0.30925142765045166,0.23831111192703247,0.3460025191307068,0.47125568985939026,
10,2,58,0.17556752264499664,0.17262333631515503,0.2251127064228058,0.25595054030418396,
10,3,58,0.12723807990550995,0.12235156446695328,0.163129985332489,0.19611556828022003,
10,4,58,0.11302129924297333,0.11185484379529953,0.14011630415916443,0.17210277915000916,
10,5,58,0.08767198771238327,0.08803043514490128,0.10829716920852661,0.13816988468170166,
10,6,58,0.0729360431432724,0.06917823851108551,0.0885164886713028,0.10016634315252304,
10,7,58,0.06313350051641464,0.06357119232416153,0.07687585800886154,0.08968008309602737,
10,8,58,0.0511801652610302,0.04977443069219589,0.05971510335803032,0.07824095338582993,5.019916534423828
11,1,58,0.28581511974334717,0.21326294541358948,0.2983829975128174,0.5129297375679016,
11,2,58,0.15899434685707092,0.14057005941867828,0.17627987265586853,0.24614478647708893,
11,3,58,0.1254107505083084,0.12038005143404007,0.15916141867637634,0.193945974111557,
11,4,58,0.11774025857448578,0.11591124534606934,0.15058359503746033,0.17039091885089874,
11,5,58,0.09942099452018738,0.09252858906984329,0.12164483219385147,0.16971524059772491,
11,6,58,0.07777832448482513,0.07696954160928726,0.09718944877386093,0.11880403757095337,
11,7,58,0.07022614777088165,0.07032982259988785,0.08316106349229813,0.10008528083562851,
11,8,58,0.06461409479379654,0.0629364475607872,0.07702981680631638,0.09949444979429245,3.399158000946045
12,1,58,0.2918454110622406,0.27007752656936646,0.33284929394721985,0.4395672380924225,
12,2,58,0.1825263947248459,0.17529189586639404,0.21859227120876312,0.26781296730041504,
12,3,58,0.15677335858345032,0.14333617687225342,0.20133012533187866,0.2482079714536667,
12,4,58,0.11858080327510834,0.10282021760940552,0.1486385613679886,0.17082805931568146,
12,5,58,0.0859621912240982,0.0735396072268486,0.10593835264444351,0.1293129324913025,
12,6,58,0.06950266659259796,0.06806585192680359,0.0784875676035881,0.1124669536948204,
12,7,58,0.052918657660484314,0.047286856919527054,0.065883569419384,0.07781306654214859,
12,8,58,0.04189052805304527,0.039434872567653656,0.05072756111621857,0.06078016757965088,6.834934234619141
13,1,58,0.2870759665966034,0.2415481060743332,0.3288652300834656,0.39135241508483887,
13,2,58,0.1972544938325882,0.1964867264032364,0.2416037619113922,0.2896743416786194,
13,3,58,0.13452187180519104,0.12216822803020477,0.16262614727020264,0.1997300088405609,
13,4,58,0.10467397421598434,0.09581602364778519,0.1325584352016449,0.15614743530750275,
13,5,58,0.09041439741849899,0.07875856012105942,0.1084517315030098,0.14569836854934692,
13,6,58,0.0765938013792038,0.07290172576904297,0.08787254244089127,0.11985483765602112,
13,7,58,0.059669144451618195,0.05375093221664429,0.06934602558612823,0.08836964517831802,
13,8,58,0.04979633539915085,0.04812469705939293,0.05901883542537689,0.06891104578971863,4.7936296463012695
14,1,58,0.28059399127960205,0.2397814840078354,0.31464841961860657,0.4019047021865845,
14,2,58,0.18666571378707886,0.18715648353099823,0.23049378395080566,0.2542376220226288,
14,3,58,0.14865684509277344,0.14606307446956635,0.18546754121780396,0.21770352125167847,
14,4,58,0.11655756831169128,0.11544351279735565,0.14877386391162872,0.19412532448768616,
14,5,58,0.09588700532913208,0.09242904186248779,0.11905243247747421,0.16385456919670105,
14,6,58,0.07633204758167267,0.07374263554811478,0.09648068994283676,0.10922449082136154,
14,7,58,0.055387940257787704,0.05416290462017059,0.06659046560525894,0.08709198981523514,
14,8,58,0.039918895810842514,0.03803212195634842,0.04800834879279137,0.05447001755237579,6.60086727142334
15,1,58,0.23013649880886078,0.2128295600414276,0.26542139053344727,0.3535647690296173,
15,2,58,0.17697685956954956,0.16535533964633942,0.21131545305252075,0.24596276879310608,
15,3,58,0.13756804168224335,0.12888798117637634,0.15304970741271973,0.1972442865371704,
15,4,58,0.12443850189447403,0.11759932339191437,0.140470951795578,0.16937844455242157,
15,5,58,0.10395842045545578,0.09325670450925827,0.12563908100128174,0.15143264830112457,
15,6,58,0.09073487669229507,0.08223212510347366,0.09918154031038284,0.14646463096141815,
15,7,58,0.077037513256073,0.07496118545532227,0.08948048949241638,0.12476815283298492,
15,8,58,0.059149257838726044,0.05031811073422432,0.07243472337722778,0.09281692653894424,4.075832843780518
