layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
7,3,24235,0.14097939431667328,0.13652272522449493,0.16343505680561066,0.1921321302652359,
7,4,24235,0.11680345237255096,0.11269951611757278,0.13605646789073944,0.16075177490711212,
7,5,24235,0.09783145785331726,0.0939224436879158,0.11501853168010712,0.13835382461547852,
7,6,24235,0.08210324496030807,0.07860072702169418,0.09698428213596344,0.11805318295955658,
7,7,24235,0.06975772976875305,0.06671810150146484,0.08214781433343887,0.09994268417358398,
7,8,24235,0.06053313985466957,0.0577608160674572,0.07134902477264404,0.08706632256507874,4.118399620056152
8,1,24235,0.24926847219467163,0.23076140880584717,0.2864992618560791,0.34696605801582336,
8,2,24235,0.18152610957622528,0.1744234263896942,0.21185946464538574,0.2553601861000061,
8,3,24235,0.1435423344373703,0.13862015306949615,0.1679786592721939,0.19907185435295105,
8,4,24235,0.11686132848262787,0.1135602667927742,0.136633962392807,0.16329865157604218,
8,5,24235,0.09743978083133698,0.09440204501152039,0.11481330543756485,0.1377456784248352,
8,6,24235,0.08186447620391846,0.07919938862323761,0.09705942869186401,0.11642033606767654,
8,7,24235,0.06954491138458252,0.06689038127660751,0.08278335630893707,0.09993039071559906,
8,8,24235,0.05995258688926697,0.05757119506597519,0.07159404456615448,0.0868745744228363,3.9991934299468994
9,1,24235,0.2620377242565155,0.24044102430343628,0.3101060092449188,0.38247257471084595,
9,2,24235,0.18343760073184967,0.1689801961183548,0.21918383240699768,0.2776533365249634,
9,3,24235,0.14486396312713623,0.13541294634342194,0.17031946778297424,0.21393302083015442,
9,4,24235,0.11770659685134888,0.11154956370592117,0.13896425068378448,0.17242422699928284,
9,5,24235,0.09530714899301529,0.09100046753883362,0.11375543475151062,0.1390707790851593,
9,6,24235,0.07864533364772797,0.07513654232025146,0.0943937599658966,0.11606353521347046,
9,7,24235,0.06405042111873627,0.06063009425997734,0.07700736820697784,0.09513381868600845,
9,8,24235,0.05395121872425079,0.05113968625664711,0.0648626834154129,0.07971641421318054,4.705663204193115
10,1,24235,0.27104827761650085,0.24868769943714142,0.3161100149154663,0.3957005441188812,
10,2,24235,0.18203364312648773,0.17350704967975616,0.21489155292510986,0.2633225917816162,
10,3,24235,0.14684037864208221,0.14044979214668274,0.17470845580101013,0.21281372010707855,
10,4,24235,0.11994683742523193,0.11438581347465515,0.14279356598854065,0.1751110851764679,
10,5,24235,0.09589546918869019,0.09108135104179382,0.11474794149398804,0.14244653284549713,
10,6,24235,0.07535386830568314,0.07135961204767227,0.0907261073589325,0.1123124212026596,
10,7,24235,0.06012808158993721,0.05689771845936775,0.072754867374897,0.09085433930158615,
10,8,24235,0.04875345155596733,0.045656293630599976,0.05896243080496788,0.0741872638463974,5.440578937530518
11,1,24235,0.26811063289642334,0.24761198461055756,0.31961727142333984,0.40384548902511597,
11,2,24235,0.1918933093547821,0.18051409721374512,0.2328616976737976,0.28955981135368347,
11,3,24235,0.15079617500305176,0.13948854804039001,0.18339356780052185,0.2311696708202362,
11,4,24235,0.12042808532714844,0.11147737503051758,0.14622661471366882,0.18707145750522614,
11,5,24235,0.09328437596559525,0.08552765101194382,0.11364579200744629,0.14562569558620453,
11,6,24235,0.07217621058225632,0.06647772341966629,0.08754844963550568,0.11231348663568497,
11,7,24235,0.05692025646567345,0.052360665053129196,0.06950560212135315,0.08950696140527725,
11,8,24235,0.046390991657972336,0.04253430292010307,0.05660148710012436,0.07390487939119339,5.695435523986816
12,1,24235,0.2676776349544525,0.24844324588775635,0.3202369213104248,0.40733370184898376,
