layer,rank,group_median_share_mean,group_median_share_min,group_median_share_max,group_median_share_cv,group_median_share_max_over_min,traffic_max_over_mean,traffic_max_over_min
4,3,0.1386367417871952,0.12515823543071747,0.14614970982074738,0.05818260404071571,1.1677194818046945,1.1957912110583866,1.379737192915635
4,4,0.11206109635531902,0.1033049151301384,0.11790058761835098,0.05154578828189703,1.1412872995425791,1.2938312358159687,1.4982798165137614
4,5,0.09043152257800102,0.08476144820451736,0.09357372671365738,0.03779509093250711,1.1039656435302667,1.2867340623065815,1.4429020914306867
4,6,0.07502523995935917,0.06985490769147873,0.07740726321935654,0.04036833821407048,1.1081148880939553,1.3489581184237673,1.6375475856541775
4,7,0.06459428649395704,0.06079841032624245,0.06680448353290558,0.03520736659538108,1.098786681665437,1.4106870229007633,1.7485679214402619
4,8,0.05679634306579828,0.05235075578093529,0.05998000502586365,0.04878675347695106,1.1457333161884689,1.3730554982463379,1.8231426692965154
5,1,0.24033181741833687,0.22962579131126404,0.25442206859588623,0.03764874170093653,1.1079855931819529,1.181761914586342,1.6854990583804144
5,2,0.1721881702542305,0.16779115796089172,0.17761248350143433,0.02048186069863802,1.0585330339208443,1.277326181142975,1.5953411667697381
5,3,0.13531684130430222,0.13218505680561066,0.13769997656345367,0.015548175817781186,1.0417212042807016,1.218073034866928,1.5970569140878599
5,4,0.10964214615523815,0.10707022994756699,0.11225908994674683,0.017365466484402393,1.048462210286845,1.2416752630493089,1.5457160468461064
5,5,0.09152843616902828,0.09018190950155258,0.09284091740846634,0.011289105527205481,1.0294849368527508,1.2159273777594388,1.3683135215453195
5,6,0.077970240265131,0.07718288153409958,0.07878182828426361,0.0077436216837613505,1.0207163391464935,1.2068495976892923,1.351821039009059
5,7,0.06737427413463593,0.06640908867120743,0.06842262297868729,0.010674590138569874,1.0303201617093243,1.2403548586754694,1.4709336465061655
5,8,0.059942249208688736,0.058417096734046936,0.06144529581069946,0.0196221110960521,1.0518375483540183,1.2768310295027852,1.6053123054575638
6,1,0.23113024979829788,0.22189080715179443,0.2459016889333725,0.04101272830440001,1.1082103494497288,1.2946564885496183,3.1426282051282053
6,2,0.18077772483229637,0.17577897012233734,0.18759581446647644,0.023875035307688502,1.0672255864049887,1.44518258716732,2.5535141440653253
6,3,0.14441676065325737,0.14184412360191345,0.1519952416419983,0.030298622389635235,1.0715653055079957,1.3580358984939138,1.8187444739168876
6,4,0.11555489525198936,0.11255370080471039,0.11950711160898209,0.0220456201748776,1.0617786066078487,1.3228801320404373,1.5697218958088524
6,5,0.09208821877837181,0.09056337922811508,0.09454063326120377,0.017711273735360182,1.043916802431484,1.169053022488137,1.342494313874147
6,6,0.07598214596509933,0.07420884817838669,0.07801434397697449,0.020952162099010126,1.0512808902442465,1.1479265525067053,1.381879594675144
6,7,0.06411601882427931,0.060627397149801254,0.06741587817668915,0.03945790650875998,1.1119705173902579,1.10946977511863,1.2275383491599707
6,8,0.05567734409123659,0.052919913083314896,0.05758510157465935,0.033756484955517405,1.0881556340427048,1.1111202805859295,1.230038370180888
7,1,0.23546409606933594,0.21959474682807922,0.2543863356113434,0.057208446315736336,1.1584354329318383,1.2641221374045801,2.592755585646581
7,2,0.1731129325926304,0.16532717645168304,0.1851937174797058,0.04342558402117524,1.120165005260516,1.2306168764184031,2.2330038933812517
7,3,0.13579530641436577,0.13025341928005219,0.1429760903120041,0.03433558135132112,1.0976762921255636,1.3324530637507737,1.87221706864564
7,4,0.11204528994858265,0.10740061104297638,0.11559935659170151,0.03178969092691285,1.0763379786120992,1.4290076335877862,1.7615462868769074
7,5,0.09364400431513786,0.09150177240371704,0.09571454674005508,0.0213413850622229,1.0460403577512223,1.473406230658139,1.8981501169466297
7,6,0.07843048870563507,0.07593687623739243,0.0812135711312294,0.027779649763398803,1.0694879109504198,1.4096967196203838,1.8371692837169284
