model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,1.6734322371651857e-06,0.7691194657588527,calib_static,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.7691194657588527,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,1.9366971792528105,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.9366971792528105,1.9367081505077266,calib_static;causal_no_hysteresis;uniform_low,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.9367081505077266,26.518503072098355,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,26.518503072098355,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.0,0.6455657264176035,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.6455657264176035,0.6455693835025755,calib_static;causal_no_hysteresis;uniform_low,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.6455693835025755,7.576715163456673,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,7.576715163456673,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,1.1142680774178784e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,1.1142680774178784e-06,0.09834790363393178,calib_static,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.09834790363393178,0.098358715081751,calib_static;causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.098358715081751,1.0773141873039958,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,1.0773141873039958,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,1.1142680774178816e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,1.1142680774178816e-06,0.0983479036339317,calib_static,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0983479036339317,0.09835871508175104,calib_static;causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.09835871508175104,0.5386570936519978,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.5386570936519978,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,4.692973537269842e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,4.692973537269842e-06,3.7131795609171587,calib_static,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,3.7131795609171587,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,2.0948725926567624e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,2.0948725926567624e-06,0.84114861247659,calib_static,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.84114861247659,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,1.6734322349976212e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,1.6734322349976212e-06,0.7691194657588527,calib_static,False,True
llmjp,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.7691194657588527,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,inf,uniform_full,False,True
