mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
uniform_fp8,4,152,68,0.4473684210526316,0.13815789473684212,311904,2052.0,1.3436427352149842,0.01380113686708899,0.01846120751113066,0.00015086383311462166
uniform_fp8,5,152,69,0.45394736842105265,0.05921052631578947,311904,2052.0,1.3604396669634737,0.014076939403385268,0.018580746730448804,0.0005944691015293494
uniform_fp8,6,152,68,0.4473684210526316,0.10526315789473684,311904,2052.0,1.4400454994752392,0.014042377685333477,0.019163369028878132,0.0005871974632798202
uniform_fp8,7,152,66,0.4342105263157895,0.046052631578947366,311904,2052.0,1.3252902828353117,0.014429072713930336,0.018366260240551952,0.000584339417021226
uniform_fp8,8,152,59,0.3881578947368421,0.06578947368421052,311904,2052.0,1.2923984769533219,0.014170537571245586,0.01819549410025164,0.00018295153081766136
uniform_fp8,9,152,54,0.35526315789473684,0.07236842105263158,311904,2052.0,1.4289174338621917,0.014233020757471354,0.019495820454541367,0.00011866230965297516
uniform_fp8,10,152,38,0.25,0.03289473684210526,311904,2052.0,1.2735262195032815,0.013832451239239993,0.017721351382716535,0.0003585860663405665
uniform_fp8,11,152,59,0.3881578947368421,0.046052631578947366,311904,2052.0,1.1056401618416378,0.013888639934078285,0.015704781723476793,0.0005833901710518552
uniform_fp8,12,152,61,0.40131578947368424,0.125,311904,2052.0,1.0916928762371114,0.014069520821179937,0.015258948193271572,0.0006328221245869247
uniform_fp8,13,152,56,0.3684210526315789,0.07894736842105263,311904,2052.0,0.9569203931763042,0.0141109376564153,0.013520648753912692,0.000669713688171898
uniform_fp8,14,152,64,0.42105263157894735,0.09210526315789473,311904,2052.0,1.0669240797876587,0.015903896405658712,0.015515172138985437,0.0004078556373934503
uniform_fp8,15,152,59,0.3881578947368421,0.14473684210526316,311904,2052.0,0.8647492162971387,0.020247755112106906,0.014849817793988647,0.00032749207352764104
uniform_mxfp4,0,152,55,0.3618421052631579,0.046052631578947366,165376,1088.0,1.55362897780492,0.01932750337120663,0.030492969055774335,0.012409476971691969
uniform_mxfp4,1,152,46,0.3026315789473684,0.046052631578947366,165376,1088.0,1.806554239556313,0.013807451936209986,0.024817902961700482,0.0034674909872614347
uniform_mxfp4,2,152,59,0.3881578947368421,0.046052631578947366,165376,1088.0,1.5274947176035352,0.013762568856484686,0.020954071378294702,0.0021293323257939693
uniform_mxfp4,3,152,48,0.3157894736842105,0.039473684210526314,165376,1088.0,1.4876110396301299,0.013586590016598192,0.02059767739297203,0.0018955252318296964
uniform_mxfp4,4,152,65,0.4276315789473684,0.13815789473684212,165376,1088.0,1.3563427807335287,0.013731786983039417,0.01871104005842844,0.006866486644319371
uniform_mxfp4,5,152,67,0.4407894736842105,0.06578947368421052,165376,1088.0,1.3769025561518036,0.013930466859523007,0.018847020539135867,0.01159262746325242
uniform_mxfp4,6,152,73,0.48026315789473684,0.08552631578947369,165376,1088.0,1.3865539452975133,0.014104340491547825,0.019535565953429066,0.012198140264878867
uniform_mxfp4,7,152,68,0.4473684210526316,0.046052631578947366,165376,1088.0,1.3433214374010765,0.01435023639052568,0.018565962232556438,0.011854279848831596
uniform_mxfp4,8,152,55,0.3618421052631579,0.05263157894736842,165376,1088.0,1.3204067594556819,0.014198881480448133,0.018560669126119894,0.013222763610020317
uniform_mxfp4,9,152,56,0.3684210526315789,0.07236842105263158,165376,1088.0,1.476090407339653,0.014285470664482923,0.02047281257623385,0.0029375309647136374
uniform_mxfp4,10,152,42,0.27631578947368424,0.046052631578947366,165376,1088.0,1.3025556693157516,0.013809300513258325,0.017858531381224795,0.017941367048858018
uniform_mxfp4,11,152,61,0.40131578947368424,0.05921052631578947,165376,1088.0,1.071953067543541,0.013981332964356614,0.015242439990898466,0.012949122760619105
uniform_mxfp4,12,152,62,0.40789473684210525,0.13157894736842105,165376,1088.0,1.0489703129691228,0.01406148130826218,0.014654837694150456,0.012436966054542215
uniform_mxfp4,13,152,59,0.3881578947368421,0.07236842105263158,165376,1088.0,0.9656823452173374,0.01399210326412253,0.01356345606798887,0.013519672249231465
uniform_mxfp4,14,152,61,0.40131578947368424,0.09210526315789473,165376,1088.0,1.0608233012148542,0.015894964924766164,0.015204962001242203,0.010514266242344389
uniform_mxfp4,15,152,60,0.39473684210526316,0.11842105263157894,165376,1088.0,0.8604890543050859,0.020350887342075075,0.01493295369104729,0.00997586142498381
revisit_abs_mxfp4,0,152,55,0.3618421052631579,0.046052631578947366,258903,1703.3092105263158,1.55362897780492,0.01932750337120663,0.030492969055774335,0.004869830883433202
revisit_abs_mxfp4,1,152,49,0.3223684210526316,0.046052631578947366,264687,1741.3618421052631,1.79929680381063,0.013852580998967742,0.024573042901249214,0.0001560879454858172
revisit_abs_mxfp4,2,152,57,0.375,0.03289473684210526,256975,1690.625,1.5232291193387717,0.013784296825185702,0.02097623403815812,3.1261302544752717e-05
revisit_abs_mxfp4,3,152,50,0.32894736842105265,0.05263157894736842,263723,1735.0197368421052,1.4972411548367897,0.013703581374209796,0.02064752943631918,0.00012425203060289575
revisit_abs_mxfp4,4,152,70,0.4605263157894737,0.1513157894736842,244443,1608.1776315789473,1.351771311747579,0.013837621790539444,0.018677013590214307,0.0008598397436277396
revisit_abs_mxfp4,5,152,63,0.4144736842105263,0.046052631578947366,251191,1652.5723684210527,1.3595220949061713,0.014022189263890794,0.018644058827391646,0.005317002649576588
