sample_id,char_count,token_count_input,unique_token_ratio,token_id_entropy,adjacent_repeat_rate,early_route_top1_weight_mean,early_route_top1_weight_std,early_route_top1_top2_margin_mean,early_route_tail_mass_mean,early_route_routing_entropy_mean,early_route_rank1_hhi_mean,early_route_active_expert_fraction_mean,early_route_same_id_adjacent_layer_rate,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate,full_mean_nll,full_sample_ppl,label_token_count,label_kl_sum,label_mean_token_kl
25,22379.0,128.0,0.6953125,4.313844377517893,0.0,0.20444011688232422,0.0872287005186081,0.07235360145568848,0.2489839792251587,0.9040977358818054,0.173583984375,0.994140625,0.027083333333333334,0.19456839561462402,0.07361666113138199,0.06365662813186646,0.2540810704231262,0.91195148229599,0.12158203125,1.0,0.0265625,3.2540763794906495,25.895685698703588,127,1.0041050910949707,0.007906339299960399
26,12500.0,128.0,0.65625,4.2402851676951006,0.0,0.2087268829345703,0.0793062373995781,0.07901978492736816,0.2520899176597595,0.905787467956543,0.1688232421875,1.0,0.016666666666666666,0.19411778450012207,0.0722508355975151,0.06623917818069458,0.260985791683197,0.9157313108444214,0.13016510009765625,1.0,0.0140625,3.123863400436762,22.734040902418574,127,1.0840364694595337,0.008535720231964833
27,7285.0,128.0,0.578125,4.110509245857552,0.0,0.17671489715576172,0.07622602581977844,0.059081315994262695,0.2910696864128113,0.9328711032867432,0.1217041015625,1.0,0.035416666666666666,0.18712258338928223,0.07246175408363342,0.060330212116241455,0.2659767270088196,0.9194821715354919,0.1167755126953125,1.0,0.029166666666666667,2.775113323542077,16.040444652666586,127,0.8935011029243469,0.007035441755309818
28,55450.0,128.0,0.6015625,4.082090988748491,0.0,0.21082687377929688,0.08501549810171127,0.0806877613067627,0.24663543701171875,0.902229905128479,0.21435546875,0.9921875,0.022916666666666665,0.20422744750976562,0.07574573904275894,0.07336753606796265,0.2522083520889282,0.9077924489974976,0.17020416259765625,1.0,0.01875,2.091599351777805,8.09785613356909,127,0.8096062541007996,0.006374852394494485
29,26400.0,128.0,0.6796875,4.300499163696631,0.0,0.204345703125,0.09039891511201859,0.0756981372833252,0.25804728269577026,0.9074896574020386,0.13818359375,0.99609375,0.027083333333333334,0.19356822967529297,0.07525108754634857,0.06607586145401001,0.26285678148269653,0.9160000085830688,0.11945343017578125,1.0,0.0296875,2.521040788785679,12.4415389415273,127,1.0074290037155151,0.007932511840279646
30,15176.0,128.0,0.609375,4.0528009156848155,0.0,0.18966102600097656,0.08346514403820038,0.06544709205627441,0.2705622911453247,0.9182612895965576,0.146240234375,0.998046875,0.022916666666666665,0.19107866287231445,0.07798353582620621,0.06462734937667847,0.26520657539367676,0.9167760610580444,0.0946502685546875,1.0,0.023958333333333335,2.8700441375492125,17.637796671775874,127,1.3595421314239502,0.01070505615294449
31,45126.0,128.0,0.5234375,3.8730213089322554,0.0,0.2007455825805664,0.08334381878376007,0.07651638984680176,0.2638154625892639,0.9137160778045654,0.15478515625,0.994140625,0.029166666666666667,0.1900491714477539,0.07125511020421982,0.06536275148391724,0.2689629793167114,0.920769989490509,0.13372039794921875,1.0,0.022395833333333334,2.0962459534172,8.135571200742879,127,1.0878416299819946,0.008565682125842477
32,43122.0,128.0,0.5546875,4.020670383113739,0.0,0.22681427001953125,0.09964524209499359,0.09433341026306152,0.24124830961227417,0.8897221088409424,0.1702880859375,1.0,0.025,0.2120044231414795,0.08945324271917343,0.08327096700668335,0.2571922540664673,0.904810905456543,0.1509857177734375,1.0,0.0265625,2.0811484028973917,8.013666549874443,127,1.0641509294509888,0.00837914117677944
33,33900.0,128.0,0.6796875,4.225226983549778,0.0,0.2136669158935547,0.09219149500131607,0.08399224281311035,0.2559358477592468,0.9023518562316895,0.1463623046875,1.0,0.022916666666666665,0.20976567268371582,0.08379150927066803,0.07977896928787231,0.2522110939025879,0.9043536186218262,0.14505767822265625,1.0,0.025520833333333333,2.7380138006735972,15.456255384742173,127,1.0179729461669922,0.008015535009188914
34,12462.0,128.0,0.59375,4.089339898005419,0.0,0.22324848175048828,0.0989278182387352,0.0907890796661377,0.24454128742218018,0.8923987150192261,0.197265625,0.994140625,0.022916666666666665,0.20050835609436035,0.07651445269584656,0.07079082727432251,0.25787168741226196,0.9111021757125854,0.11944580078125,1.0,0.03125,2.2343747597041093,9.340639881625847,127,1.1201846599578857,0.008820351653211699
