mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
revisit_abs_mxfp4,7,320,174,0.54375,0.05,122704,383.45,1.4449978701820003,0.013598182992844678,0.019946344770718327,0.003935696470886748
revisit_abs_mxfp4,8,320,210,0.65625,0.06875,113920,356.0,1.3232428378076853,0.013895816918340843,0.018366140776150532,0.006733312057785441
revisit_abs_mxfp4,9,320,204,0.6375,0.059375,115384,360.575,1.320499128624987,0.013718766889623249,0.01824133109612887,0.006429670161320297
revisit_abs_mxfp4,10,320,199,0.621875,0.0625,116604,364.3875,1.398906007553827,0.014345136663270325,0.019275844168160465,0.005391433133818629
revisit_abs_mxfp4,11,320,199,0.621875,0.046875,116604,364.3875,1.3328839372955565,0.013761283607970354,0.018182444030543247,0.006537783103236736
revisit_abs_mxfp4,12,320,203,0.634375,0.071875,115628,361.3375,1.422542818837749,0.01394300011834696,0.019717633711306016,0.007482175071759203
revisit_abs_mxfp4,13,320,188,0.5875,0.046875,119288,372.775,1.4801306018607527,0.013833425205123573,0.02058531010468783,0.008867549370463254
revisit_abs_mxfp4,14,320,192,0.6,0.053125,118312,369.725,2.2392122850745086,0.014572652565725782,0.04260758349695198,0.0010259662664971181
revisit_abs_mxfp4,15,320,195,0.609375,0.05625,117580,367.4375,11.317680583982375,0.017947407561125325,0.2860822469018583,0.00023417932951053325
temporal_delta_mxfp4,0,320,198,0.61875,0.046875,116848,365.15,1.762593734722378,0.016430196466108903,0.026552326056265965,0.00292251018619259
temporal_delta_mxfp4,1,320,207,0.646875,0.103125,114652,358.2875,1.8163746139570272,0.014869617016538845,0.024966518043685645,0.0090287189763606
temporal_delta_mxfp4,2,320,185,0.578125,0.0375,120020,375.0625,1.871046258401314,0.013934558128363882,0.025683812821792697,0.009658799328319978
temporal_delta_mxfp4,3,320,180,0.5625,0.028125,121240,378.875,2.235188347508252,0.01385532382965145,0.03663128365094238,0.002936253657837478
temporal_delta_mxfp4,4,320,179,0.559375,0.059375,121484,379.6375,64.82920558147775,0.013781389464607047,1.7443772157820387,0.0007064276686767925
temporal_delta_mxfp4,5,320,190,0.59375,0.03125,118800,371.25,3.2528969796693232,0.013482088109620738,0.06178180309344871,0.0011617114021644866
temporal_delta_mxfp4,6,320,189,0.590625,0.034375,119044,372.0125,1.446844722328558,0.013775292052572786,0.019640963141777597,0.0004798253499687898
temporal_delta_mxfp4,7,320,175,0.546875,0.05,122460,382.6875,1.444531057678039,0.013672912276815812,0.020037963770788713,0.005537703619966332
temporal_delta_mxfp4,8,320,211,0.659375,0.090625,113676,355.2375,1.3102866030807803,0.013821793429558723,0.018134723001192357,0.0077734470094179215
temporal_delta_mxfp4,9,320,206,0.64375,0.08125,114896,359.05,1.334710280073672,0.013819056527663971,0.018370693113504095,0.008555434538415717
temporal_delta_mxfp4,10,320,199,0.621875,0.065625,116604,364.3875,1.3660492112932692,0.014321046720747651,0.01857345582393958,0.00682089879743266
temporal_delta_mxfp4,11,320,203,0.634375,0.0625,115628,361.3375,1.3207237056277406,0.01373042275422816,0.018041573048833713,0.0077494632467503145
temporal_delta_mxfp4,12,320,206,0.64375,0.05625,114896,359.05,1.3942399024109118,0.014009984830711404,0.019396273339543094,0.00959143010370701
temporal_delta_mxfp4,13,320,195,0.609375,0.059375,117580,367.4375,1.4427019743223015,0.013909742171494047,0.020086712845631453,0.010164985953916121
temporal_delta_mxfp4,14,320,197,0.615625,0.05,117092,365.9125,2.2103239957163177,0.014539977443043424,0.04259339675216574,0.002195668375327823
temporal_delta_mxfp4,15,320,201,0.628125,0.046875,116116,362.8625,10.418683148939389,0.01804117793520024,0.260838343579194,0.0004968647107549171
