mode,rows,hidden,baseline_wire_bytes,policy_wire_bytes,pack_us_p50,pack_us_p95,unpack_us_p50,unpack_us_p95,h2d_us_p50,h2d_us_p95,codec_total_us_p50,codec_total_us_p95,pack_us,unpack_us,h2d_us,break_even_gbps,timing_source,p95_note,baseline_wire_us_100gbps,policy_wire_us_100gbps,net_delta_us_100gbps_p50,net_delta_us_100gbps_p95,baseline_wire_us_200gbps,policy_wire_us_200gbps,net_delta_us_200gbps_p50,net_delta_us_200gbps_p95,baseline_wire_us_400gbps,policy_wire_us_400gbps,net_delta_us_400gbps_p50,net_delta_us_400gbps_p95,baseline_wire_us_800gbps,policy_wire_us_800gbps,net_delta_us_800gbps_p50,net_delta_us_800gbps_p95,note
homo_fp8,2048,2048,8388608.0,4202496.0,24.192,24.192,23.296,23.296,79.232,79.232,126.72,126.72,24.192,23.296,79.232,264.27474747474747,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,671.0886399999999,336.19968,208.1689599999999,208.1689599999999,335.54431999999997,168.09984,40.72447999999997,40.72447999999997,167.77216,84.04992,-42.997760000000014,-42.997760000000014,83.88607999999999,42.02496,-84.85888,-84.85888,
homo_int4,2048,2048,8388608.0,2105344.0,23.424,23.424,23.648,23.648,42.048,42.048,89.12,89.12,23.424,23.648,42.048,564.0272890484739,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,671.0886399999999,168.42752,413.54112,413.54112,335.54431999999997,84.21376,162.21056,162.21056,167.77216,42.10688,36.54527999999999,36.54527999999999,83.88607999999999,21.05344,-26.287360000000007,-26.287360000000007,
incr_fp8_to_int4,32,512,16512.0,8320.0,23.488,23.488,23.392,23.392,11.296,11.296,58.175999999999995,58.175999999999995,23.488,23.392,11.296,1.1265126512651267,,,1.3209600000000001,0.6656000000000001,-57.52063999999999,-57.52063999999999,0.6604800000000001,0.33280000000000004,-57.848319999999994,-57.848319999999994,0.33024000000000003,0.16640000000000002,-58.012159999999994,-58.012159999999994,0.16512000000000002,0.08320000000000001,-58.09408,-58.09408,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,32,2048,65664.0,32896.0,23.328,23.328,23.232,23.232,11.2,11.2,57.760000000000005,57.760000000000005,23.328,23.232,11.2,4.538504155124653,,,5.25312,2.63168,-55.138560000000005,-55.138560000000005,2.62656,1.31584,-56.44928,-56.44928,1.31328,0.65792,-57.10464,-57.10464,0.65664,0.32896,-57.432320000000004,-57.432320000000004,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,128,512,66048.0,33280.0,23.328,23.328,23.296,23.296,11.232,11.232,57.855999999999995,57.855999999999995,23.328,23.296,11.232,4.5309734513274345,,,5.2838400000000005,2.6624000000000003,-55.234559999999995,-55.234559999999995,2.6419200000000003,1.3312000000000002,-56.54527999999999,-56.54527999999999,1.3209600000000001,0.6656000000000001,-57.20063999999999,-57.20063999999999,0.6604800000000001,0.33280000000000004,-57.528319999999994,-57.528319999999994,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,128,2048,262656.0,131584.0,23.424,23.424,23.44,23.44,11.232,11.232,58.096000000000004,58.096000000000004,23.424,23.44,11.232,18.049022307904156,,,21.01248,10.52672,-47.610240000000005,-47.610240000000005,10.50624,5.26336,-52.853120000000004,-52.853120000000004,5.25312,2.63168,-55.474560000000004,-55.474560000000004,2.62656,1.31584,-56.78528,-56.78528,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,512,512,264192.0,133120.0,23.312,23.312,23.296,23.296,11.168,11.168,57.776,57.776,23.312,23.296,11.168,18.14898919966768,,,21.135360000000002,10.649600000000001,-47.290240000000004,-47.290240000000004,10.567680000000001,5.324800000000001,-52.533120000000004,-52.533120000000004,5.2838400000000005,2.6624000000000003,-55.154560000000004,-55.154560000000004,2.6419200000000003,1.3312000000000002,-56.46528,-56.46528,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,512,2048,1050624.0,526336.0,23.68,23.68,23.52,23.52,13.984,13.984,61.184000000000005,61.184000000000005,23.68,23.52,13.984,68.55230125523012,,,84.04992,42.10688,-19.24096,-19.24096,42.02496,21.05344,-40.21248,-40.21248,21.01248,10.52672,-50.698240000000006,-50.698240000000006,10.50624,5.26336,-55.941120000000005,-55.941120000000005,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,2048,512,1056768.0,532480.0,23.504,23.504,23.616,23.616,14.08,14.08,61.2,61.2,23.504,23.616,14.08,68.53437908496733,,,84.54144000000001,42.598400000000005,-19.25696,-19.25696,42.270720000000004,21.299200000000003,-40.228480000000005,-40.228480000000005,21.135360000000002,10.649600000000001,-50.714240000000004,-50.714240000000004,10.567680000000001,5.324800000000001,-55.95712,-55.95712,incremental vs FP8 wire; INT4 codec tax only
incr_fp8_to_int4,2048,2048,4202496.0,2105344.0,23.424,23.424,23.648,23.648,42.048,42.048,89.12,89.12,23.424,23.648,42.048,188.25421903052066,,,336.19968,168.42752,78.65216000000001,78.65216000000001,168.09984,84.21376,-5.233919999999998,-5.233919999999998,84.04992,42.10688,-47.17696,-47.17696,42.02496,21.05344,-68.14848,-68.14848,incremental vs FP8 wire; INT4 codec tax only
