layer,receiver_group,rank,count,mean_share,median_share,p75_share,p90_share,full_bytes,policy_bytes,policy_byte_saving
3,0,1,2620,0.9321706295013428,0.9985015988349915,0.999997615814209,1.0,5365760.0,5365760.0,0.0
3,0,2,2866,0.055474694818258286,0.0005450844182632864,0.03859454020857811,0.2354559302330017,5869568.0,5869568.0,0.0
3,1,1,2986,0.943635880947113,0.999655544757843,0.9999980926513672,1.0,6115328.0,6115328.0,0.0
3,1,2,3114,0.059268467128276825,0.0008938788087107241,0.050939835608005524,0.24532362818717957,6377472.0,6377472.0,0.0
3,2,1,4770,0.9477896094322205,0.9995400905609131,0.9999995827674866,1.0,9768960.0,9768960.0,0.0
3,2,2,4125,0.05911374092102051,0.0006316925282590091,0.0434335321187973,0.24538327753543854,8448000.0,8448000.0,0.0
3,3,1,3447,0.9405031800270081,0.9992246627807617,0.9999986886978149,1.0,7059456.0,7059456.0,0.0
3,3,2,3718,0.0572211816906929,0.0005106012104079127,0.037330083549022675,0.2685815989971161,7614464.0,7614464.0,0.0
4,0,1,2828,0.9445566534996033,0.9995113015174866,0.999999463558197,1.0,5791744.0,5791744.0,0.0
4,0,2,3368,0.04555815830826759,0.0004658456891775131,0.02078263647854328,0.18267187476158142,6897664.0,6897664.0,0.0
4,1,1,3830,0.9544517993927002,0.9998493194580078,0.9999998807907104,1.0,7843840.0,7843840.0,0.0
4,1,2,3760,0.05085253715515137,0.00019710931519512087,0.024405289441347122,0.22002093493938446,7700480.0,7700480.0,0.0
4,2,1,4445,0.9537230134010315,0.9996711611747742,0.9999998211860657,1.0,9103360.0,9103360.0,0.0
4,2,2,3893,0.05259710177779198,0.00033538296702317894,0.03250081092119217,0.22251832485198975,7972864.0,7972864.0,0.0
4,3,1,2720,0.944836437702179,0.9996072053909302,0.9999996423721313,1.0,5570560.0,5570560.0,0.0
4,3,2,2802,0.049101781100034714,0.0002458531525917351,0.024390244856476784,0.20237551629543304,5738496.0,5738496.0,0.0
5,0,1,4033,0.9537442922592163,0.9997605681419373,0.9999998807907104,1.0,8259584.0,8259584.0,0.0
5,0,2,3557,0.04741339012980461,0.0002106786414515227,0.022702151909470558,0.19105078279972076,7284736.0,7284736.0,0.0
5,1,1,3314,0.9538775086402893,0.9997447729110718,0.9999998807907104,1.0,6787072.0,6787072.0,0.0
5,1,2,3543,0.049863316118717194,0.0002572813828010112,0.028514089062809944,0.2036008983850479,7256064.0,7256064.0,0.0
5,2,1,3182,0.9481706619262695,0.9996949434280396,0.9999994039535522,1.0,6516736.0,6516736.0,0.0
5,2,2,3496,0.044573407620191574,0.0002765724202618003,0.021631626412272453,0.16422027349472046,7159808.0,7159808.0,0.0
5,3,1,3294,0.9531877040863037,0.9998598694801331,0.9999999403953552,1.0,6746112.0,6746112.0,0.0
5,3,2,3227,0.048768430948257446,0.00017715753347147256,0.021094385534524918,0.20231086015701294,6608896.0,6608896.0,0.0
6,0,1,4399,0.9542045593261719,0.9999479651451111,1.0,1.0,9009152.0,9009152.0,0.0
6,0,2,4147,0.043220896273851395,3.9769609429640695e-05,0.014063946902751923,0.16430871188640594,8493056.0,8493056.0,0.0
6,1,1,3632,0.9634953141212463,0.9999884963035583,1.0,1.0,7438336.0,7438336.0,0.0
6,1,2,3351,0.04411004111170769,7.455195736838505e-05,0.015839822590351105,0.17336805164813995,6862848.0,6862848.0,0.0
6,2,1,2321,0.9546999931335449,0.9999420046806335,1.0,1.0,4753408.0,4753408.0,0.0
6,2,2,2906,0.03614138811826706,8.904598871595226e-06,0.0066916984505951405,0.13252609968185425,5951488.0,5951488.0,0.0
6,3,1,3471,0.9565457105636597,0.9999196529388428,0.9999999403953552,1.0,7108608.0,7108608.0,0.0
6,3,2,3419,0.046192947775125504,5.8016288676299155e-05,0.014088270254433155,0.1827956885099411,7002112.0,7002112.0,0.0
7,0,1,3794,0.9609636068344116,0.9999898672103882,1.0,1.0,7770112.0,7770112.0,0.0
