block,tokens,bf16_us,per_expert_us,quantize_once_us
14,128,1353.279948234558,3325.023889541626,2401.087999343872
14,256,1254.591941833496,3313.375949859619,2466.464042663574
14,64,1354.7519445419312,3290.1439666748047,2433.216094970703
14,16,1208.3200216293335,3199.968099594116,2359.488010406494
14,8,1142.0799493789673,2998.4960556030273,2250.2079010009766
15,8,1130.5279731750488,3001.1839866638184,2264.7039890289307
15,32,1204.095959663391,3167.263984680176,2346.4319705963135
15,64,1355.7440042495728,3273.3120918273926,2443.392038345337
15,256,1260.3199481964111,3292.8640842437744,2471.0400104522705
15,16,1207.7120542526245,3193.5040950775146,2384.1280937194824
15,128,1358.8160276412964,3303.679943084717,2416.735887527466
16,64,1365.3119802474976,3255.903959274292,2447.7760791778564
16,32,1208.191990852356,3230.015993118286,2408.5440635681152
16,256,1275.5199670791626,3348.9279747009277,2488.2240295410156
16,128,1367.5520420074463,3320.863962173462,2433.6318969726562
16,16,1216.256022453308,3221.856117248535,2367.232084274292
16,8,1156.6720008850098,3024.8639583587646,2265.471935272217
17,8,1154.4959545135498,3007.967948913574,2250.368118286133
17,256,1255.1360130310059,3295.135974884033,2478.816032409668
17,128,1393.8239812850952,3343.5840606689453,2409.5358848571777
17,16,1208.4159851074219,3202.8799057006836,2372.2240924835205
17,32,1220.255970954895,3184.864044189453,2357.6319217681885
17,64,1352.8319597244263,3239.039897918701,2446.7198848724365
18,64,1342.2399759292603,3267.040014266968,2427.3600578308105
18,16,1204.9599885940552,3194.943904876709,2398.6239433288574
18,32,1231.2639951705933,3170.720100402832,2361.567974090576
18,8,1141.2800550460815,3034.39998626709,2258.3999633789062
18,256,1264.4480466842651,3416.6080951690674,2465.6639099121094
18,128,1356.4800024032593,3312.351942062378,2445.535898208618
19,32,1209.8239660263062,3186.3040924072266,2351.4559268951416
19,8,1142.9439783096313,3025.08807182312,2264.76788520813
19,128,1345.1199531555176,3298.0799674987793,2431.4239025115967
19,16,1212.4160528182983,3178.431987762451,2348.4480381011963
19,256,1264.9919986724854,3368.704080581665,2427.4239540100098
19,64,1341.9519662857056,3264.3840312957764,2467.616081237793
20,8,1148.576021194458,3012.7360820770264,2279.9038887023926
20,128,1357.6960563659668,3316.864013671875,2406.1439037323
20,256,1260.5760097503662,3320.159912109375,2457.6001167297363
20,16,1217.4400091171265,3196.959972381592,2380.959987640381
20,32,1203.0080556869507,3208.6400985717773,2356.0640811920166
20,64,1349.1840362548828,3250.623941421509,2442.080020904541
21,8,1143.231987953186,2998.624086380005,2241.1201000213623
21,32,1204.4479846954346,3205.2481174468994,2384.1919898986816
21,16,1177.7280569076538,3200.000047683716,2406.496047973633
21,256,1280.8959484100342,3348.79994392395,2471.872091293335
21,128,1354.6559810638428,3322.751998901367,2432.2879314422607
21,64,1338.43195438385,3251.487970352173,2484.447956085205
22,16,1209.1840505599976,3227.1039485931396,2373.5039234161377
22,128,1372.6400136947632,3330.0158977508545,2441.5040016174316
22,32,1201.9519805908203,3186.944007873535,2359.1361045837402
22,8,1142.8799629211426,3026.20792388916,2284.543991088867
22,256,1260.256052017212,3307.231903076172,2471.872091293335
22,64,1354.6559810638428,3256.0958862304688,2468.0960178375244
23,128,1352.9599905014038,3304.4800758361816,2396.672010421753
23,256,1259.3920230865479,3298.880100250244,2444.5760250091553
23,16,1211.583971977234,3204.319953918457,2362.0479106903076
23,8,1149.9199867248535,3012.608051300049,2250.0479221343994
23,32,1205.2799463272095,3165.7919883728027,2369.0240383148193
23,64,1358.62398147583,3265.471935272217,2432.9919815063477
24,32,1192.255973815918,3176.192045211792,2378.4000873565674
24,64,1353.3120155334473,3302.2079467773438,2427.903890609741
24,16,1204.192042350769,3182.431936264038,2354.1440963745117
24,256,1236.89603805542,3343.775987625122,2438.175916671753
24,128,1349.5680093765259,3308.5761070251465,2406.3360691070557
24,8,1157.9840183258057,2997.567892074585,2273.439884185791
25,128,1368.064045906067,3295.6159114837646,2401.5679359436035
25,16,1206.5919637680054,3194.0159797668457,2348.0000495910645
25,256,1264.639973640442,3317.631959915161,2439.4240379333496
25,8,1139.4239664077759,3009.2480182647705,2241.9838905334473
25,32,1194.591999053955,3225.152015686035,2376.863956451416
25,64,1338.4640216827393,3281.888008117676,2421.95200920105
26,16,1203.2320499420166,3191.0400390625,2348.7679958343506
26,256,1264.1279697418213,3314.0480518341064,2436.160087585449
26,32,1181.823968887329,3174.207925796509,2380.9280395507812
26,64,1361.3760471343994,3306.0479164123535,2435.03999710083
26,8,1143.4240341186523,3009.984016418457,2259.5200538635254
26,128,1361.5360260009766,3312.351942062378,2445.280075073242
27,8,1153.3119678497314,3023.1680870056152,2278.4640789031982
27,32,1205.6000232696533,3189.824104309082,2392.9600715637207
27,16,1220.8319902420044,3215.0719165802,2385.0560188293457
