strategy,sample_idx,kl_free,kl_locked,drift_contribution,drift_fraction,numerical_fraction
rank1_int4,18,36.361534118652344,27.97374725341797,8.387786865234375,0.23067747465945612,0.7693225253405439
uniform_int4,18,31.444107055664062,36.959171295166016,-5.515064239501953,-0.17539261743826554,1.1753926174382656
rank8_int4,19,0.16000919044017792,0.045493483543395996,0.11451570689678192,0.7156820591476932,0.28431794085230677
rank1_int4,19,4.949565410614014,3.4836883544921875,1.4658770561218262,0.29616278087331677,0.7038372191266833
uniform_int4,19,8.47586727142334,6.881296157836914,1.5945711135864258,0.18813073193849716,0.8118692680615028
rank8_int4,20,0.3354033827781677,0.10344250500202179,0.23196087777614594,0.6915877706861484,0.3084122293138516
rank1_int4,20,20.35210418701172,15.12467098236084,5.227433204650879,0.2568497663247477,0.7431502336752522
uniform_int4,20,29.718467712402344,21.20472526550293,8.513742446899414,0.2864798592340073,0.7135201407659927
rank8_int4,21,0.5097438097000122,0.2511368989944458,0.2586069107055664,0.5073272216052185,0.4926727783947815
rank1_int4,21,39.19912338256836,19.493064880371094,19.706058502197266,0.5027168161357518,0.4972831838642482
uniform_int4,21,47.623687744140625,30.22141456604004,17.402273178100586,0.3654121300222424,0.6345878699777576
rank8_int4,22,0.24849765002727509,0.13155105710029602,0.11694659292697906,0.4706144823266659,0.5293855176733341
rank1_int4,22,19.968233108520508,13.562826156616211,6.405406951904297,0.3207798565397902,0.6792201434602099
uniform_int4,22,20.722488403320312,17.9232120513916,2.799276351928711,0.13508398689610027,0.8649160131038998
rank8_int4,23,0.13956694304943085,0.058773234486579895,0.08079370856285095,0.5788885734513509,0.4211114265486491
rank1_int4,23,9.38687801361084,6.600170135498047,2.786707878112793,0.2968727061406472,0.7031272938593528
uniform_int4,23,12.154727935791016,11.218047142028809,0.936680793762207,0.07706308184850778,0.9229369181514923
rank8_int4,24,0.28571727871894836,0.15595027804374695,0.12976700067520142,0.45417974459587857,0.5458202554041214
rank1_int4,24,30.378395080566406,24.33432388305664,6.044071197509766,0.1989595296749651,0.8010404703250349
uniform_int4,24,25.159259796142578,24.809494018554688,0.3497657775878906,0.013902069473503222,0.9860979305264967
rank8_int4,25,0.47250550985336304,0.2171478569507599,0.25535765290260315,0.5404331750159922,0.4595668249840078
rank1_int4,25,23.599931716918945,21.508359909057617,2.091571807861328,0.08862618048855907,0.9113738195114409
uniform_int4,25,29.824382781982422,26.083927154541016,3.7404556274414062,0.12541602804605564,0.8745839719539443
rank8_int4,26,0.2882825434207916,0.12765362858772278,0.16062891483306885,0.5571926517888627,0.4428073482111373
rank1_int4,26,13.740443229675293,10.470908164978027,3.2695350646972656,0.23794975242400018,0.7620502475759998
uniform_int4,26,20.077529907226562,15.127131462097168,4.9503984451293945,0.24656411759832983,0.7534358824016701
rank8_int4,27,0.5197066068649292,0.2530713379383087,0.2666352689266205,0.5130496041508252,0.48695039584917477
rank1_int4,27,22.811704635620117,16.55219841003418,6.2595062255859375,0.27439888099426896,0.725601119005731
uniform_int4,27,34.0787353515625,25.44963836669922,8.629096984863281,0.2532105988043256,0.7467894011956744
rank8_int4,28,0.5901416540145874,0.27751076221466064,0.31263089179992676,0.5297556775956692,0.4702443224043308
rank1_int4,28,17.669910430908203,14.529178619384766,3.1407318115234375,0.17774463678263305,0.8222553632173669
uniform_int4,28,26.623008728027344,22.05035400390625,4.572654724121094,0.1717557459727396,0.8282442540272604
rank8_int4,29,0.4245534837245941,0.21466748416423798,0.20988599956035614,0.49436880771542135,0.5056311922845786
rank1_int4,29,13.762923240661621,12.319324493408203,1.443598747253418,0.10489041622991863,0.8951095837700813
uniform_int4,29,21.591135025024414,18.54949951171875,3.041635513305664,0.14087427593687724,0.8591257240631227
rank8_int4,30,0.4181056618690491,0.2143293023109436,0.20377635955810547,0.48738005280093133,0.5126199471990687
rank1_int4,30,27.606643676757812,19.863449096679688,7.743194580078125,0.28048301237709544,0.7195169876229046
uniform_int4,30,27.91943359375,25.34320831298828,2.5762252807617188,0.09227355104146627,0.9077264489585337
rank8_int4,31,0.36861491203308105,0.18199488520622253,0.18662002682685852,0.5062736767689704,0.4937263232310296
rank1_int4,31,18.460599899291992,14.419075965881348,4.0415239334106445,0.21892700971032075,0.7810729902896792
uniform_int4,31,28.248882293701172,25.084308624267578,3.1645736694335938,0.11202473912177469,0.8879752608782253
