block,tokens,bf16_us,per_expert_us,quantize_once_us
15,64,702.4959921836853,1691.1360025405884,1289.3120050430298
15,256,709.9840044975281,1660.4160070419312,1263.4880542755127
15,16,629.2799711227417,1633.72802734375,1243.5200214385986
15,128,655.8399796485901,1713.3439779281616,1298.848032951355
16,64,710.1119756698608,1666.3039922714233,1269.6000337600708
16,32,703.5840153694153,1697.2160339355469,1282.3679447174072
16,256,711.4560008049011,1654.7520160675049,1249.6320009231567
16,128,649.2800116539001,1703.328013420105,1291.2319898605347
16,16,624.064028263092,1641.8559551239014,1242.1760559082031
16,8,619.2319989204407,1626.6239881515503,1240.1280403137207
17,8,620.6079721450806,1616.5440082550049,1222.815990447998
17,256,708.3200216293335,1643.3279514312744,1267.8719758987427
17,128,657.3759913444519,1710.4640007019043,1275.488018989563
17,16,630.4000020027161,1641.0239934921265,1232.6079607009888
17,32,708.9599967002869,1682.0160150527954,1278.6879539489746
17,64,716.5759801864624,1687.5840425491333,1270.2080011367798
18,64,702.8160095214844,1687.1039867401123,1269.2159414291382
18,16,618.7520027160645,1645.18404006958,1257.9840421676636
18,32,708.1599831581116,1656.831979751587,1288.8319492340088
18,8,615.0079965591431,1637.3120546340942,1245.08798122406
18,256,720.416009426117,1667.2320365905762,1270.751953125
18,128,654.2400121688843,1703.1359672546387,1303.8079738616943
19,32,708.1599831581116,1674.6879816055298,1270.624041557312
19,8,627.2000074386597,1636.512041091919,1232.9599857330322
19,128,653.1199812889099,1714.143991470337,1288.2239818572998
19,16,626.0799765586853,1633.1520080566406,1242.1760559082031
19,256,713.0240201950073,1660.9920263290405,1241.2159442901611
19,64,706.9439888000488,1672.0319986343384,1297.3120212554932
20,8,616.703987121582,1626.8160343170166,1258.3680152893066
20,128,665.7919883728027,1704.2880058288574,1281.6319465637207
20,256,721.3119864463806,1668.2239770889282,1265.3759717941284
20,16,637.9200220108032,1638.4320259094238,1262.1760368347168
20,32,707.360029220581,1692.2240257263184,1292.0960187911987
20,64,709.6959948539734,1696.3200569152832,1286.8479490280151
21,8,627.6800036430359,1644.4480419158936,1242.751955986023
21,32,703.6479711532593,1664.8319959640503,1280.3200483322144
21,16,619.5520162582397,1644.5120573043823,1248.6720085144043
21,256,720.7679748535156,1677.9199838638306,1259.775996208191
21,128,668.4160232543945,1704.8319578170776,1317.3120021820068
21,64,693.9520239830017,1683.0400228500366,1290.4959917068481
22,16,629.9200057983398,1649.8240232467651,1239.1999959945679
22,128,665.9200191497803,1705.6959867477417,1299.0399599075317
22,32,706.6879868507385,1667.680025100708,1272.9920148849487
22,8,625.3759860992432,1653.0879735946655,1255.9679746627808
22,256,727.4240255355835,1650.3360271453857,1264.1600370407104
22,64,707.96799659729,1672.287940979004,1287.5200510025024
23,128,655.8399796485901,1718.6559438705444,1285.7279777526855
23,256,735.1999878883362,1653.2800197601318,1276.5120267868042
23,16,637.3119950294495,1642.016053199768,1248.8960027694702
23,8,625.7280111312866,1630.46395778656,1227.8079986572266
23,32,773.8239765167236,2394.943952560425,1736.0960245132446
23,64,813.5679960250854,2260.864019393921,1915.4560565948486
24,32,704.5440077781677,1682.144045829773,1295.7439422607422
24,64,703.4879922866821,1699.8080015182495,1271.5840339660645
24,16,626.2720227241516,1642.4640417099,1227.5199890136719
24,256,705.2800059318542,1696.992039680481,1249.0240335464478
24,128,658.6560010910034,1715.8080339431763,1277.4399518966675
24,8,630.079984664917,1633.0879926681519,1257.248044013977
25,128,656.8959951400757,1710.3040218353271,1282.1760177612305
25,16,634.4320178031921,1642.2719955444336,1241.760015487671
25,256,714.7840261459351,1675.2320528030396,1246.559977531433
25,8,637.5359892845154,1627.2640228271484,1226.1439561843872
25,32,702.3360133171082,1657.3760509490967,1303.6479949951172
25,64,797.21599817276,1697.5680589675903,1264.3519639968872
26,16,630.8799982070923,1673.792004585266,1232.2880029678345
26,256,713.919997215271,1670.240044593811,1237.3759746551514
26,32,688.7040138244629,1660.4160070419312,1320.3519582748413
26,64,704.6080231666565,1676.416039466858,1283.6799621582031
26,8,634.3039870262146,1619.4560527801514,1266.495943069458
26,128,659.7440242767334,1686.1120462417603,1299.6480464935303
27,8,627.5839805603027,1620.7040548324585,1247.8079795837402
27,32,706.2399983406067,1683.4559440612793,1279.9040079116821
27,16,636.3840103149414,1630.7200193405151,1228.0000448226929
27,64,699.9359726905823,1718.5920476913452,1290.9120321273804
27,256,713.6960029602051,1655.519962310791,1263.8399600982666
27,128,652.0640254020691,1699.2640495300293,1275.488018989563
28,256,705.344021320343,1642.240047454834,1270.4639434814453
28,32,706.0480117797852,1691.2319660186768,1284.4480276107788
28,16,621.4079856872559,1649.1520404815674,1228.543996810913
28,128,657.4400067329407,1702.3680210113525,1290.7520532608032
28,64,703.3600211143494,1673.4399795532227,1266.7200565338135
28,8,631.3279867172241,1636.9600296020508,1240.928053855896
29,32,699.5199918746948,1667.7440404891968,1271.1679935455322
29,8,619.6479797363281,1629.4080018997192,1245.8560466766357
29,128,654.4640064239502,1711.2959623336792,1299.9999523162842
29,256,712.1919989585876,1664.4799709320068,1261.5679502487183
29,64,707.647979259491,1675.2640008926392,1268.928050994873
29,16,617.1839833259583,1646.9119787216187,1253.119945526123
