sample_id,char_count,token_count_input,unique_token_ratio,token_id_entropy,adjacent_repeat_rate,early_route_top1_weight_mean,early_route_top1_weight_std,early_route_top1_top2_margin_mean,early_route_tail_mass_mean,early_route_routing_entropy_mean,early_route_rank1_hhi_mean,early_route_active_expert_fraction_mean,early_route_same_id_adjacent_layer_rate,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate,full_mean_nll,full_sample_ppl,label_token_count,label_kl_sum,label_mean_token_kl
10,9642.0,128.0,0.6484375,4.260687128782334,0.0,0.12483549118041992,0.08828290551900864,0.04348611831665039,0.1392292082309723,0.9305897355079651,0.118896484375,0.6669921875,0.008333333333333333,0.10987955331802368,0.05916209518909454,0.03362596035003662,0.13978394865989685,0.9441238045692444,0.11574554443359375,0.8935546875,0.010416666666666666,2.046673872339444,7.742106996603787,127,3.362267017364502,0.026474543443814978
11,21245.0,128.0,0.7265625,4.401028567810776,0.0,0.12969636917114258,0.09418904036283493,0.044735848903656006,0.14545351266860962,0.9291826486587524,0.1148681640625,0.7314453125,0.016666666666666666,0.11622226238250732,0.06776910275220871,0.034515902400016785,0.14435653388500214,0.9422922134399414,0.0772247314453125,0.900390625,0.0171875,2.2006965697281005,9.031302240652625,127,3.930945634841919,0.030952327833400937
12,39029.0,128.0,0.6484375,4.217943642253798,0.0,0.11499929428100586,0.08131346851587296,0.03822171688079834,0.14283645153045654,0.9409311413764954,0.159423828125,0.7236328125,0.0125,0.10251963138580322,0.05761367827653885,0.028293520212173462,0.14364030957221985,0.9517278671264648,0.09600067138671875,0.896484375,0.013020833333333334,2.647267259012057,14.115412125999175,127,2.770937204360962,0.021818403183944582
13,7491.0,128.0,0.75,4.388349170893848,0.0,0.12336182594299316,0.09038364142179489,0.04521501064300537,0.1370418667793274,0.9312993884086609,0.1204833984375,0.8115234375,0.020833333333333332,0.10388129949569702,0.06323514878749847,0.030480653047561646,0.13899023830890656,0.9489278793334961,0.04613494873046875,0.9619140625,0.016666666666666666,2.7040362020177167,14.93991069362382,127,3.8629150390625,0.030416653850885825
14,9409.0,128.0,0.6328125,4.17296214576056,0.0,0.12512683868408203,0.09001633524894714,0.04619097709655762,0.1456318497657776,0.9349640011787415,0.1058349609375,0.8046875,0.01875,0.10646593570709229,0.05850750952959061,0.030676603317260742,0.14288397133350372,0.9493030905723572,0.066192626953125,0.9296875,0.03125,1.7067647618571604,5.511102874555033,127,3.325772762298584,0.02618718710471326
15,43147.0,128.0,0.71875,4.381255004105306,0.0,0.13789081573486328,0.09833155572414398,0.051502764225006104,0.14317181706428528,0.9237651824951172,0.150634765625,0.6328125,0.0125,0.10708260536193848,0.06621143966913223,0.03253103792667389,0.13954904675483704,0.9475090503692627,0.06435394287109375,0.912109375,0.0125,2.114458219272884,8.285095844701637,127,5.249115943908691,0.041331621605580245
16,21742.0,128.0,0.6875,4.187935473606747,0.0,0.13361692428588867,0.09083259105682373,0.047864437103271484,0.14705294370651245,0.928364634513855,0.175537109375,0.7021484375,0.016666666666666666,0.11130428314208984,0.06388218700885773,0.031659841537475586,0.1450079083442688,0.9460450410842896,0.1096343994140625,0.9130859375,0.0140625,2.1599952517531986,8.671096485859552,127,2.9872069358825684,0.023521314455768254
17,14928.0,128.0,0.6640625,4.262486809813491,0.0,0.11023998260498047,0.0861220732331276,0.03843808174133301,0.1437050998210907,0.9452033042907715,0.1072998046875,0.7705078125,0.014583333333333334,0.10142433643341064,0.05776647478342056,0.02699357271194458,0.14418378472328186,0.9537673592567444,0.0556793212890625,0.9453125,0.019791666666666666,2.6012481929749014,13.480553870753683,127,3.6952953338623047,0.029096813652459093
18,24654.0,128.0,0.71875,4.3434543851167025,0.0,0.1240854263305664,0.0895623192191124,0.0463871955871582,0.1434968113899231,0.9337217807769775,0.1436767578125,0.771484375,0.01875,0.11180424690246582,0.061582885682582855,0.034463584423065186,0.1418038159608841,0.9439617395401001,0.0867156982421875,0.9150390625,0.016145833333333335,2.369190125953494,10.688732250976235,127,3.087045669555664,0.024307446216973734
19,8988.0,128.0,0.578125,4.075363299318876,0.007874015748031496,0.11330986022949219,0.0865732729434967,0.038802385330200195,0.14122530817985535,0.9414079189300537,0.0941162109375,0.8115234375,0.0125,0.10144400596618652,0.058726150542497635,0.02931690216064453,0.13793537020683289,0.9508742094039917,0.06725311279296875,0.9248046875,0.017708333333333333,2.499836598794291,12.180503489128911,127,3.030360460281372,0.023861105986467495
20,9510.0,128.0,0.640625,4.219025227708579,0.0,0.11907768249511719,0.09433424472808838,0.041892826557159424,0.13656634092330933,0.9339789748191833,0.1055908203125,0.7705078125,0.0125,0.10140788555145264,0.06033205986022949,0.027342334389686584,0.14216941595077515,0.9520984292030334,0.0594024658203125,0.95703125,0.018229166666666668,2.3478254183070866,10.462792770913454,127,2.3574459552764893,0.01856256657698023
21,22668.0,128.0,0.65625,4.217856931538704,0.007874015748031496,0.1264510154724121,0.08666864782571793,0.04544168710708618,0.1472235918045044,0.9340548515319824,0.1021728515625,0.76171875,0.014583333333333334,0.1048353910446167,0.06167115271091461,0.029879465699195862,0.1418573260307312,0.9493598341941833,0.0667572021484375,0.9267578125,0.016666666666666666,2.095577209953248,8.130132409457623,127,2.1471025943756104,0.016906319640752836
22,36709.0,128.0,0.6328125,4.1603843187011975,0.0,0.1130223274230957,0.08405040204524994,0.038903772830963135,0.14175572991371155,0.9408690929412842,0.1077880859375,0.7509765625,0.014583333333333334,0.09506559371948242,0.054120223969221115,0.02555854618549347,0.14019164443016052,0.9559837579727173,0.05632781982421875,0.9248046875,0.013020833333333334,2.199726735513041,9.022547620684293,127,2.922135591506958,0.023008941665409118
23,9034.0,128.0,0.75,4.424803296923313,0.0,0.13118314743041992,0.09008432924747467,0.046952247619628906,0.1463812291622162,0.930514931678772,0.150146484375,0.74609375,0.0125,0.11314249038696289,0.0626867413520813,0.0355076789855957,0.1447792649269104,0.9459059238433838,0.15427398681640625,0.92578125,0.0203125,2.422834501491757,11.277780939459625,127,3.0195655822753906,0.02377610694705032
24,5480.0,128.0,0.71875,4.398373895361849,0.0,0.1379075050354004,0.09417717158794403,0.05092811584472656,0.15164020657539368,0.928749680519104,0.135498046875,0.6513671875,0.01875,0.10833418369293213,0.06578323990106583,0.031936824321746826,0.14597654342651367,0.9496511220932007,0.05748748779296875,0.921875,0.014583333333333334,2.233730286125123,9.334622025394278,127,2.7755558490753174,0.02185477046515998
25,22379.0,128.0,0.7109375,4.328550943438766,0.0,0.13425779342651367,0.103974349796772,0.04944562911987305,0.14353889226913452,0.9266648888587952,0.1185302734375,0.75,0.008333333333333333,0.10833930969238281,0.06900884956121445,0.030705571174621582,0.1429917812347412,0.947743833065033,0.06171417236328125,0.9306640625,0.013020833333333334,2.1161960391547736,8.29950636680316,127,2.778867721557617,0.02188084820124108
26,12500.0,128.0,0.6328125,4.196963468913106,0.0,0.12117815017700195,0.08861320465803146,0.039450764656066895,0.14279815554618835,0.9350028038024902,0.1168212890625,0.7939453125,0.008333333333333333,0.10416162014007568,0.06497885286808014,0.029416590929031372,0.14055052399635315,0.9494459629058838,0.0729827880859375,0.931640625,0.014583333333333334,2.631758562223179,13.898189254955414,127,3.2779541015625,0.02581066221702756
27,7285.0,128.0,0.578125,4.109287777080855,0.0,0.10912466049194336,0.0881081074476242,0.03794986009597778,0.13847759366035461,0.943216860294342,0.09228515625,0.80078125,0.0,0.09877562522888184,0.058030419051647186,0.026259735226631165,0.14067456126213074,0.9541419744491577,0.0770416259765625,0.9306640625,0.008854166666666666,2.4631525475209153,11.74176974021601,127,3.927027940750122,0.030921479848426157
28,55450.0,128.0,0.5859375,4.062873076911385,0.0,0.11374378204345703,0.08160513639450073,0.03811466693878174,0.14162683486938477,0.9409180879592896,0.1243896484375,0.7587890625,0.010416666666666666,0.10798561573028564,0.06567773967981339,0.032484859228134155,0.14113286137580872,0.946508526802063,0.08483123779296875,0.91015625,0.018229166666666668,1.7455236479992002,5.728900617451357,127,2.9235739707946777,0.023020267486572266
29,26400.0,128.0,0.65625,4.239744374968212,0.0,0.12063074111938477,0.08748233318328857,0.04182755947113037,0.1459336280822754,0.9379379749298096,0.08642578125,0.802734375,0.014583333333333334,0.10126519203186035,0.05802074819803238,0.02772161364555359,0.14218205213546753,0.9526629447937012,0.0627288818359375,0.9404296875,0.013541666666666667,2.1229805533341537,8.356005929752559,127,3.2493669986724854,0.025585566918680986
30,15176.0,128.0,0.5859375,4.018195761876031,0.0,0.13419580459594727,0.0902053713798523,0.04850757122039795,0.14715996384620667,0.9290987253189087,0.146484375,0.66796875,0.00625,0.11330282688140869,0.06418298184871674,0.033524662256240845,0.1465478241443634,0.9464455842971802,0.0691375732421875,0.8994140625,0.011458333333333333,1.7675019512026329,5.856205985750159,127,2.682445764541626,0.02112162019324115
31,45126.0,128.0,0.5234375,3.8756759813821833,0.0,0.12569284439086914,0.09229965507984161,0.04765927791595459,0.13788551092147827,0.9296550750732422,0.09521484375,0.8095703125,0.014583333333333334,0.10602515935897827,0.061598040163517,0.03203800320625305,0.13965420424938202,0.947695255279541,0.07283782958984375,0.9345703125,0.0125,1.3117159145084891,3.712538648735703,127,2.579010009765625,0.020307165431225394
32,43122.0,128.0,0.546875,3.994154270835182,0.0,0.12946462631225586,0.0917937383055687,0.04981350898742676,0.1420288383960724,0.9286482930183411,0.134765625,0.7666015625,0.016666666666666666,0.11402487754821777,0.06293988227844238,0.03591281175613403,0.1374799609184265,0.9402108788490295,0.0993194580078125,0.90625,0.015104166666666667,1.8690042570820005,6.481838939615657,127,2.075504779815674,0.016342557321383257
