strategy,sample_idx,kl_free,kl_locked,drift_contribution,drift_fraction,numerical_fraction
rank8_int4,16,0.1691233217716217,0.0896400511264801,0.0794832706451416,0.46997226528268565,0.5300277347173143
uniform_fp8,17,0.6219636797904968,0.23519113659858704,0.3867725431919098,0.6218571208566244,0.37814287914337563
rank8_fp8,17,0.2744080722332001,0.05028979107737541,0.22411828115582466,0.8167335579157537,0.18326644208424625
rank1_fp8,17,0.6232171654701233,0.15618175268173218,0.4670354127883911,0.7493943342142757,0.2506056657857243
rank8_int4,17,0.7146217823028564,0.4403579831123352,0.27426379919052124,0.3837887480937271,0.6162112519062729
uniform_fp8,18,0.28881967067718506,0.15404734015464783,0.13477233052253723,0.46663141124197466,0.5333685887580253
rank8_fp8,18,0.18355503678321838,0.045917950570583344,0.13763708621263504,0.7498409666370898,0.25015903336291023
rank1_fp8,18,0.40138351917266846,0.10056924819946289,0.30081427097320557,0.7494435037921932,0.25055649620780684
rank8_int4,18,0.5894219875335693,0.2899901866912842,0.29943180084228516,0.508009214408941,0.491990785591059
uniform_fp8,19,0.12239475548267365,0.04199032112956047,0.08040443435311317,0.6569271210684785,0.3430728789315215
rank8_fp8,19,0.0490046925842762,0.0072456602938473225,0.04175903229042888,0.8521435415315269,0.14785645846847306
rank1_fp8,19,0.1225103884935379,0.031734347343444824,0.09077604115009308,0.7409660704396613,0.25903392956033866
rank8_int4,19,0.16000919044017792,0.045493483543395996,0.11451570689678192,0.7156820591476932,0.28431794085230677
uniform_fp8,20,0.38893115520477295,0.13346722722053528,0.25546392798423767,0.6568358553064114,0.3431641446935886
rank8_fp8,20,0.2787907123565674,0.020085331052541733,0.25870538130402565,0.9279555230417682,0.0720444769582318
rank1_fp8,20,0.2934618294239044,0.07872176915407181,0.2147400602698326,0.7317478415894473,0.2682521584105527
rank8_int4,20,0.3354033827781677,0.10344250500202179,0.23196087777614594,0.6915877706861484,0.3084122293138516
uniform_fp8,21,0.39101237058639526,0.16425499320030212,0.22675737738609314,0.5799237938329894,0.4200762061670106
rank8_fp8,21,0.13502497971057892,0.038453828543424606,0.09657115116715431,0.7152095217799775,0.28479047822002246
rank1_fp8,21,0.28981268405914307,0.10683006048202515,0.18298262357711792,0.6313823846984421,0.3686176153015579
rank8_int4,21,0.5097438097000122,0.2511368989944458,0.2586069107055664,0.5073272216052185,0.4926727783947815
uniform_fp8,22,0.20011359453201294,0.07655302435159683,0.12356057018041611,0.6174521549591657,0.3825478450408343
rank8_fp8,22,0.07004890590906143,0.019872531294822693,0.05017637461423874,0.7163049010269836,0.28369509897301637
rank1_fp8,22,0.27001577615737915,0.04681626334786415,0.223199512809515,0.8266165628760254,0.17338343712397464
rank8_int4,22,0.24849765002727509,0.13155105710029602,0.11694659292697906,0.4706144823266659,0.5293855176733341
uniform_fp8,23,0.13156956434249878,0.05958782881498337,0.07198173552751541,0.5471002042701476,0.4528997957298524
rank8_fp8,23,0.03813423216342926,0.01564861088991165,0.02248562127351761,0.589644002196046,0.41035599780395404
rank1_fp8,23,0.10274186730384827,0.03639398142695427,0.066347885876894,0.6457726301652383,0.35422736983476166
rank8_int4,23,0.13956694304943085,0.058773234486579895,0.08079370856285095,0.5788885734513509,0.4211114265486491
uniform_fp8,24,0.32911360263824463,0.14431074261665344,0.1848028600215912,0.5615169307502703,0.4384830692497297
rank8_fp8,24,0.08087877929210663,0.037381358444690704,0.043497420847415924,0.5378100563352723,0.46218994366472765
rank1_fp8,24,0.2935265302658081,0.11593340337276459,0.17759312689304352,0.605032624247699,0.394967375752301
rank8_int4,24,0.28571727871894836,0.15595027804374695,0.12976700067520142,0.45417974459587857,0.5458202554041214
uniform_fp8,25,0.43724358081817627,0.13506269454956055,0.3021808862686157,0.6911042254826718,0.3088957745173282
rank8_fp8,25,0.24785852432250977,0.03696376457810402,0.21089475974440575,0.8508674870911144,0.14913251290888563
rank1_fp8,25,0.3449157774448395,0.10270016640424728,0.2422156110405922,0.70224566946442,0.29775433053558
rank8_int4,25,0.47250550985336304,0.2171478569507599,0.25535765290260315,0.5404331750159922,0.4595668249840078
uniform_fp8,26,0.24299195408821106,0.08422302454710007,0.158768929541111,0.6533917147045726,0.3466082852954274
rank8_fp8,26,0.08349412679672241,0.032744310796260834,0.05074981600046158,0.6078249806003574,0.3921750193996426
rank1_fp8,26,0.20593523979187012,0.0711575523018837,0.13477768748998642,0.6544663634363911,0.3455336365636089
rank8_int4,26,0.2882825434207916,0.12765362858772278,0.16062891483306885,0.5571926517888627,0.4428073482111373
uniform_fp8,27,0.45514053106307983,0.1416601687669754,0.31348036229610443,0.6887551006804487,0.31124489931955135
rank8_fp8,27,0.24634051322937012,0.04260627180337906,0.20373424142599106,0.8270431800078782,0.17295681999212176
rank1_fp8,27,0.4700774848461151,0.10316598415374756,0.36691150069236755,0.7805340875078923,0.21946591249210767
rank8_int4,27,0.5197066068649292,0.2530713379383087,0.2666352689266205,0.5130496041508252,0.48695039584917477
uniform_fp8,28,0.5103413462638855,0.14017929136753082,0.3701620548963547,0.7253224877941843,0.2746775122058157
