policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
transition_prefetch,per_layer,8,8,42893.17835743725,1497.9399185180664,36462.382096126676,4932.856342792511,0.8487670220390611,178592,151583,26880,25303,1577,0.9413318452380952,olmoe,full_topk,8,1,37984.616959273815,-12.922498082384969
random_prefetch,per_layer,8,8,44133.90434156358,1497.9399185180664,37703.108080253005,4932.856342792511,0.8776484948933883,178592,156741,26880,20145,6735,0.7494419642857143,olmoe,full_topk,8,1,37984.616959273815,-16.188888751683052
oracle_prefetch,per_layer,8,8,42513.84045961499,1497.9399185180664,36083.044198304415,4932.856342792511,0.8399368392761154,178592,150006,26880,26880,0,1.0,olmoe,full_topk,8,1,37984.616959273815,-11.923836181360725
reactive_lru,per_layer,16,0,31701.84806059301,1497.9399185180664,30203.908142074943,0.0,0.7030830048378427,178592,125565,0,0,0,0.0,olmoe,full_topk,8,1,31701.84806059301,0.0
static_frequency_pin,per_layer,16,0,31824.525503769517,1497.9399185180664,30326.58558525145,0.0,0.7059386758645404,178592,126075,0,0,0,0.0,olmoe,full_topk,8,1,31701.84806059301,-0.3869725289895598
frequency_prefetch,per_layer,16,1,31840.108608707786,1497.9399185180664,30280.882224068046,61.286466121673584,0.7048747984232216,178592,125885,3360,2736,624,0.8142857142857143,olmoe,full_topk,8,1,31701.84806059301,-0.43612772306054204
transition_prefetch,per_layer,16,1,31775.161727026105,1497.9399185180664,30215.935342386365,61.286466121673584,0.7033629725855581,178592,125615,3360,3006,354,0.8946428571428572,olmoe,full_topk,8,1,31701.84806059301,-0.23125991359547182
random_prefetch,per_layer,16,1,31909.14473849535,1497.9399185180664,30349.91835385561,61.286466121673584,0.7064818132951084,178592,126172,3360,2449,911,0.7288690476190476,olmoe,full_topk,8,1,31701.84806059301,-0.6538946168252568
oracle_prefetch,per_layer,16,1,31690.009148821235,1497.9399185180664,30130.782764181495,61.286466121673584,0.7013808009317327,178592,125261,3360,3360,0,1.0,olmoe,full_topk,8,1,31701.84806059301,0.03734454770316642
frequency_prefetch,per_layer,16,8,36855.04271309078,1497.9399185180664,30424.2464517802,4932.856342792511,0.70821201397599,178592,126481,26880,23522,3358,0.8750744047619048,olmoe,full_topk,8,1,31701.84806059301,-16.255186898404972
transition_prefetch,per_layer,16,8,36523.33252850175,1497.9399185180664,30092.53626719117,4932.856342792511,0.7004905034939974,178592,125102,26880,24901,1979,0.9263764880952381,olmoe,full_topk,8,1,31701.84806059301,-15.208843530803762
random_prefetch,per_layer,16,8,37860.757203131914,1497.9399185180664,31429.960941821337,4932.856342792511,0.731622917039957,178592,130662,26880,19341,7539,0.71953125,olmoe,full_topk,8,1,31701.84806059301,-19.427602866454773
oracle_prefetch,per_layer,16,8,36047.29594017565,1497.9399185180664,29616.499678865075,4932.856342792511,0.6894093800394194,178592,123123,26880,26880,0,1.0,olmoe,full_topk,8,1,31701.84806059301,-13.707238364391294
reactive_lru,per_layer,32,0,19311.185755759478,1497.9399185180664,17813.24583724141,0.0,0.4146546317864182,178592,74054,0,0,0,0.0,olmoe,full_topk,8,1,19311.185755759478,0.0
static_frequency_pin,per_layer,32,0,19561.59206624329,1497.9399185180664,18063.652147725224,0.0,0.42048356029385414,178592,75095,0,0,0,0.0,olmoe,full_topk,8,1,19311.185755759478,-1.2966904966419834
frequency_prefetch,per_layer,32,1,19472.538528472185,1497.9399185180664,17913.312143832445,61.286466121673584,0.41698396344741084,178592,74470,3360,2485,875,0.7395833333333334,olmoe,full_topk,8,1,19311.185755759478,-0.8355404725190585
transition_prefetch,per_layer,32,1,19405.42675073445,1497.9399185180664,17846.20036609471,61.286466121673584,0.4154217434151586,178592,74191,3360,2764,596,0.8226190476190476,olmoe,full_topk,8,1,19311.185755759478,-0.4880124719781387
random_prefetch,per_layer,32,1,19575.250819131732,1497.9399185180664,18016.024434491992,61.286466121673584,0.4193748880129009,178592,74897,3360,2061,1299,0.6133928571428572,olmoe,full_topk,8,1,19311.185755759478,-1.3674202439562633
oracle_prefetch,per_layer,32,1,19261.821979016066,1497.9399185180664,17702.595594376326,61.286466121673584,0.41207892850743594,178592,73594,3360,3360,0,1.0,olmoe,full_topk,8,1,19311.185755759478,0.2556227119750454
frequency_prefetch,per_layer,32,8,24745.095263525844,1497.9399185180664,18314.299002215266,4932.856342792511,0.4263180881562444,178592,76137,26880,21611,5269,0.8039806547619047,olmoe,full_topk,8,1,19311.185755759478,-28.138663137998797
transition_prefetch,per_layer,32,8,24389.5712223202,1497.9399185180664,17958.77496100962,4932.856342792511,0.4180422415337753,178592,74659,26880,23089,3791,0.8589657738095238,olmoe,full_topk,8,1,19311.185755759478,-26.297636669183365
random_prefetch,per_layer,32,8,25871.56284469366,1497.9399185180664,19440.766583383083,4932.856342792511,0.4525398674072747,178592,80820,26880,16928,9952,0.6297619047619047,olmoe,full_topk,8,1,19311.185755759478,-33.97190194277728
oracle_prefetch,per_layer,32,8,23464.661518737674,1497.9399185180664,17049.99970547855,4916.721894741058,0.3968878785163949,178592,70881,26808,26808,0,1.0,olmoe,full_topk,8,1,19311.185755759478,-21.50813427776925
