arm,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms,tokens_processed,goodput_tokens_per_s,expert_loop,gate,moe_total,routing_setup,unattributed_tail_ms,moe_total_fraction,gate_fraction,routing_setup_fraction,expert_loop_fraction,unattributed_tail_ms_fraction
breakdown,prefill,1,128,2,20270930,-1,85.6119995117,128,1495.11751542,73.0890884399,0.400735998526,76.8619198799,2.74307200313,0.62902343832,0.897793770947,0.00468083914418,0.0320407421713,0.853724814942,0.00734737468938
breakdown,decode,1,128,2,20270930,0,45.6791038513,1,21.8918480375,34.1840958595,0.363167999312,37.743295908,2.6062399745,0.589792074636,0.82627049845,0.00795041865301,0.0570554094709,0.748353031854,0.0129116384716
breakdown,decode,1,128,2,20270930,1,45.7000656128,1,21.8818066581,34.2147836685,0.363680003211,37.7630076408,2.59936000407,0.585183965042,0.826322832024,0.00795797551567,0.0568786930437,0.748681281082,0.0128048823825
breakdown,decode,1,128,2,20270930,2,45.8763504028,1,21.7977234723,34.3730239868,0.364800000563,37.9423680305,2.61321601272,0.591328030452,0.827057246215,0.00795180953498,0.0569621600186,0.749253671772,0.0128896048892
breakdown,decode,1,128,2,20270930,3,45.6566734314,1,21.902603165,34.1327996254,0.364032004029,37.6931843758,2.60995201766,0.586400728673,0.825578859406,0.00797324852358,0.0571647433225,0.747597165104,0.0128437024558
breakdown,decode,1,128,2,20270930,4,45.6773109436,1,21.8927073276,34.199488163,0.362304003909,37.7518723011,2.59331202507,0.596768109128,0.826490691357,0.0079318155212,0.056774621174,0.748719385106,0.0130648695556
breakdown,decode,1,128,2,20270930,5,45.6984977722,1,21.882557387,34.1799674034,0.365695998073,37.7195520401,2.58531203866,0.588576599956,0.825400262129,0.00800236366402,0.0565732390493,0.747945098191,0.0128795612252
breakdown,decode,1,128,2,20270930,6,47.2610549927,1,21.1590706165,35.7936003208,0.362207999453,39.3372485638,2.59052796662,0.590912276879,0.832339620219,0.00766398463828,0.0548131641797,0.757359316807,0.0125031545946
breakdown,decode,1,128,2,20270930,7,45.9126396179,1,21.7804946159,34.3919041157,0.366528000683,37.9497919083,2.60188800097,0.58947179094,0.826565238333,0.00798316114544,0.0566704075962,0.749072682422,0.0128389871688
breakdown,decode,1,128,2,20270930,8,45.9867515564,1,21.7453933178,34.4326715469,0.367488000542,38.0066561699,2.61756800115,0.588928621262,0.826469687107,0.00799117111134,0.056920045721,0.748751985769,0.0128064845054
breakdown,decode,1,128,2,20270930,9,46.0288658142,1,21.7254973007,34.5499842167,0.361088000238,38.1084163189,2.61241601408,0.58492808789,0.827924295869,0.00784481637448,0.056756037062,0.750615588838,0.0127078535945
breakdown,decode,1,128,2,20270930,10,45.7838401794,1,21.8417676648,34.3362879753,0.363872000948,37.9156479836,2.61776000261,0.597728004679,0.828144774116,0.00794760770441,0.0571765057792,0.749965224427,0.0130554362049
