model,lambda,origin_mode,winner,reward_uniform_full,reward_controller,reward_causal_no_hysteresis,reward_calib_static,reward_uniform_low
olmoe,0.5,hotspot,calib_static,0.0,0.27922481453376524,0.28053652481364144,0.292613327048027,0.26057843857300794
olmoe,0.5,mixed,uniform_low,0.0,0.1611306016946297,0.15900485029713124,0.027121840456714275,0.16743875296802854
olmoe,1.0,balanced,uniform_full,0.0,-0.07239063078977824,-0.07720325209321167,-0.2924158675263357,-0.054447932636950885
olmoe,1.0,hotspot,calib_static,0.0,0.1756193667275637,0.17948648024245512,0.20272382648202505,0.13183143857300794
olmoe,1.0,mixed,controller,0.0,0.05161436796889273,0.05114161407462172,-0.044846020522155326,0.03869175296802853
olmoe,2.0,balanced,uniform_full,0.0,-0.30324467008032296,-0.30655610784087695,-0.40050831030981027,-0.31194193263695086
olmoe,2.0,hotspot,calib_static,0.0,-0.031591528884839494,-0.02261360889991758,0.022944825350021143,-0.1256625614269921
olmoe,2.0,mixed,uniform_full,0.0,-0.16741809948258127,-0.16458485837039724,-0.18878174247989454,-0.21880224703197146
olmoe,5.0,balanced,uniform_full,0.0,-0.9958067879519572,-0.9946146750838726,-0.7247856386602336,-1.0844239326369507
olmoe,5.0,hotspot,uniform_full,0.0,-0.6532242157220493,-0.6289138763270355,-0.5163921780459905,-0.898144561426992
olmoe,5.0,mixed,uniform_full,0.0,-0.8245155018370031,-0.8117642757054543,-0.620588908353112,-0.9912842470319714
llmjp,0.0,balanced,uniform_low,0.0,0.06289528137893544,0.04769705780865297,-0.32505440236100897,0.09293880314757083
llmjp,0.0,hotspot,uniform_low,0.0,0.34797929302870106,0.345068313064375,0.3445069177028065,0.3530170364680263
llmjp,0.0,mixed,uniform_low,0.0,0.20543728720381824,0.196382685436514,0.009726257670898823,0.22297791980779855
llmjp,0.02,balanced,uniform_low,0.0,0.05935651942223603,0.04415862378414869,-0.3266695058961045,0.08899912314757082
llmjp,0.02,hotspot,uniform_low,0.0,0.34500422841798317,0.3420015499284138,0.34179093783722175,0.34907735646802623
llmjp,0.02,mixed,uniform_low,0.0,0.2021803739201096,0.19308008685628128,0.007560715970558631,0.21903823980779852
llmjp,0.05,balanced,uniform_low,0.0,0.05404837648718688,0.03885097274739225,-0.32909216119874796,0.08308960314757081
llmjp,0.05,hotspot,uniform_low,0.0,0.3405416315019064,0.33740140522447193,0.33771696803884466,0.34316783646802634
llmjp,0.05,mixed,uniform_low,0.0,0.19729500399454666,0.18812618898593206,0.004312403420048363,0.21312871980779857
llmjp,0.1,balanced,uniform_low,0.0,0.045201471595438344,0.030004887686131538,-0.33312992003648684,0.07324040314757081
llmjp,0.1,hotspot,uniform_low,0.0,0.333103969975112,0.329734497384569,0.33092701837488275,0.33331863646802623
llmjp,0.1,mixed,uniform_low,0.0,0.1891527207852751,0.17986969253535026,-0.0011014508308020883,0.20327951980779851
llmjp,0.2,balanced,uniform_low,0.0,0.027507661811941257,0.012312717563610102,-0.34120543771196493,0.053542003147570814
llmjp,0.2,hotspot,controller,0.0,0.31822864692152286,0.31440068170476293,0.3173471190469589,0.31362023646802634
llmjp,0.2,mixed,uniform_low,0.0,0.17286815436673203,0.1633566996341865,-0.011929159332502999,0.1835811198077985
llmjp,0.5,balanced,uniform_full,0.0,-0.025573767538550014,-0.04076379280395421,-0.365431990738399,-0.005553196852429175
llmjp,0.5,hotspot,calib_static,0.0,0.2736026777607555,0.2683992346653448,0.2766074210631876,0.25452503646802627
llmjp,0.5,mixed,uniform_low,0.0,0.12401445511110278,0.11381772093069532,-0.04441228483760571,0.12448591980779854
llmjp,1.0,balanced,uniform_full,0.0,-0.11404281645603545,-0.12922464341656137,-0.4058095791157891,-0.10404519685242918
llmjp,1.0,hotspot,calib_static,0.0,0.19922606249281,0.19173015626631473,0.20870792442356864,0.15603303646802627
llmjp,1.0,mixed,controller,0.0,0.04259162301838726,0.03125275642487667,-0.09855082734611027,0.025993919807798558
llmjp,2.0,balanced,uniform_full,0.0,-0.29098091429100637,-0.3061463446417757,-0.48656475587056935,-0.3010291968524292
llmjp,2.0,hotspot,calib_static,0.0,0.05047283195691896,0.03839199946825438,0.07290893114433078,-0.04095096353197371
llmjp,2.0,mixed,uniform_full,0.0,-0.12025404116704368,-0.13387717258676063,-0.20682791236311937,-0.17099008019220144
llmjp,5.0,balanced,uniform_full,0.0,-0.8217952077959191,-0.8369114483174188,-0.7288302861349102,-0.8919811968524292
llmjp,5.0,hotspot,uniform_full,0.0,-0.39578685965075416,-0.42162247092592664,-0.33448804869338283,-0.6319029635319738
llmjp,5.0,mixed,uniform_full,0.0,-0.6087910337233365,-0.6292669596216727,-0.5316591674141465,-0.7619420801922013
