model,origin_mode,scenario_seed,saving_uniform_full,low_frac_uniform_full,saving_controller,low_frac_controller,saving_causal_no_hysteresis,low_frac_causal_no_hysteresis,saving_calib_static,low_frac_calib_static,saving_uniform_low,low_frac_uniform_low
olmoe,balanced,23,0.0,0.0,0.14384531478631513,0.888191570881226,0.15278566309169728,0.9052298850574713,-0.17776114652131136,0.41955938697318007,0.19932913602343938,1.0
olmoe,hotspot,24,0.0,0.0,0.38411283342406766,0.828444139563459,0.3791890912720999,0.7836442239920396,0.37988841523495853,0.697218002887156,0.3868937151247628,1.0
olmoe,balanced,25,0.0,0.0,0.15949020349550802,0.8973417619861639,0.14979483983418085,0.9009289109675742,-0.17853316995084412,0.41771546795467496,0.1982890020581941,1.0
olmoe,hotspot,26,0.0,0.0,0.38623827367512975,0.7874884271555845,0.38623827367512975,0.7826695706285003,0.39159218414997565,0.7036858560869367,0.39207732756583313,1.0
olmoe,balanced,27,0.0,0.0,0.161795863757059,0.8872586754292235,0.12496115481261794,0.8303058852365469,-0.19264028850368664,0.4195801785447568,0.2013584843324473,1.0
olmoe,hotspot,28,0.0,0.0,0.38408964344775887,0.8372866933094257,0.37614124436470897,0.7869516327553981,0.3735016009463781,0.6998016988557796,0.38696743256917,1.0
olmoe,balanced,29,0.0,0.0,0.1468678891100621,0.9124557140042268,0.15474134199188883,0.9174358360152842,-0.16782218566914042,0.41768117173887004,0.2175174654889006,1.0
llmjp,hotspot,0,0.0,0.0,0.35016416193644495,0.8139568281955196,0.34826170768561104,0.7799953661063229,0.34599755854341874,0.6907852534950473,0.3514756027545918,1.0
llmjp,balanced,1,0.0,0.0,0.07873029608267545,0.8365714482076619,0.01317598474238535,0.8690028693445944,-0.40109457919620484,0.4106885472487319,0.05712407466703717,1.0
llmjp,hotspot,2,0.0,0.0,0.34875385026237693,0.7372782495577462,0.34768383112475876,0.7832534526491095,0.3477418385719101,0.6900367233698009,0.3497975025782304,1.0
llmjp,balanced,3,0.0,0.0,0.05489938344638878,0.9211513626754163,0.053815813552359426,0.9136669313257507,-0.281440109056871,0.41293321981690695,0.10023834289168554,1.0
llmjp,hotspot,4,0.0,0.0,0.3449338881632671,0.7131321579005656,0.3371908661847478,0.7594678092575832,0.33405333750788446,0.6880081417240445,0.354209089035061,1.0
llmjp,balanced,5,0.0,0.0,0.056276507796141684,0.9073716439450411,0.043326985753875835,0.9146027830257922,-0.31511729598523375,0.4080970455849635,0.1192038995952579,1.0
llmjp,hotspot,6,0.0,0.0,0.3489814476844393,0.7612306390472324,0.34547319613784266,0.7531517830086735,0.3383812966000317,0.6874841577044537,0.351195135926455,1.0
llmjp,balanced,7,0.0,0.0,0.05734058734657199,0.9019820579665695,0.0638416721685584,0.9059116699892654,-0.34580527824550145,0.411466799570618,0.06416370147735961,1.0
llmjp,hotspot,8,0.0,0.0,0.3428954195658387,0.7495701567326174,0.34677734446351427,0.7596339399271322,0.34897514412138286,0.6911439855412009,0.3512900600499528,1.0
llmjp,balanced,9,0.0,0.0,0.07345601122481515,0.9301466316990346,0.04448882281593536,0.9288305841080111,-0.3410349800933683,0.4092031912725666,0.11203607487758538,1.0
llmjp,hotspot,10,0.0,0.0,0.3576900633534562,0.7669242930249719,0.3471996860347777,0.7804912551686168,0.349232850461513,0.6876272440351819,0.35820186692989664,1.0
llmjp,balanced,11,0.0,0.0,0.06375210550591115,0.9071214415737384,0.06941705357275418,0.912507839627981,-0.35222966678251044,0.4097716182521836,0.09769322409835035,1.0
